date,Unnamed: 0,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Zambia
2026-03,0.000000,22.935714,0.000000,8.612500,2.760038,1.687808,0.000000,0.000000,0.000000,2.415219,0.000000,253.466710,0.603805,8.516444,0.000000,0.000000,0.000000,0.000000,39.664412,295.170663,13.162616,12.576833,42.053956,0.000000,7.292381,0.000000,111.290990,0.000000,0.000000,0.000000,10.132115,23.193364,0.221560,0.000000,0.000000,3367.221115,0.000000,0.000000,0.000000,3.253272,1.803130,2.834656,1.297284,0.000000,0.000000,164.947226,2.457164,72.436276,39.863683,2633.443310,15.660421,1506.860961,0.000000,1.899357,0.000000,5.526211,0.000000,0.000000,1.111757,26.679112,0.000000,0.251813,4.899972,1.705631,134.704645,0.239151,1.195188,252.556495,0.000000,5.501313,59.381608,0.000000,0.496188,0.000000,0.000000,116.792116,1767.932702,392.574717,0.000000,8.989266,0.000000,0.000000,12.100787,0.000000,9.454298,0.000000,3.024856,0.251304,0.000000,0.000000,0.000000,588.610186,6.216964,0.000000,0.000000,1487.405186,0.539500,6211.802573,1.820000,0.435336,4.951479,2.193977,2.016431,2.725464,35.108897,6.829513,7884.578428,1.440437,0.000000,0.894624,0.987113,2.100000,0.000000
2026-04,1.300000,19.207500,0.000000,4.143750,2.324372,3.229690,0.000000,0.000000,0.000000,5.763437,0.000000,482.425406,1.440859,6.097000,0.000000,0.000000,0.000000,0.000000,47.684454,190.803993,8.524796,63.450946,38.188051,0.000000,10.988980,0.000000,184.280110,0.000000,0.000000,0.000000,1.341194,12.451878,0.060000,0.000000,0.000000,873.901766,0.000000,0.000000,0.000000,0.115071,0.029963,0.003947,0.083171,0.000000,0.000000,299.798026,8.800666,40.012704,46.862780,3379.137353,18.809094,846.479397,0.000000,0.013087,0.000000,15.985535,0.000000,0.000000,0.532430,260.979235,0.000000,0.030914,4.426453,0.203667,135.421677,0.035950,0.391991,316.817337,0.000000,0.078160,82.734922,0.000000,0.098983,0.000000,0.000000,250.570647,1043.099910,384.378121,0.000000,5.963521,0.000000,0.102632,8.168620,0.000000,0.560907,0.000000,1.853887,0.251201,0.000000,0.000000,0.000000,498.132925,34.266964,0.000000,0.000000,860.828757,0.191039,422.952669,3.185000,0.783979,-0.087652,0.075403,5.787272,2.318224,24.887882,5.863162,12404.133738,1.697443,0.000000,0.894624,0.219362,1.925000,0.000000
2026-05,2.600000,35.476071,0.000000,9.831250,5.540534,1.635768,0.000000,0.000000,0.000000,1.016984,0.000000,58.413333,0.254246,2.516222,0.000000,0.000000,0.000000,0.000000,47.367229,193.410507,8.674824,34.036364,41.745161,0.000000,10.350476,0.000000,132.544180,0.000000,0.000000,0.000000,10.418762,42.066937,0.270000,0.000000,0.000000,2281.177074,0.000000,0.000000,0.000000,1.358638,0.000000,0.539325,0.408191,0.000000,0.000000,11.895089,3.250000,87.940919,23.834637,1630.562838,23.331990,688.099075,0.000000,0.000000,0.000000,16.070247,0.000000,0.000000,2.475434,45.612580,0.000000,0.357500,1.940626,1.345402,115.311958,0.083237,0.368005,222.637148,0.000000,0.379632,55.268989,0.000000,0.115602,0.000000,0.000000,139.113138,1280.346832,380.418455,0.000000,0.472867,0.000000,0.121875,9.607068,0.000000,0.019500,0.000000,0.577887,1.357943,0.000000,0.000000,0.000000,327.285640,39.615256,0.000000,0.000000,1565.071223,0.046167,504.806223,0.148571,0.752491,4.803684,0.734826,4.612531,1.374368,2.190741,3.112012,7817.397245,0.439227,0.000000,0.139785,0.072982,1.225000,0.000000
2026-06,3.900000,21.580000,0.000000,0.731250,4.548664,2.214644,0.000000,0.000000,0.000000,3.994177,0.000000,264.744190,0.998544,0.000000,0.000000,0.000000,0.000000,0.000000,31.704263,84.526948,4.835162,19.500000,45.190250,0.000000,36.730748,0.000000,192.290842,0.000000,0.000000,0.000000,1.942705,5.377012,1.455000,0.000000,0.000000,3092.225934,0.000000,0.000000,0.000000,0.374687,0.734089,2.184077,0.173883,0.000000,0.000000,41.210811,3.876082,65.014628,25.498199,3910.829405,37.684574,1359.414390,0.000000,0.000000,0.000000,5.466578,0.000000,0.000000,10.793602,20.152647,0.000000,0.082333,1.802988,2.063961,140.407986,1.894854,0.047352,242.796119,0.000000,1.274000,99.935830,0.000000,0.061474,0.000000,0.000000,218.374305,955.756696,346.864257,0.000000,9.933601,0.000000,0.000000,6.898947,0.000000,0.806151,0.000000,0.814492,0.463519,0.000000,0.000000,0.000000,291.123308,48.371383,0.000000,0.000000,371.219171,0.038996,245.982029,0.000000,1.454771,0.438258,0.150806,3.266940,2.192129,0.361111,8.409342,5812.258497,2.510595,0.000000,0.592422,0.193860,0.350000,0.000000
2026-07,5.200000,139.866071,0.000000,8.531250,2.313014,3.253530,0.000000,0.000000,0.000000,2.023895,0.000000,162.215621,0.505974,38.711111,0.000000,0.000000,0.000000,0.000000,37.063497,259.230401,5.339081,3.900000,41.016671,0.000000,5.108027,0.000000,332.182172,0.000000,0.000000,0.000000,13.745518,17.993082,0.510000,0.000000,0.000000,992.005670,0.037143,0.000000,0.000000,4.457958,0.044944,1.007757,1.557396,0.000000,0.000000,167.491745,2.130198,59.418945,24.002724,4140.759313,38.706649,884.664839,0.000000,0.097361,0.000000,7.103600,0.000000,0.000000,8.492579,23.394471,0.000000,0.171312,4.550213,0.701958,148.527945,0.139088,1.125933,272.430279,0.000000,0.000000,189.252176,0.000000,0.208402,0.000000,0.000000,152.073681,1010.234074,443.262337,0.000000,2.514115,0.000000,1.432566,12.055790,0.000000,1.516300,0.000000,1.228923,0.178571,0.000000,0.000000,0.000000,240.974122,14.218986,0.000000,0.000000,709.924978,0.858358,288.339004,76.161429,0.903310,0.513564,0.350258,3.426541,2.605957,4.008333,15.944760,5487.175995,3.242893,0.000000,0.055914,0.150508,4.025000,0.000000
2026-08,6.500000,31.070000,0.000000,0.000000,2.241950,1.592446,0.000000,0.000000,0.000000,1.682214,0.000000,162.576172,0.420554,4.355000,0.000000,0.000000,0.000000,0.000000,51.191879,148.052504,2.149190,3.072727,58.814059,0.000000,53.231020,0.000000,117.946015,0.000000,0.000000,0.000000,1.978679,22.360301,3.648333,0.000000,0.000000,2219.981695,1.006452,0.000000,0.000000,0.307806,0.059926,1.851563,0.209001,0.000000,0.000000,110.738678,3.210671,102.463732,9.506069,19001.501987,37.666203,1132.311054,0.000000,0.013131,0.000000,6.589405,0.000000,0.000000,3.608138,31.247638,0.000000,0.034667,4.363688,1.549406,117.341317,0.346037,1.310253,303.169050,0.000000,0.000000,74.519280,0.000000,0.870067,0.000000,0.000000,67.051901,1072.426050,407.417152,0.000000,1.539199,0.000000,0.000000,10.272023,0.000000,0.164058,0.000000,0.109996,0.380952,0.000000,0.000000,0.000000,325.076726,4.979464,0.000000,0.000000,2229.097674,0.796567,192.311161,0.000000,1.966599,2.066424,0.037701,3.715557,1.076608,10.387963,4.977921,5405.722312,8.591122,0.000000,0.083871,0.239474,4.550000,0.000000
