date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Dominica,Belize,Dominican Rep.,Oman,Antigua & Barbuda,Barbados,Costa Rica,Greece,Malawi
2026-06,8.638130,0.000000,1.936461,2.390654,2.543165,0.000000,0.000000,0.000000,0.000000,0.797057,3.035252,0.000000,5.136858,0.000000,0.000000,0.000000,0.000000,17.062652,168.683149,8.017052,25.923914,36.507182,2.469003,6.636615,14.251786,0.000000,124.015655,0.000000,0.000000,0.000000,0.033097,256.338973,15.146658,0.539190,0.000000,0.000000,257.937241,0.000000,0.000000,0.000000,0.000000,8.526949,0.477690,0.942395,1.067950,0.000000,93.441670,44.695049,30.942869,7.989851,10358.400053,64.287786,934.110544,0.000000,5.835055,0.032083,0.000000,1.674907,0.225856,7.280508,0.000000,0.000000,370.747715,0.000000,1.598778,6.224347,0.000000,4.796334,143.717402,0.887814,0.000000,146.878712,0.517712,2.663443,25.184166,93.455901,0.000000,0.000000,0.000000,0.000000,51.788697,635.977170,0.000000,162.378240,0.000000,1.473880,0.000000,0.000000,31.766247,0.000000,6.741032,0.000000,24.201889,0.000000,1.522000,0.000000,0.000000,0.000000,0.000000,421590.947388,57.276436,69.239713,0.000000,60.467576,720.865307,0.806405,56.954048,3.019880,0.140000,8.974530,0.630000,0.577550,2.356186,0.578869,4.971014,6370.534491,1.143421,0.000000,3.192703,0.000000,29.992098,182.910000,0.000000,0.000000,0.241374,2.735833,0.840000,0.810580,0.869184,0.000000,0.511145,0.000000,0.000000
2026-07,570.030428,0.000000,33.560570,1.135245,3.091547,0.000000,0.000000,0.000000,0.000000,0.311828,6.164695,0.000000,8.414216,0.000000,0.000000,0.000000,0.000000,16.120163,115.122524,4.366940,4.129254,27.152810,3.416880,12.143797,8.791575,0.000000,128.018273,0.000000,0.000000,0.000000,0.161344,256.094552,18.486722,0.491386,0.000000,0.000000,245.156417,0.000000,0.000000,0.000000,0.000000,6.183454,3.324466,5.849942,5.494663,0.000000,39.635587,8.090477,29.601188,2.951808,11444.532293,38.356390,83.959756,0.000000,7.122807,1.785879,0.000000,-0.309477,0.696428,25.972219,0.000000,0.000000,145.585508,0.000000,1.526682,3.254283,0.000000,4.580047,155.513326,0.540907,0.000000,205.594089,1.647061,1.622721,37.798375,79.723136,0.000000,0.000000,0.000000,0.000000,92.786598,623.542034,0.000000,139.969198,0.000000,2.375639,0.000000,0.000000,14.882811,0.000000,1.624074,0.000000,21.287600,0.000000,0.339000,0.000000,0.000000,0.000000,0.000000,11036.732785,13.694505,39.900802,0.000000,49.211687,2584.165741,1.734433,66.669646,2.367758,1.050000,4.345293,0.560000,3.718138,5.313164,1.484339,11.363826,5640.272614,0.795895,0.000000,0.696487,0.000000,8.410881,99.750000,0.000000,0.000000,0.666893,1.522500,0.163333,0.927393,0.195693,0.000000,1.137734,0.000000,0.000000
2026-08,16.419545,0.000000,7.679513,0.661132,1.227183,0.000000,0.000000,0.000000,0.000000,0.528932,1.049166,0.000000,1.003936,0.000000,0.000000,0.000000,0.000000,16.164424,158.238436,5.868981,2.240909,23.502751,0.651918,-2.488325,12.934867,0.000000,209.199783,0.000000,0.000000,0.000000,0.259259,198.251234,18.106594,0.336714,0.000000,0.000000,316.269341,0.000000,0.000000,0.000000,0.000000,7.683542,2.959333,4.796483,5.029804,0.000000,9.564257,7.032968,16.735857,2.018513,8595.158697,10.454918,108.040033,0.000000,1.932207,0.128333,0.000000,1.751489,1.011518,14.797559,0.000000,0.000000,251.205395,0.000000,1.322116,3.537516,0.000000,3.966348,512.526119,0.603708,0.000000,236.012845,0.636711,1.811124,44.993842,160.321741,0.000000,0.000000,0.000000,0.000000,125.057901,796.190850,0.000000,184.698013,0.000000,1.193768,0.000000,0.000000,5.720699,0.000000,4.200972,0.000000,28.666829,0.000000,0.308333,0.000000,0.000000,0.000000,0.000000,1542.977691,52.253764,45.527666,0.000000,30.728886,486.098580,0.802838,64.582722,0.854394,0.560000,2.811942,0.700000,2.944510,0.982643,0.358752,2.936957,5686.091555,0.369419,0.000000,0.820229,0.000000,19.420466,198.975000,0.000000,0.000000,0.322172,1.995000,1.038333,0.616149,0.052437,0.000000,0.627344,0.000000,0.000000
2026-09,27.037500,0.000000,4.055582,0.461168,1.418646,0.000000,0.000000,0.000000,0.000000,0.304926,5.622126,0.000000,0.566896,0.000000,0.000000,0.000000,0.000000,18.169307,190.466865,4.282639,49.631845,22.276104,5.013074,9.646029,15.918640,0.000000,156.420721,0.000000,0.000000,0.000000,1.254763,246.792979,13.945513,1.081094,0.000000,0.000000,166.129491,0.000000,0.000000,0.000000,0.000000,24.987256,2.475249,1.405112,0.170951,0.000000,20.859134,7.290927,18.867357,2.563451,23769.683655,6.416553,297.746634,0.000000,37.306880,0.002917,0.000000,11.977356,2.746100,5.413039,0.000000,0.000000,211.857661,0.000000,0.761549,2.556013,0.000000,2.284648,134.401716,0.334841,0.000000,351.689636,0.449289,1.004523,40.892921,124.828789,0.000000,0.000000,0.000000,0.000000,102.078807,512.190382,0.000000,209.093522,0.000000,2.438905,0.000000,0.000000,18.793557,0.000000,2.204565,0.000000,12.476413,0.000000,0.733333,0.000000,0.000000,0.000000,0.000000,694.005099,27.571346,50.352603,0.000000,24.233920,547.323623,6.113140,74.952083,0.882189,0.140000,11.428406,0.087500,1.996463,1.284848,0.556266,2.181159,4858.380452,12.125588,0.000000,1.820769,0.000000,19.600907,118.650000,0.000000,0.000000,0.176889,-0.122500,1.155000,0.326999,0.094204,0.000000,0.374588,0.000000,0.000000
2026-10,71.409594,0.000000,0.918230,0.929079,2.337094,0.000000,0.000000,0.000000,0.000000,0.648601,1.596830,0.000000,2.320393,0.000000,0.000000,0.000000,0.000000,23.488988,308.384576,10.815515,9.206904,27.025806,1.221227,5.205760,99.731291,0.000000,116.274634,0.000000,0.000000,0.000000,14.682543,211.208387,14.420304,0.464060,0.000000,0.000000,235.308845,0.000000,0.000000,0.000000,0.000000,5.377424,4.660236,0.931486,0.905088,0.000000,13.537644,5.570875,19.510070,2.335446,8039.762364,26.948866,45.112537,0.000000,10.347422,2.805924,0.000000,2.362352,3.885055,2.655406,0.000000,0.000000,261.492113,0.000000,0.356095,3.698824,0.000000,1.068286,36.157265,0.328367,0.000000,191.235575,0.331554,0.985102,25.789933,114.224354,0.000000,0.000000,0.000000,0.000000,81.916259,399.117617,0.000000,212.226908,0.000000,3.896913,0.000000,0.000000,12.822126,0.000000,9.021659,0.000000,52.643349,0.000000,0.183333,0.000000,0.000000,0.000000,0.000000,3674.378934,3.640540,33.728063,0.000000,33.942396,666.025964,0.551902,56.408935,1.388778,0.087500,2.790966,0.140000,3.757123,1.617764,0.214331,12.120372,5394.820521,2.215386,0.000000,0.357376,0.000000,28.016321,99.750000,0.000000,0.000000,0.145643,1.820000,0.175000,0.520977,0.083353,0.000000,0.474500,0.000000,0.000000
2026-11,49.175000,0.000000,0.089786,0.711852,4.901697,0.000000,0.000000,0.000000,0.000000,1.109093,1.276034,0.000000,39.628361,0.000000,0.000000,0.000000,0.000000,15.597852,141.450598,18.219444,6.966627,22.976733,1.618417,8.201418,14.305091,0.000000,73.489579,0.000000,0.000000,0.000000,12.749455,216.020029,8.053873,2.051873,0.000000,0.000000,254.444579,0.000000,0.000000,0.000000,0.000000,5.634473,2.417970,0.901863,0.294550,0.000000,10.324176,11.081483,25.572469,1.766583,111894.299356,13.906114,49.968293,0.000000,116.727909,0.151667,0.000000,10.709322,1.368608,20.136640,0.000000,0.000000,916.552185,0.000000,1.891735,2.184151,0.000000,5.675204,95.571899,0.650960,0.000000,146.368109,0.819431,1.952881,18.567647,95.240373,0.000000,0.000000,0.000000,0.000000,41.168432,483.247147,0.000000,174.002190,0.000000,0.855320,0.000000,0.000000,11.879063,0.000000,3.486929,0.000000,24.747761,0.000000,0.158333,0.000000,0.000000,0.000000,0.000000,160.663131,-0.995492,32.615912,0.000000,26.204447,425.518057,0.747802,76.326559,1.784323,0.000000,7.415774,0.354375,4.843058,1.666249,0.078533,9.958032,5464.457107,0.147717,0.000000,0.472822,0.000000,27.975518,28.875000,0.000000,0.000000,0.332950,0.204167,0.548333,0.333053,0.068201,0.000000,0.705071,0.000000,0.000000
2026-12,267.484594,0.000000,9.998337,1.261870,3.953279,0.000000,0.000000,0.000000,0.000000,0.496166,7.549402,0.000000,7.942262,0.000000,0.000000,0.000000,0.000000,22.656601,114.290185,11.293441,10.383570,28.107383,1.416202,7.178262,16.647190,0.000000,105.947219,0.000000,0.000000,0.000000,0.457516,179.353842,17.550260,0.848274,0.000000,0.000000,190.880026,0.000000,0.000000,0.000000,0.000000,6.625460,1.023317,5.060292,0.604950,0.000000,29.395350,22.974388,20.438062,5.637214,88567.312156,18.861323,48.875000,0.000000,82.996093,0.521271,0.000000,9.840413,2.387168,19.577160,0.000000,0.000000,414.016337,0.000000,1.021598,3.147638,0.000000,3.064793,56.177214,0.958973,0.000000,165.483902,0.480686,2.876920,35.287167,98.186335,0.000000,0.000000,0.000000,0.000000,46.941115,595.113036,0.000000,316.720446,0.000000,0.671606,0.000000,0.000000,26.728953,0.000000,2.068236,0.000000,18.693907,0.000000,0.433333,0.000000,0.000000,0.000000,0.000000,111.820320,16.548210,92.536384,0.000000,72.306696,546.261939,1.004366,62.490938,3.625240,0.074375,2.745224,0.000000,5.164455,2.406252,0.982081,7.039171,6452.869728,0.647298,0.000000,0.083465,0.000000,26.221891,113.925000,0.000000,0.000000,0.102153,1.837500,0.875000,0.192031,0.022144,0.000000,0.210835,0.000000,0.000000
2027-01,188.810471,0.000000,8.869596,0.624696,4.246253,0.000000,0.000000,0.000000,0.000000,1.365847,17.453763,0.000000,3.765282,0.000000,0.000000,0.000000,0.000000,15.320689,232.608879,14.814506,14.943414,22.888044,1.737244,10.948328,14.074597,0.000000,105.608955,0.000000,0.000000,0.000000,1.715686,208.766761,13.141622,7.224617,0.000000,0.000000,213.437191,0.000000,0.000000,0.000000,0.000000,1.980535,1.369828,0.731605,5.471417,0.000000,2.263098,28.377029,23.445106,1.293840,6721.901422,48.750309,86.750512,0.000000,0.948498,0.735154,0.000000,2.621701,0.067142,16.455030,0.000000,0.000000,246.586537,0.000000,0.823573,1.949265,0.000000,2.470720,71.215580,0.290998,0.000000,194.566392,1.106304,0.872995,23.942447,93.582609,0.000000,0.000000,0.000000,0.000000,108.103456,556.713215,0.000000,172.622281,0.000000,2.358965,0.000000,0.000000,32.072532,0.000000,5.972571,0.000000,23.285326,0.000000,1.766667,0.000000,0.000000,0.000000,0.000000,252.571423,14.925740,13.298295,0.000000,12.607382,597.126831,0.427060,82.983964,0.782776,0.560000,9.268438,0.420000,8.225688,0.888829,0.728416,4.639875,6160.054301,5.498846,0.000000,0.320244,0.000000,20.146762,47.775000,0.000000,0.000000,0.168937,9.607500,8.359167,0.250298,0.046194,0.000000,0.357748,0.000000,0.000000
2027-02,61.825000,0.000000,3.519656,1.111564,4.955286,0.000000,0.000000,0.000000,0.000000,3.152064,4.705614,0.000000,2.171333,0.000000,0.000000,0.000000,0.000000,15.508858,272.510969,0.455366,16.818901,22.065857,2.067589,12.853450,6.894315,0.000000,134.552037,0.000000,0.000000,0.000000,1.700436,324.591330,10.903439,4.604966,0.000000,0.000000,197.794329,0.000000,0.000000,0.000000,0.000000,5.616860,1.426949,0.986616,0.738915,0.000000,4.936068,267.380985,22.745664,1.467818,98946.450529,16.493393,50.165703,0.000000,108.078549,0.213070,0.000000,3.756146,3.406339,60.398896,0.000000,0.000000,399.582837,0.000000,4.953786,3.884798,0.000000,14.861358,183.121859,0.627616,0.000000,129.775233,0.171180,1.882849,29.983175,73.383230,0.000000,0.000000,0.000000,0.000000,39.079292,510.786273,0.000000,238.609473,0.000000,0.941825,0.000000,0.000000,27.505073,0.000000,4.263941,0.000000,48.198502,0.000000,1.025000,0.000000,0.000000,0.000000,0.000000,126.122390,9.695240,27.105084,0.000000,15.014060,1205.932623,0.342578,66.257735,0.969012,0.420000,4.196666,0.140000,2.159478,0.839461,0.824950,2.744897,6064.075589,0.388697,0.000000,0.766370,0.000000,18.215415,80.850000,0.000000,0.000000,1.098880,0.612500,0.408333,0.532289,0.101801,0.000000,0.883118,0.000000,0.000000
2027-03,204.137500,0.000000,4.224941,0.377821,3.033521,0.000000,0.000000,0.000000,0.000000,0.991804,4.727412,0.000000,6.269409,0.000000,0.000000,0.000000,0.000000,19.892093,145.083604,3.569136,84.682760,28.490248,9.606231,2.916644,7.888359,0.000000,93.076505,0.000000,0.000000,0.000000,5.747109,337.477527,115.773565,1.220733,0.000000,0.000000,206.791486,0.000000,0.000000,0.000000,0.000000,6.179743,1.315973,0.630873,0.854529,0.000000,9.863195,42.680194,29.952304,6.946202,6677.562533,22.173029,44.800000,0.000000,95.257696,0.051673,0.000000,0.926569,2.216356,48.940461,0.000000,0.000000,195.093115,0.000000,3.661233,2.750065,0.000000,10.983699,168.765344,0.841934,0.000000,120.929503,0.252819,2.525801,32.010645,140.316770,0.000000,0.000000,0.000000,0.000000,59.744884,611.619397,0.000000,181.320850,0.000000,1.494049,0.000000,0.000000,45.904386,0.000000,6.118308,0.000000,15.874329,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,179.825544,3.359891,17.569350,0.000000,16.592692,1135.961314,1.861790,44.236047,1.216618,0.000000,5.555516,0.000000,6.401050,1.463275,1.090211,6.239130,6065.281953,0.908044,0.000000,2.014896,0.000000,41.105959,47.775000,0.000000,0.000000,0.343026,0.624167,0.816667,0.400999,0.441332,0.000000,0.733270,0.000000,0.000000
