,Yemen,Algeria,Chad,Mali,France,Mauritania,Niger,Egypt,Sudan,Dem. Rep. Congo,Uganda,Ethiopia,Kenya,Burundi,Tanzania,Rwanda,Thailand,Guinea,Madagascar,Djibouti,Somalia,Ghana,Comoros,Central African Rep.,Gambia,Sierra Leone,Lesotho,Liberia,Mozambique,Zambia,Nigeria,South Africa,eSwatini,Zimbabwe,Botswana,Togo,Tunisia,Angola,Cameroon,Eritrea,Morocco,Namibia,Congo,Guinea-Bissau,Iraq,S. Sudan,Papua New Guinea,Senegal,Côte d'Ivoire,Libya,Bahrain,Philippines,Syria,Turkey,Myanmar,Bangladesh,India,China,Pakistan,Afghanistan,Laos,Tajikistan,Lebanon,Uzbekistan,Kyrgyzstan,Solomon Islands,Israel,Iran,Malaysia,Russia,Spain,United Kingdom,Germany,Netherlands,Honduras,Azerbaijan,Armenia,Brazil,Indonesia,Sri Lanka,Mexico,Trinidad and Tobago,Bosnia and Herz.,Serbia,Croatia,Nepal,Colombia,Bhutan,Cambodia,Jordan,Saudi Arabia,Ecuador,Jamaica,Bolivia,Canada,Guatemala,Haiti,United States of America,Guyana,Peru,Argentina,Paraguay,Italy,Venezuela,El Salvador,Panama,Nicaragua,Kuwait,Ukraine,Malta,United Arab Emirates,Moldova,Romania,Qatar,Georgia,Albania,Macedonia,Burkina Faso,Belgium,Sweden,Australia,Benin,Austria,Poland,Dem. Rep. Congo,Dominica,S. Sudan,Myanmar,Russia
1992-01-31,0,1,726,2,0,0,4,0,236,0,71,181,0,0,1,38,0,0,0,104,1500,0,0,0,0,12,0,0,100,0,0,28,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,13,338,16,95,0,0,0,0,0,19,0,0,0,1,0,0,0,5,3,0,0,0,402,0,0,2,145,0,0,0,33,0,0,41,0,51,0,0,0,0,0,0,8,0,0,0,81,0,0,0,2,4,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-02-29,0,17,38,58,0,0,3,0,7,34,0,0,0,0,0,8,0,0,0,15,149,0,0,0,0,36,0,12,88,0,196,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,46,184,7,88,0,0,35,0,0,24,0,0,0,6,0,0,0,10,11,0,0,0,771,1,0,1,104,0,0,0,29,0,0,18,0,0,0,0,0,0,0,0,16,0,0,0,63,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-03-31,0,8,0,0,0,0,4,0,136,3,0,9,29,0,0,424,0,0,0,0,2,0,0,0,0,43,0,7,24,0,200,83,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,69,0,85,631,15,102,0,0,5,0,0,3,0,0,0,9,0,0,0,2,2,0,0,0,310,0,0,1,231,0,0,0,92,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,104,0,0,0,13,0,0,0,0,0,0,0,36,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-04-30,0,6,76,0,0,0,0,0,53,13,0,1,76,61,0,36,0,0,0,0,60,0,0,0,0,9,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,101,0,19,1,0,0,0,40,0,134,19,142,145,0,0,99,0,0,8,0,0,0,3,4,0,0,1,3,0,0,0,110,0,0,1,222,0,0,206,1710,2,0,39,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,42,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-05-31,0,20,0,12,0,0,0,0,552,0,0,0,1,0,0,0,0,0,0,0,300,63,0,0,0,278,0,0,12,0,487,59,0,0,0,4,0,0,0,0,0,0,0,0,25,0,18,0,0,0,0,34,0,205,0,31,141,0,5,95,0,75,25,0,0,0,7,0,0,0,0,1,0,0,0,286,0,0,0,327,0,0,4146,0,34,0,120,0,0,0,0,0,0,0,0,22,0,0,0,110,0,0,0,5,0,0,0,0,0,0,0,37,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-06-30,0,14,147,7,0,0,0,1,314,1,0,784,3,0,0,40,0,0,0,0,625,0,0,0,0,1,0,3,5,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,21,0,147,0,9,298,0,10,182,0,59,8,0,0,0,8,0,0,0,0,1,0,0,0,337,3,0,4,419,0,0,4611,0,46,0,11,0,0,0,0,0,0,0,0,3,0,0,0,34,0,0,0,8,0,0,0,0,0,0,0,392,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-07-31,0,22,0,7,0,0,2,0,406,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,30,0,0,6,0,0,46,0,0,0,1,0,0,0,0,0,0,0,0,61,0,2,0,0,0,0,14,0,145,0,4,81,0,0,161,0,0,6,0,0,0,5,0,0,0,0,1,0,0,0,137,0,0,3,537,0,0,4337,0,12,0,16,0,1,0,0,0,0,0,0,7,0,0,0,99,0,0,0,2,0,0,0,0,0,0,0,78,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-08-31,0,22,177,0,0,0,1,7,0,0,2,0,9,0,0,2,0,0,0,3,0,0,0,3,0,0,0,11,15,0,0,69,0,0,0,0,0,30,0,0,0,0,0,0,113,0,7,0,0,0,0,57,0,192,7,1,156,0,0,2694,0,21,3,0,0,0,10,0,0,1,2,3,0,0,0,165,3,0,0,164,0,0,2542,0,0,0,20,0,0,0,0,0,0,0,0,4,0,0,0,47,0,0,0,8,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-09-30,0,26,0,0,0,0,2,0,42,1,0,0,0,0,0,8,0,0,0,7,3,0,0,0,0,0,0,370,25,0,0,57,0,0,0,0,0,4,0,0,0,0,0,0,68,0,1,80,0,0,0,24,0,517,11,0,94,0,57,68,0,138,12,0,0,2,1,0,0,0,2,2,4,0,0,214,0,0,0,165,10,0,2091,0,14,0,32,0,13,0,0,0,0,0,0,10,0,0,0,64,0,0,0,8,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-10-31,0,33,1,0,0,0,12,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,20,49,0,0,89,0,0,0,0,0,32,0,0,0,0,0,0,389,0,7,32,0,0,0,34,0,305,21,0,195,0,0,150,0,182,16,0,0,0,7,0,0,0,0,2,0,0,0,7,0,0,2,261,0,0,1660,0,0,0,66,0,11,0,0,0,0,0,0,2,0,0,0,92,0,0,0,4,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-11-30,0,33,0,0,0,0,0,0,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,45,0,0,0,0,0,23,10,0,0,0,2,0,4,0,0,9,0,0,0,51,0,69,80,0,80,0,0,0,0,51,6,0,0,0,4,0,0,0,1,8,0,0,0,51,0,0,0,198,6,0,1270,0,7,0,152,0,2,0,0,0,0,0,0,4,0,0,0,126,0,0,0,59,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-12-31,0,41,0,0,0,0,1,4,380,5,0,0,26,0,0,3,0,0,0,0,0,0,0,0,0,36,0,2,0,0,60,42,0,0,0,0,0,3,0,0,0,0,0,2,7,0,0,13,0,0,0,8,0,68,0,0,424,0,0,190,0,3021,2,0,0,0,11,0,0,0,0,2,0,0,0,28,78,0,35,128,0,0,1188,0,3,0,67,0,46,1,0,0,0,0,0,6,0,0,0,17,0,0,0,11,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-01-31,0,36,45,0,0,0,6,1,209,70,0,0,0,0,0,311,0,0,0,24,270,2,0,0,0,203,0,18,1,0,0,36,0,0,0,24,0,1934,0,0,0,0,0,0,1,0,7,18,0,0,0,2,0,83,0,3,98,0,5,122,0,6,5,0,0,0,4,1,0,0,1,2,0,0,0,22,0,0,0,91,0,0,1071,0,220,0,25,0,10,0,0,0,0,0,0,1,0,0,0,69,0,0,0,7,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-02-28,0,35,4,0,0,0,0,1,340,20,0,0,3,0,0,522,0,0,0,0,114,0,0,0,0,50,0,13,0,0,7,50,0,0,0,0,0,873,0,0,0,0,0,0,48,0,11,53,0,0,0,99,0,45,0,6,36,0,0,557,0,0,12,0,0,0,5,14,0,0,0,4,0,0,0,98,0,0,2,22,27,0,669,0,0,0,51,0,7,0,0,0,0,0,0,6,0,0,0,47,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-03-31,0,101,62,0,0,0,0,42,1317,75,0,0,0,14,0,9,0,0,0,0,23,0,0,0,0,78,0,14,0,0,0,65,0,0,0,0,0,148,0,0,0,0,0,0,31,0,14,80,0,0,0,12,0,84,4,21,18,0,0,30,0,0,12,0,0,0,4,10,0,0,1,9,0,0,0,10,0,0,4,46,0,0,401,0,6,0,14,0,83,0,0,0,0,0,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-04-30,0,62,104,0,0,0,0,3,1379,63,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,108,0,0,0,51,0,30,6,6,115,0,0,37,0,177,12,0,0,0,4,10,0,0,0,1,0,0,0,86,15,0,0,100,0,0,1569,0,9,0,56,0,4,0,0,0,0,0,0,8,0,0,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-05-31,0,71,4,0,0,0,0,4,110,8,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,200,0,1,1,78,0,0,0,0,0,40,11,0,0,0,0,0,0,0,0,2,0,0,0,46,0,154,9,6,167,0,0,1034,0,52,5,0,0,0,18,19,0,0,0,2,0,0,0,20,0,0,0,77,7,0,1248,0,1,0,29,0,27,0,0,0,0,0,0,17,0,0,0,68,0,0,0,8,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-06-30,0,44,0,0,0,0,0,3,213,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,21,0,600,0,0,0,48,0,0,0,0,0,547,0,0,0,0,0,0,0,0,2,20,0,0,0,30,0,278,11,0,81,0,0,51,0,0,12,0,0,0,2,0,0,0,7,2,0,0,0,99,0,13,0,40,0,0,2564,0,6,1,3,0,19,0,0,0,0,0,0,6,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-07-31,0,58,0,0,0,0,0,11,828,52,0,0,164,0,0,0,1,0,0,4,0,0,0,0,0,9,0,2,0,0,62,220,0,0,0,0,0,1397,0,0,0,0,2,0,5,0,0,1,1,0,0,3,0,374,91,0,189,0,0,372,0,422,77,0,0,0,7,0,0,0,0,1,0,0,0,378,11,8,12,89,0,0,2472,0,6,0,2,0,19,0,0,0,0,0,0,2,0,0,0,18,0,0,0,10,0,0,0,0,0,0,0,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-08-31,0,47,3,0,0,0,0,4,162,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,48,0,3,0,0,37,60,0,0,0,0,0,1014,0,0,0,0,0,0,0,0,1,0,0,0,0,31,0,491,0,0,243,0,31,272,0,207,12,0,0,0,4,4,0,0,0,2,0,0,0,83,11,21,0,53,0,0,814,0,7,2,20,0,138,0,0,0,0,0,0,6,0,0,0,81,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-09-30,0,77,0,0,0,0,0,11,45,38,0,26,0,0,0,0,0,0,0,4,4,0,0,0,0,63,0,8,0,0,988,42,0,0,0,0,0,619,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,353,1,0,335,0,6,75,0,37,0,0,0,0,9,85,0,2,0,2,0,0,0,5,0,0,0,550,0,0,960,0,113,0,47,0,59,0,0,0,0,0,0,5,1,0,0,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-10-31,0,63,1,0,0,0,0,2,0,0,0,36,73,6887,0,0,0,0,0,0,26,0,0,0,0,8,0,1,0,0,0,67,0,0,0,0,0,170,0,0,0,0,0,0,50,0,0,0,0,0,0,13,0,536,0,0,50,0,6,168,0,82,9,0,0,0,8,0,0,138,1,13,0,0,0,0,0,0,0,15,0,0,591,0,2,0,13,0,14,0,0,0,0,0,0,15,0,0,0,51,0,0,0,3,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-11-30,0,82,0,0,0,0,0,2,5,3,0,0,0,274,0,74,0,0,0,1,0,0,0,0,0,75,0,0,0,0,0,51,0,0,0,0,0,275,0,0,0,0,39,0,26,0,0,1,0,0,0,0,0,185,0,0,186,0,0,306,0,1,3,0,0,0,8,2,0,0,2,1,0,0,0,4,0,0,0,918,0,0,643,0,2,0,17,0,43,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-12-31,0,109,0,0,0,0,0,18,329,5,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,72,0,9,1,0,90,64,0,0,0,0,0,8,36,21,0,0,16,0,94,0,0,0,0,0,0,11,0,146,23,1,128,0,0,23,0,57,6,0,0,0,15,0,0,0,0,8,0,0,0,387,0,0,0,83,0,0,716,0,1,0,17,0,15,0,0,0,0,0,0,5,36,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-01-31,0,62,231,0,0,0,7,11,436,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,134,0,51,0,0,0,18,0,0,0,0,0,247,23,0,0,0,13,0,60,0,0,0,0,0,0,4,0,302,8,23,193,0,3,1271,0,0,6,0,0,0,9,0,0,0,0,1,0,0,0,912,0,14,0,4,100,0,1205,0,0,0,55,0,28,0,0,0,0,0,0,6,0,0,0,17,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-02-28,20,112,0,0,0,0,2,29,312,0,30,56,1,11,0,5,0,0,0,2,30,2004,0,0,0,147,0,10,0,0,0,68,0,0,0,0,0,432,56,0,0,0,3,0,12,0,1,0,0,0,0,2,0,120,10,0,60,0,1,260,0,4,9,0,0,0,10,0,0,0,1,1,0,0,0,73,0,14,0,20,0,0,771,0,0,0,23,0,296,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-03-31,0,315,0,0,0,0,0,21,2,0,14,0,21,231,0,25,0,0,0,37,0,0,0,0,0,198,0,282,0,0,0,228,0,0,0,0,0,3,11,0,0,0,0,0,33,0,17,0,0,0,0,4,0,293,49,0,46,0,13,226,0,3,22,0,0,0,18,0,0,0,0,1,0,0,0,77,0,3,1,104,0,0,512,0,0,0,46,0,10,0,0,0,0,0,0,6,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-04-30,180,164,0,4,0,0,0,20,40,2,0,0,0,0,0,630417,0,0,0,0,30,0,0,0,0,90,0,59,0,0,34,116,0,0,0,0,0,59,0,0,0,0,1,0,1,0,0,0,0,0,0,15,0,580,0,2,70,0,4,481,0,0,11,0,0,0,15,1,0,0,3,4,0,0,0,306,0,0,1,8,0,0,740,0,0,0,0,0,13,0,0,0,0,0,0,6,26,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-05-31,468,144,0,29,0,0,23,0,1,0,0,0,0,0,0,16202,0,0,0,0,8,0,0,0,0,357,0,40,0,0,6,11,0,0,0,0,0,316,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,461,491,0,136,0,23,148,0,0,3,0,0,0,11,0,0,0,1,3,0,0,0,107,0,0,1,25,0,0,293,0,0,0,16,0,4,0,0,0,0,0,0,2,0,0,0,38,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-06-30,354,116,126,363,0,0,0,0,0,0,5,0,5,165,0,2101,0,0,0,0,18,0,0,0,0,149,0,32,0,0,17,4,0,0,0,0,0,1133,0,0,0,0,0,0,21,0,0,0,0,0,0,97,0,263,79,6,105,0,1,393,0,30,38,0,0,0,0,0,0,180,1,0,0,0,0,0,30,0,0,46,5,0,434,0,0,0,10,0,4,0,0,0,0,0,0,3,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-07-31,70,65,100,118,0,0,0,1,0,0,15,0,0,14,0,770,1,0,0,0,8,0,0,0,0,188,0,1,0,0,3,15,0,0,0,0,0,113,0,0,0,0,0,0,74,0,0,0,0,0,0,7,0,553,5,0,247,0,10,187,0,82,3,0,0,0,6,0,0,0,3,1,0,0,0,2,0,0,0,11,0,0,329,0,0,0,152,0,8,0,0,0,0,0,0,2,12,0,0,16,86,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-08-31,0,96,39,0,0,0,14,12,0,109,9,1,1,50,0,5156,0,0,0,0,0,0,0,0,0,178,0,40,0,0,3,0,0,0,0,0,0,355,0,0,0,0,0,0,217,0,1,0,0,0,0,36,0,440,4,0,216,0,7,276,0,65,19,0,0,0,5,15,0,0,1,4,0,0,0,0,0,0,0,79,0,0,232,0,0,0,46,0,5,0,0,0,0,0,0,5,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-09-30,0,166,0,0,0,0,1,23,0,33,4,0,0,53,0,2,0,0,0,0,0,0,0,0,0,37,0,495,0,0,0,11,0,0,0,0,0,87,10,0,0,0,0,0,2,0,1,0,4,0,0,6,0,336,17,0,114,0,15,483,0,172,2,0,0,0,3,0,0,6,0,1,0,0,0,2,0,0,4,160,0,0,291,0,0,0,2,0,41,0,0,0,5,0,0,17,0,0,0,42,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-10-31,0,210,0,89,0,0,0,18,165,2,0,0,0,229,0,12,0,0,0,0,42,0,0,0,0,109,0,114,0,0,0,25,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,392,5,1,63,0,3,215,0,1,5,0,0,0,30,0,0,58,0,0,0,0,0,10,0,0,0,13,0,0,667,0,0,0,30,0,63,0,0,0,0,0,2,10,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-11-30,0,283,0,46,0,0,0,7,0,8,0,0,0,37,0,64,0,0,0,0,93,0,0,0,0,216,0,236,1,0,0,6,0,0,0,0,0,119,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,253,7,0,72,0,45,105,0,0,8,0,0,0,9,0,0,58,0,0,0,0,0,0,0,0,0,13,0,0,903,0,0,0,44,0,27,0,0,0,0,0,0,3,0,0,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-12-31,0,168,0,32,0,0,0,20,0,0,0,0,0,54,0,10,0,0,0,0,131,0,0,0,0,66,0,48,1,0,0,1,0,0,0,0,0,9,0,0,0,0,1,0,474,0,0,0,0,0,0,52,0,90,34,0,36,0,18,16,0,9,18,0,0,0,0,0,0,183,1,0,0,0,0,0,0,1,1,41,0,0,510,0,0,0,17,0,2,0,0,0,0,0,1,0,0,0,0,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-01-31,0,154,0,4,0,0,0,56,126,0,15,0,12,93,0,19,0,0,0,0,39,0,0,0,0,313,0,22,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,54,0,0,5,0,0,0,55,0,101,19,0,70,0,3,294,0,0,23,0,0,0,30,0,0,147,2,0,0,0,0,4,0,0,14,3,1,0,187,0,0,0,15,0,129,0,0,7,0,0,1,4,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-02-28,0,188,0,0,0,0,0,7,7,0,0,0,0,19,0,2,4,0,0,0,11,0,0,0,0,402,0,37,0,0,0,9,0,0,0,0,0,48,0,0,0,0,0,0,303,0,4,3,0,0,0,0,0,249,69,1,72,0,3,129,0,3,10,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,1,0,4,0,156,0,0,0,12,0,216,0,0,4,0,0,2,1,0,0,0,29,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-03-31,0,829,0,0,0,0,9,9,3,3,0,0,0,711,0,0,0,0,0,10,78,150,0,0,0,337,0,419,0,0,0,11,0,0,0,0,0,59,0,0,0,0,0,0,463,0,0,11,5,0,0,8,0,225,120,1,72,0,15,756,0,3,5,0,0,0,3,0,0,124,0,0,0,0,0,51,5,10,0,0,0,0,307,0,1,0,33,0,60,0,0,0,0,0,0,4,0,0,0,26,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-04-30,0,230,5,0,0,0,0,3,0,0,315,2,0,77,0,4066,2,0,0,0,51,5,0,0,0,272,0,316,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,42,0,0,12,0,0,0,90,0,461,38,0,70,0,1,1027,0,200,8,0,0,0,21,0,0,291,2,0,0,0,0,0,0,0,0,204,0,0,353,0,0,0,54,0,62,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-05-31,0,243,24,0,0,0,0,19,2,1,22,0,0,14,0,0,3,0,0,0,19,0,0,0,0,102,0,113,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,104,0,0,0,0,0,0,11,0,278,14,0,144,0,30,1044,0,3,12,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,14,369,0,0,681,0,266,0,50,0,30,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-06-30,0,91,6,0,0,0,0,48,85,85,0,4,0,80,0,0,0,0,0,1,2,0,0,0,0,302,0,3,0,0,0,17,0,0,0,0,0,8,0,0,0,0,0,0,10,0,5,10,32,0,0,5,0,637,43,5,57,0,64,321,0,15,10,0,0,0,7,0,0,220,2,0,0,0,0,0,0,0,6,488,17,0,460,0,1,0,8,0,12,0,0,0,0,0,0,5,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-07-31,0,184,0,0,8,0,27,12,147,289,13,0,4,57,0,2,0,0,0,0,58,0,0,0,0,273,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,125,0,0,42,0,0,0,0,0,482,22,0,87,0,6,239,0,38,9,0,0,0,6,0,0,37,0,0,0,0,0,0,0,0,8,908,0,0,13659,0,1,0,53,0,108,0,0,0,0,0,0,2,0,0,0,58,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-08-31,0,207,17,0,0,0,29,26,23,0,138,0,0,53,0,1,0,0,0,7,38,0,0,0,0,183,0,29,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,70,0,2,9,0,0,0,6,0,264,30,1,101,0,0,280,0,1,12,0,0,0,6,0,0,33,0,0,0,0,0,0,0,9,0,153,0,0,260,0,682,0,79,0,27,0,0,0,0,0,3,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-09-30,0,177,1,0,0,0,2,10,20,25,0,0,0,41,0,114,0,0,0,0,22,0,0,0,0,148,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,126,0,0,6,0,0,0,8,0,435,57,3,105,0,2,129,0,2,6,0,0,0,0,0,0,24,0,0,0,0,0,0,0,10,0,204,0,0,792,0,12,0,43,0,22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-10-31,0,238,0,0,0,0,0,18,92,0,21,0,0,279,0,13,3,0,0,0,74,0,0,0,0,95,0,0,1,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,97,0,4,15,0,0,0,0,0,354,31,2,102,0,2,645,0,21,18,0,0,0,0,0,0,69,0,0,0,0,0,0,2,0,0,1243,0,0,309,0,0,0,22,0,2,0,0,0,0,0,0,18,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-11-30,0,98,0,0,0,0,0,13,215,40,0,0,0,995,0,15,0,0,0,0,17,0,0,0,0,43,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,49,0,0,56,0,0,0,5,0,82,4,0,51,0,1,406,0,7,9,0,0,0,3,15,0,54,0,0,0,0,0,0,0,0,1,983,0,0,3,0,0,0,23,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-12-31,0,214,0,0,0,0,0,12,431,83,0,12,44,160,0,0,0,0,0,0,35,0,0,0,0,428,0,0,0,0,0,56,0,0,0,0,0,21,0,0,0,0,0,0,21,0,12,0,0,0,0,0,0,82,11,1,39,0,0,148,0,4,4,0,0,0,1,0,0,491,7,0,0,0,0,0,0,10,0,322,0,0,6,0,0,0,29,0,16,0,0,0,0,0,1,1,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-01-31,0,139,0,0,0,0,0,7,2049,12,0,17,0,93,0,0,1,0,0,0,111,0,0,0,0,41,0,3,0,0,4,12,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,5,0,0,12,0,74,28,0,94,0,13,108,0,2,1,0,0,0,4,0,0,323,0,0,0,0,0,0,0,0,15,151,0,0,0,0,0,0,44,0,92,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
