,Yemen,Algeria,Chad,Mali,France,Mauritania,Niger,Egypt,Sudan,Dem. Rep. Congo,Uganda,Ethiopia,Kenya,Burundi,Tanzania,Rwanda,Thailand,Guinea,Madagascar,Djibouti,Somalia,Ghana,Comoros,Central African Rep.,Gambia,Sierra Leone,Lesotho,Liberia,Mozambique,Zambia,Nigeria,South Africa,eSwatini,Zimbabwe,Botswana,Togo,Tunisia,Angola,Cameroon,Eritrea,Morocco,Namibia,Congo,Guinea-Bissau,Iraq,S. Sudan,Papua New Guinea,Senegal,Côte d'Ivoire,Libya,Bahrain,Philippines,Syria,Turkey,Myanmar,Bangladesh,India,China,Pakistan,Afghanistan,Laos,Tajikistan,Lebanon,Uzbekistan,Kyrgyzstan,Solomon Islands,Israel,Iran,Malaysia,Russia,Spain,United Kingdom,Germany,Netherlands,Honduras,Azerbaijan,Armenia,Brazil,Indonesia,Sri Lanka,Mexico,Trinidad and Tobago,Bosnia and Herz.,Serbia,Croatia,Nepal,Colombia,Bhutan,Cambodia,Jordan,Saudi Arabia,Ecuador,Jamaica,Bolivia,Canada,Guatemala,Haiti,United States of America,Guyana,Peru,Argentina,Paraguay,Italy,Venezuela,El Salvador,Panama,Nicaragua,Kuwait,Ukraine,Malta,United Arab Emirates,Moldova,Romania,Qatar,Georgia,Albania,Macedonia,Burkina Faso,Belgium,Sweden,Australia,Benin,Austria,Poland,Dem. Rep. Congo,Dominica,S. Sudan,Myanmar,Russia
1989-11-30,0,0,0,0,0,0,0,0,856,0,16,32,0,0,0,0,0,0,0,0,140,0,29,0,0,0,0,0,12,11,0,16,0,0,0,0,0,82,0,0,174,0,0,0,0,0,3,0,0,0,0,72,0,79,1,3,34,0,0,0,0,0,1,0,0,0,7,0,0,0,2,5,0,0,0,0,0,0,0,232,0,0,0,0,0,0,184,0,3,0,0,0,0,0,0,3,0,0,0,66,0,0,0,7,1394,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-12-31,0,0,0,0,0,0,0,0,1234,0,7,1817,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,45,18,11,0,85,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,58,224,2,22,0,15,10,0,0,67,0,0,0,7,0,0,1,0,2,0,0,0,0,0,0,0,420,1,0,0,0,0,0,15,0,55,0,0,0,0,0,0,7,0,0,0,106,0,0,0,1,26,843,17,0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-01-31,0,0,0,0,0,0,0,1,1015,0,9,7491,0,0,0,0,1,0,0,0,153,0,0,0,0,0,0,262,73,2,0,50,0,0,0,0,0,322,0,0,0,0,0,0,83,0,18,0,0,0,0,17,0,12,137,23,34,0,28,0,210,0,10,0,0,0,6,0,0,153,1,3,0,0,0,0,0,0,1,109,0,0,0,0,0,0,107,0,68,0,0,0,0,0,0,8,0,0,0,86,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-02-28,0,0,0,0,0,0,0,0,669,0,6,2617,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,12,50,6,0,60,0,0,0,0,0,509,0,0,0,0,0,0,0,0,29,0,0,0,0,204,0,22,166,9,36,0,75,54,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,5,44,0,100,0,0,0,0,0,0,8,0,0,0,48,0,0,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-03-31,0,0,0,0,0,2,0,0,1634,0,1,2760,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,48,8,0,0,281,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,55,64,6,131,0,16,149,42,0,144,0,0,0,4,0,0,19,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,14,0,0,0,75,0,0,0,8,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-04-30,0,0,244,0,0,8,0,3,63,5,99,11245,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,105,13,0,0,79,0,0,1,0,0,163,0,0,0,0,0,0,0,0,0,2,1,0,0,290,0,62,174,26,150,22,29,39,0,0,65,0,0,0,5,0,0,0,1,5,0,0,0,0,0,0,8,0,0,0,0,0,0,7,73,0,0,0,0,0,0,0,0,7,0,0,0,289,0,0,0,3,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-05-31,0,0,32,0,0,1,200,0,54,136,55,1845,7,0,0,0,3,0,0,60,0,0,0,0,0,0,0,275,667,4,0,53,0,0,0,0,0,30,6,0,0,0,0,0,0,0,0,4,0,0,0,121,0,92,6,3,180,0,164,8,0,0,40,0,0,0,5,1,0,0,0,2,0,2,0,0,0,0,10,0,1,0,0,0,0,0,91,0,0,0,0,0,0,0,0,29,2,0,0,10,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-06-30,0,0,0,8,0,0,0,0,608,0,99,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,1,0,24,0,7,0,0,0,49,0,0,0,0,0,0,34,0,0,2,0,0,0,48,0,102,2,11,90,0,28,0,0,0,8,0,0,0,2,23,0,171,3,3,1,0,0,0,0,0,25,1575,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,92,0,0,0,11,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-07-31,0,0,0,140,0,0,0,0,225,0,1,1300,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1151,136,10,0,67,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,3,0,0,0,31,0,69,12,0,122,0,43,95,0,0,195,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,45,950,0,8,0,0,0,0,19,0,53,0,0,0,0,0,0,9,0,0,0,181,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-08-31,0,0,0,29,0,0,0,0,119,0,48,128,0,7,0,0,1,0,0,0,80,0,0,0,0,0,0,1498,15,0,0,364,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,42,0,0,0,74,0,52,7,6,23,0,0,0,0,0,30,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,838,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,9,0,0,0,2,56,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
