,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Burkina Faso,Burundi,Cambodia (Kampuchea),Cameroon,Canada,Central African Republic,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,DR Congo (Zaire),Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Ivory Coast,Jamaica,Jordan,Kenya,Kingdom of eSwatini (Swaziland),Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar (Malagasy),Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar (Burma),Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,North Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia (Soviet Union),Rwanda,Saudi Arabia,Senegal,Serbia (Yugoslavia),Sierra Leone,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen (North Yemen),Zambia,Zimbabwe (Rhodesia),Antigua & Barbuda,Barbados,Belize,Costa Rica,Dominica,Dominican Republic,Greece,Malawi,
1989-11-30,0,0,0,82,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,184,29,0,0,0,0,0,0,1394,0,32,0,0,0,0,0,3,0,0,0,0,0,34,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,174,12,1,0,0,0,32,0,0,0,0,0,3,0,66,72,0,0,0,0,0,0,0,0,0,0,140,16,0,2,232,856,0,0,0,0,0,0,0,0,79,16,0,0,5,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0
1989-12-31,10,0,0,341,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,15,0,0,0,0,0,0,0,26,0,1817,0,0,0,0,0,7,0,0,0,0,0,22,0,0,0,7,0,0,0,0,0,0,0,0,0,67,0,45,0,0,0,0,0,0,1,0,0,18,224,0,0,0,17,0,0,0,15,843,0,0,106,138,0,0,448,1,0,0,0,0,0,0,40,85,0,0,420,1234,0,0,0,0,0,0,0,0,58,7,0,0,2,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0
1990-01-31,0,0,0,322,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,107,0,0,0,0,0,0,1,0,0,7491,0,0,0,0,0,8,0,0,0,0,0,34,1,0,83,6,0,0,0,0,0,0,0,0,210,10,0,262,0,0,0,0,0,0,0,0,0,73,137,0,0,0,2,0,0,0,28,0,18,0,86,17,0,0,0,153,0,0,0,0,0,0,153,50,0,1,109,1015,0,0,0,0,1,0,0,0,12,9,0,0,3,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0
1990-02-28,54,0,0,509,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,44,0,0,0,0,0,0,0,19,0,2617,0,0,0,0,0,8,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,407,0,12,0,0,0,0,0,0,0,0,0,50,166,0,5,0,0,0,0,0,75,0,29,0,48,204,0,0,0,0,0,0,0,0,0,0,0,60,0,0,29,669,0,0,0,0,15,0,0,0,22,6,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0
1990-03-31,149,0,0,227,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,1,0,2760,0,0,0,0,0,14,0,0,0,0,0,131,1,0,0,4,0,0,0,0,0,0,0,0,42,144,0,48,0,0,0,0,0,2,0,0,0,8,64,0,0,0,26,0,0,0,16,0,0,0,75,138,0,0,0,19,0,0,0,0,0,0,90,281,0,2,0,1634,0,0,0,0,0,0,0,0,55,1,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1990-04-30,39,0,0,163,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,244,22,73,0,0,0,0,5,0,3,6,0,11245,0,0,0,0,0,7,0,0,0,0,0,150,8,0,0,5,0,1,0,0,0,0,0,0,0,65,0,105,0,0,0,0,0,8,0,0,0,13,174,0,7,0,11,0,0,0,29,0,0,0,289,290,0,0,0,0,0,0,2,0,0,0,28,79,0,1,0,63,0,0,0,0,0,0,0,0,62,99,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1990-05-31,8,0,0,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,32,0,91,0,0,0,60,136,0,0,22,0,1845,0,0,0,0,0,29,0,0,0,2,0,180,10,1,0,5,0,0,0,0,7,0,0,0,0,40,0,275,0,0,0,0,0,1,1,0,0,667,6,0,0,2,0,200,0,0,164,0,0,0,10,121,0,0,0,0,0,0,4,0,0,0,0,53,0,0,0,54,0,0,0,0,3,0,0,0,92,55,0,0,2,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0
1990-06-30,0,0,0,49,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,73,0,1869,0,0,0,1,0,13,0,0,0,0,0,90,25,23,34,2,0,0,0,0,0,0,0,0,0,8,0,67,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,28,0,0,0,92,48,0,0,0,171,0,0,2,0,0,0,0,24,0,3,1575,608,0,0,0,0,0,0,0,0,102,99,0,0,3,0,0,11,0,1,7,0,0,0,0,0,0,0,0,0
1990-07-31,95,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,19,0,0,0,0,0,0,0,6,0,1300,0,0,0,0,0,9,0,0,0,0,0,122,45,7,0,0,0,0,0,0,0,0,0,0,0,195,0,1151,0,0,0,140,0,0,0,0,0,136,12,0,0,0,0,0,0,0,43,0,0,0,181,31,0,0,0,0,0,0,3,0,0,0,15,67,0,0,950,225,0,0,0,0,0,0,8,0,69,1,0,0,7,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0
1990-08-31,0,0,0,47,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,128,0,0,0,0,0,8,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,926,0,0,30,0,1498,0,0,0,29,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,9,74,0,0,0,15,0,0,42,0,0,0,80,364,0,0,838,119,0,0,0,0,1,0,0,0,52,48,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1990-09-30,16,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,57,0,2436,0,0,0,0,0,5,0,0,0,0,0,27,61,0,0,1,0,8,0,0,0,0,41,0,0,75,0,149,0,0,0,55,0,0,0,0,0,37,6,0,2,0,0,0,0,0,0,0,1,0,234,33,0,0,0,0,0,0,14,0,0,0,72,237,0,3,252,409,0,0,0,0,0,0,0,0,67,93,0,0,4,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0
1990-10-31,631,0,0,128,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,23,0,0,0,0,0,0,0,22,0,162,0,0,0,0,0,11,0,0,0,0,0,418,0,0,0,4,0,0,0,0,0,0,129,0,0,700,0,6,0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,80,0,2,0,13,0,82,152,0,0,0,0,2320,0,8,0,0,0,641,27,0,0,339,60,0,0,0,0,0,0,0,0,28,1,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1990-11-30,27,0,0,27,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,50,0,0,0,400,0,53,0,0,0,0,0,0,0,101,0,24,0,0,0,0,0,8,0,0,0,0,0,258,9,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,48,92,0,0,0,0,195,0,3,0,0,0,154,49,0,2,301,102,0,0,0,0,0,0,0,0,41,0,0,0,6,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0
1990-12-31,0,0,1,60,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,117,0,0,0,0,6,0,0,59,0,2109,0,0,0,0,0,22,0,0,0,0,0,281,0,0,0,12,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,1,0,0,0,28,16,0,0,0,10,62,0,1,0,0,0,1414,147,0,7,383,0,0,0,0,0,0,0,0,0,28,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-01-31,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,40,0,83,0,0,1399,3,0,0,0,0,0,0,47,0,0,4,0,5,0,0,0,0,0,0,0,0,0,69,7,0,0,0,0,0,0,0,2,0,0,0,44,38,0,0,0,31,24,62,4,0,0,0,3300,72,0,1,137,189,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1991-02-28,5,0,0,55,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,1144,0,0,0,0,0,16,0,0,0,0,0,26,2,0,1327,0,0,0,0,0,0,0,413,0,0,7,0,2,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,15,0,0,0,58,77,0,0,0,28,18,29,3,0,0,0,50,47,0,0,282,82,0,0,0,0,0,0,0,0,15,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-03-31,190,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,56,0,0,0,0,0,0,0,25,0,5730,0,0,0,0,0,3,0,0,0,0,0,61,63,1,2673,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,186,81,0,0,0,0,0,0,0,4,0,11,0,15,73,0,0,0,4,0,0,8,0,24,0,200,169,0,1,709,328,0,0,0,0,2,0,0,0,20,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-04-30,310,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,40,0,0,0,0,11,0,0,7,0,139,0,0,0,0,0,10,0,0,0,0,0,40,9,0,176,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,150,0,4,0,0,0,62,65,0,0,0,38,0,0,1,0,144,0,200,53,0,2,808,570,0,0,0,0,0,32,0,0,38,42,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1991-05-31,182,0,0,84,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,57,0,0,0,0,0,0,0,18,0,3718,0,0,0,0,0,10,0,0,0,0,0,238,5,0,164,6,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,44,0,0,0,0,0,30,2,0,0,0,0,0,0,0,6,0,0,0,93,96,0,0,0,15,3,0,0,0,98,0,0,46,0,13,344,60,0,0,0,0,0,0,0,0,43,215,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1991-06-30,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,600,0,0,0,0,8,8,0,0,0,0,0,79,1,0,4,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,50,42,0,2,0,0,0,0,0,12,0,0,0,125,65,0,0,0,1,0,0,0,36,84,0,0,57,0,8,454,14,0,0,0,0,0,0,0,0,20,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-07-31,282,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,64,0,0,0,15,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,116,8,0,84,4,0,0,0,0,0,0,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,54,0,0,0,18,0,0,0,249,87,0,0,31,0,4,2346,0,0,0,0,0,0,0,0,0,95,50,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1991-08-31,360,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,19,0,0,0,0,0,31,0,0,13,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,24,0,0,0,0,19,145,16,0,0,0,0,0,0,0,0,0,0,0,297,32,0,0,0,24,10,0,0,250,103,0,0,40,0,5,481,0,0,0,0,0,0,0,0,0,48,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-09-30,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,42,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,78,6,0,20,7,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,42,96,0,0,0,0,0,0,0,19,0,0,0,120,106,0,0,0,46,0,0,0,268,28,0,1000,90,0,3,300,267,0,0,0,0,0,0,0,0,27,4,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1991-10-31,208,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,70,0,32,0,0,0,0,18,0,0,26,0,100,0,0,0,0,0,5,0,0,0,62,0,168,23,0,111,4,0,0,0,0,0,0,0,0,0,9,0,307,0,0,0,0,0,0,0,0,0,64,49,0,0,0,0,18,230,0,0,0,0,0,290,41,0,0,0,21,0,0,0,250,45,0,0,27,0,3,185,5,0,0,0,0,0,31,0,0,56,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1991-11-30,290,0,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,208,2,0,0,0,0,0,74,0,0,0,44,0,0,0,6,0,25,0,0,0,0,0,2,0,0,0,0,0,81,298,0,6,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,60,220,0,0,0,0,0,0,0,0,0,18,0,115,22,0,0,0,6,66,0,0,292,16,0,1030,53,0,3,85,1998,0,0,0,0,0,0,0,0,27,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1991-12-31,23,0,31,0,0,0,0,0,35,0,10,0,0,0,0,0,0,0,0,0,13,0,0,0,25,0,56,0,0,0,75,0,0,0,0,0,0,0,0,52,0,0,11,0,0,0,0,0,91,8,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,122,534,0,0,0,0,9,0,0,0,0,0,0,29,32,0,0,0,2,0,0,0,158,178,0,1000,37,0,2,83,0,0,0,0,0,0,0,0,0,53,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1992-01-31,0,0,1,0,0,0,0,0,402,0,16,0,0,0,0,0,0,0,0,0,51,15,0,0,726,0,41,0,0,0,104,0,0,0,4,0,181,0,0,26,0,0,8,0,0,0,0,0,95,2,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,100,338,0,0,0,0,4,0,0,0,0,0,0,81,15,0,0,0,0,38,0,0,33,12,0,1500,28,0,5,145,236,0,0,0,1,0,0,0,0,13,71,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1992-02-29,35,0,17,0,0,1,0,0,771,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,18,0,0,0,15,34,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,88,1,0,0,6,0,0,0,0,0,0,0,0,0,24,0,12,0,0,0,58,0,0,0,0,0,88,184,0,0,0,0,3,196,0,0,0,0,0,63,78,0,0,0,0,8,0,0,29,36,0,149,85,0,10,104,7,0,0,0,0,0,0,0,0,46,0,0,0,11,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0
1992-03-31,5,0,8,0,0,0,0,0,310,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,9,0,0,10,0,0,4,0,0,0,0,0,102,1,0,21,9,0,0,0,0,29,0,0,0,0,3,0,7,0,0,0,0,0,0,0,36,0,24,631,0,0,0,0,4,200,0,0,0,0,0,104,69,0,0,0,0,424,0,0,92,43,0,2,83,0,2,231,136,0,0,0,0,0,0,0,0,85,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
1992-04-30,99,0,6,0,0,0,0,0,110,0,142,0,0,0,0,206,0,0,0,61,0,0,0,0,76,0,39,0,0,2,0,13,0,0,0,0,1,0,0,4,0,0,5,0,0,0,0,0,145,1,4,101,3,0,0,0,0,76,0,0,0,0,8,0,0,0,0,0,0,0,0,0,42,0,0,19,0,0,0,0,0,0,0,0,0,19,0,12,40,0,0,0,0,36,0,1,1710,9,0,60,80,0,1,222,53,0,0,0,0,0,0,0,0,134,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1992-05-31,95,0,20,0,0,0,0,0,286,0,31,0,0,0,0,4146,0,0,0,0,0,0,0,0,0,0,120,0,0,34,0,0,0,0,0,0,0,0,0,18,0,63,22,0,0,0,0,0,141,0,0,25,7,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0,12,0,0,0,37,0,12,0,0,0,0,0,0,487,0,5,0,18,0,110,34,0,0,0,0,0,0,0,0,278,0,300,59,0,0,327,552,0,0,75,0,0,4,0,0,205,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1992-06-30,182,0,14,0,0,3,0,0,337,0,9,0,0,0,0,4611,0,0,0,0,0,0,0,0,147,0,11,0,0,46,0,1,0,1,0,0,784,0,0,97,0,0,3,0,0,0,0,0,298,4,0,11,8,0,0,0,0,3,0,0,0,0,8,0,3,0,0,0,7,0,0,0,392,0,5,0,0,0,0,0,0,0,0,10,0,1,0,34,21,0,0,0,0,40,0,0,0,1,0,625,43,0,0,419,314,0,0,59,0,0,0,0,0,147,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1992-07-31,161,0,22,0,0,0,0,0,137,0,4,0,0,0,0,4337,0,0,0,0,1,0,0,0,0,0,16,0,0,12,0,0,0,0,0,0,0,0,0,34,0,0,7,0,0,0,0,0,81,3,0,61,5,0,0,0,0,13,0,0,0,0,6,0,0,0,0,0,7,0,0,0,78,0,6,0,0,0,0,0,2,0,0,0,0,2,0,99,14,0,0,0,0,3,0,0,0,30,0,0,46,0,0,537,406,0,0,0,0,0,1,0,0,145,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1992-08-31,2694,0,22,30,0,3,0,0,165,0,1,0,0,0,0,2542,0,0,0,0,0,0,0,3,177,0,20,0,0,0,3,0,0,7,0,0,0,0,0,236,0,0,4,0,0,0,0,0,156,0,0,113,10,0,0,0,0,9,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,15,7,0,0,0,0,1,0,0,0,0,7,0,47,57,0,0,0,1,2,0,0,0,0,0,0,69,0,2,164,0,0,0,21,0,0,0,0,0,192,2,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1992-09-30,68,0,26,4,0,0,0,0,214,0,0,0,0,0,0,2091,0,0,0,0,13,0,0,0,0,0,32,0,0,14,7,1,0,0,0,0,0,0,0,177,4,0,10,0,0,0,0,0,94,0,0,68,1,0,0,0,0,0,0,0,0,0,12,0,370,0,0,0,0,0,0,10,0,0,25,11,0,0,0,0,2,0,0,57,0,1,0,64,24,0,0,0,0,8,0,80,0,0,2,3,57,0,2,165,42,0,0,138,0,0,0,0,0,517,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
