date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Malawi
2019-08,3463.414722,0.000000,2.849419,11.356020,0.000000,0.000000,7.464809,0.000000,1.536597,0.000000,7.050329,0.000000,4.576229,0.000000,0.000000,0.000000,0.000000,110.578800,454.177250,13.479349,0.000000,202.153150,0.000000,54.844306,92.754283,0.000000,18.933102,30.080603,0.000000,0.000000,0.000000,670.238263,4.339115,109.235144,1.844502,0.000000,58.336228,16.449835,1.126570,0.000000,0.000000,3.900061,0.000000,4.914306,0.000000,0.000000,165.395847,0.000000,89.475154,8.484578,3.693061,168.273229,10.432802,0.000000,75.330753,0.000000,0.000000,25.720957,1.325940,0.000000,0.000000,0.000000,0.000000,0.000000,1.341448,595.901593,4.024343,0.000000,227.911562,0.000000,0.696755,935.604298,0.000000,1.917818,152.613190,19.943936,1.449594,0.000000,0.000000,0.000000,56.871342,717.864218,0.000000,34.962737,0.000000,14.115063,0.957035,1.449594,45.590151,0.000000,0.000000,0.000000,3.419152,28.861353,2.630000,0.715857,0.000000,0.000000,0.000000,505.329206,2.388616,102.178613,0.000000,202.835737,20.448712,0.000000,1059.166417,25.055333,0.993009,8.258096,20.800000,0.000000,1.679956,44.663180,1.075139,20.873553,0.000000,0.795434,0.000000,0.000000,7.262783,711.416332,0.000000,13.135947,2.979028
2019-09,3898.761311,0.000000,1.863483,11.862231,0.000000,0.000000,1.722669,0.000000,1.008419,0.000000,3.901190,0.000000,15.967201,0.000000,0.000000,0.000000,0.000000,103.168056,213.611066,80.123943,0.000000,263.163170,0.000000,28.465315,61.666922,0.000000,22.188668,4.674051,0.000000,0.000000,0.000000,596.854517,2.124302,71.954290,1.870192,0.000000,95.691192,8.405923,1.683973,0.000000,0.000000,2.420412,0.000000,0.438740,0.000000,0.000000,550.346072,0.000000,130.397634,22.216783,11.079184,141.191115,1.275302,0.000000,19.109252,0.000000,0.000000,48.738135,2.038106,0.000000,0.000000,0.000000,0.000000,0.000000,1.480824,404.292017,4.442472,0.000000,164.447187,0.000000,0.614381,1457.018683,0.000000,2.386844,66.218626,17.695971,2.056844,0.000000,0.000000,0.000000,71.170975,576.903150,0.000000,58.471303,0.000000,16.133504,0.859932,2.056844,34.945292,0.000000,0.000000,0.000000,3.360709,15.441996,1.040000,1.276061,0.000000,0.000000,0.000000,526.860965,1.469167,65.518717,0.000000,266.028158,36.210010,0.000000,1341.098089,187.007758,0.887031,9.168598,0.606667,0.000000,4.203794,65.525729,1.115374,39.667258,0.000000,1.043248,0.000000,0.000000,3.088419,363.176257,0.000000,20.885837,2.661092
2019-10,3839.945156,0.000000,0.758592,4.482157,0.000000,0.000000,0.597024,0.000000,1.753479,0.000000,1.083691,0.000000,0.938852,0.000000,0.000000,0.000000,0.000000,93.785438,189.596087,57.327778,0.000000,417.033406,0.000000,13.941153,85.635883,0.000000,53.978906,1.730425,0.000000,0.000000,0.000000,698.803282,5.650487,138.050607,2.296310,0.000000,136.391669,55.568051,0.685436,0.000000,0.000000,6.417447,0.000000,2.812151,0.000000,0.000000,531.089346,0.000000,171.622383,17.235680,46.747786,104.055234,5.173995,0.000000,0.500665,0.000000,0.000000,40.227091,1.107428,0.000000,0.000000,0.000000,0.000000,0.000000,1.276680,254.290051,3.830039,0.000000,233.957040,0.000000,1.012828,682.237291,0.000000,0.943561,81.763738,23.022235,1.941975,0.000000,0.000000,0.000000,59.052031,642.972839,0.000000,51.009295,0.000000,13.281986,1.082835,1.941975,48.418855,0.000000,0.000000,0.000000,2.187288,24.348076,6.240000,0.502054,0.000000,0.000000,0.000000,92.739007,2.145716,155.192240,0.000000,103.007393,33.350984,0.000000,1313.731586,107.209030,1.444862,13.953664,0.650000,0.000000,4.928198,60.481119,0.463322,25.039292,0.000000,0.403951,0.000000,0.000000,7.132563,850.805146,0.000000,8.772895,4.334587
2019-11,4392.460152,0.000000,1.820222,0.472629,0.000000,0.000000,13.377289,0.000000,1.787440,0.000000,5.747414,0.000000,0.681273,0.000000,0.000000,0.000000,0.000000,110.992313,185.208650,26.189839,0.000000,124.151750,0.000000,306.980360,85.380962,0.000000,39.160114,26.990734,0.000000,0.000000,0.000000,923.656101,0.565759,532.336272,0.730090,0.000000,371.930758,32.592647,0.418664,0.000000,0.000000,4.336391,0.000000,0.669472,0.000000,0.000000,37.201774,0.000000,84.911838,3.344074,13.122549,68.994544,19.153653,0.000000,16.481848,0.000000,0.000000,22.160630,8.136760,0.000000,0.000000,0.000000,0.000000,0.000000,3.301248,895.295124,9.903745,0.000000,238.534050,0.000000,1.170963,858.896376,0.000000,0.963648,82.617902,12.751898,2.489656,0.000000,0.000000,0.000000,99.200573,545.129169,0.000000,82.461421,0.000000,29.191796,1.242776,2.489656,62.018964,0.000000,0.000000,0.000000,5.002244,32.256462,0.780000,1.309081,0.000000,0.000000,0.000000,407.896895,1.156195,91.698293,0.000000,413.318577,41.066679,0.000000,1186.427547,17.720182,1.387736,11.226902,0.953333,0.000000,12.103176,47.773660,1.230027,26.679709,0.000000,1.620857,0.000000,0.000000,3.126448,417.650341,0.000000,23.949944,4.163207
2019-12,3027.943427,0.000000,0.319353,9.570004,0.000000,0.000000,1.606630,0.000000,1.324053,0.000000,4.096580,0.000000,6.915623,0.000000,0.000000,0.000000,0.000000,115.415670,261.440398,18.344231,0.000000,319.750898,0.000000,8.272685,70.053190,0.000000,16.372451,4.206325,0.000000,0.000000,0.000000,509.585446,27.169986,349.397203,7.378945,0.000000,128.540459,5.161382,1.702900,0.000000,0.000000,3.644316,0.000000,5.574725,0.000000,0.000000,62.660843,0.000000,107.241503,2.232428,8.243776,79.235451,2.881253,0.000000,3.859239,0.000000,0.000000,32.178333,4.871008,0.000000,0.000000,0.000000,0.000000,0.000000,1.495787,561.819413,4.487362,0.000000,191.932207,0.000000,1.262939,561.820141,0.000000,0.709824,65.206582,23.026218,1.420278,0.000000,0.000000,0.000000,129.444366,442.556645,0.000000,22.998216,0.000000,14.875325,0.380272,1.420278,31.174184,0.000000,0.000000,0.000000,4.837749,19.096982,0.000000,0.740099,0.000000,0.000000,0.000000,198.114632,0.751984,102.784606,0.000000,506.532758,26.812593,0.000000,1213.932006,4.960879,2.110344,19.896716,0.650000,0.000000,14.663593,66.735442,1.820856,20.968427,0.000000,1.986403,0.000000,0.000000,5.487696,275.689853,0.000000,35.556102,6.331033
2020-01,3405.703885,0.000000,3.334294,13.898503,0.000000,0.000000,3.000134,0.000000,0.701592,0.000000,18.511462,0.000000,7.263658,0.000000,0.000000,0.000000,0.000000,111.601195,190.613592,9.137719,0.000000,259.670738,0.000000,69.141730,34.195404,0.000000,44.885663,7.154789,0.000000,0.000000,0.000000,843.354018,11.857154,313.480612,5.671088,0.000000,81.822245,11.520682,1.330707,0.000000,0.000000,2.215135,0.000000,1.863478,0.000000,0.000000,61.488527,0.000000,104.578792,9.403644,4.565034,70.056279,50.454742,0.000000,1.618059,0.000000,0.000000,30.738731,0.901357,0.000000,0.000000,0.000000,0.000000,0.000000,2.438055,176.755934,7.314164,0.000000,322.501387,0.000000,0.783687,552.282893,0.000000,1.553668,45.174050,12.201096,1.315077,0.000000,0.000000,0.000000,63.680907,347.902455,0.000000,40.469447,0.000000,22.323890,0.680185,1.315077,33.688752,0.000000,0.000000,0.000000,1.495190,14.871684,2.210000,0.477208,0.000000,0.000000,0.000000,225.510212,0.714477,103.205845,0.000000,124.340198,42.042039,0.000000,1428.171460,30.209242,2.644214,11.252808,4.550000,0.000000,12.561047,39.450283,0.475935,21.573750,0.000000,0.487609,0.000000,0.000000,1.187822,692.552114,0.000000,19.092898,7.932643
2020-02,2486.898865,0.000000,11.755350,8.801305,0.000000,0.000000,2.001806,0.000000,0.573162,0.000000,3.520158,0.000000,27.484273,0.000000,0.000000,0.000000,0.000000,84.016407,623.746618,43.039883,0.000000,156.948061,0.000000,18.970631,100.630917,0.000000,48.790990,7.388141,0.000000,0.000000,0.000000,729.696637,2.703638,218.665986,7.393821,0.000000,128.187085,8.573609,1.524805,0.000000,0.000000,10.763948,0.000000,1.895425,0.000000,0.000000,183.073043,0.000000,106.519344,26.979772,12.729093,251.787644,5.222613,0.000000,4.603042,0.000000,0.000000,28.602761,1.041209,0.000000,0.000000,0.000000,0.000000,0.000000,2.471582,510.057804,7.414745,0.000000,177.738476,0.000000,0.642542,500.299814,0.000000,1.152768,77.573228,14.962215,1.441411,0.000000,0.000000,0.000000,11.182083,425.584194,0.000000,70.541786,0.000000,9.407149,0.681131,1.441411,52.698289,0.000000,0.000000,0.000000,2.250387,5.221996,3.700000,0.500245,0.000000,0.000000,0.000000,613.094545,0.844485,115.362429,0.000000,133.889747,13.252651,0.000000,991.652327,6.041848,3.281058,22.657016,0.000000,0.000000,10.811243,33.515706,0.446102,29.442540,0.000000,0.525058,0.000000,0.000000,3.123985,530.786683,0.000000,9.540542,9.843174
2020-03,2736.714469,0.000000,1.473928,3.556994,0.000000,0.000000,4.045409,0.000000,0.625612,0.000000,0.973862,0.000000,12.354708,0.000000,0.000000,0.000000,0.000000,79.804288,323.606089,132.681980,0.000000,195.607241,0.000000,80.705405,62.431968,0.000000,113.469705,42.905301,0.000000,0.000000,0.000000,670.656775,3.239773,275.875359,1.837253,0.000000,46.445659,12.124872,0.708360,0.000000,0.000000,7.659784,0.000000,0.606590,0.000000,0.000000,595.635750,0.000000,68.626202,6.414793,4.567171,203.416516,5.487699,0.000000,1.855240,0.000000,0.000000,19.753787,1.433370,0.000000,0.000000,0.000000,0.000000,0.000000,4.180816,574.152652,12.542448,0.000000,147.541752,0.000000,1.747431,421.417064,0.000000,2.102559,67.973883,21.658269,1.196335,0.000000,0.000000,0.000000,233.119133,679.350712,0.000000,14.655558,0.000000,5.870642,0.479926,1.196335,35.330889,0.000000,0.000000,0.000000,2.527778,25.889905,10.420000,0.400712,0.000000,0.000000,0.000000,239.565975,0.793176,76.410907,0.000000,150.571068,21.216397,0.000000,1483.346872,15.538939,1.757193,15.179300,0.000000,0.000000,13.210979,40.093493,0.487132,18.378244,0.000000,0.590475,0.000000,0.000000,2.854854,415.109407,0.000000,8.510352,5.271578
2020-04,3120.017653,0.000000,1.477460,33.422638,0.000000,0.000000,5.579024,0.000000,1.565813,0.000000,1.167752,0.000000,30.065442,0.000000,0.000000,0.000000,0.000000,105.821839,375.394266,129.834393,0.000000,227.387911,0.000000,76.291730,45.346128,0.000000,56.745825,10.350191,0.000000,0.000000,0.000000,577.771507,9.573137,163.307992,1.172871,0.000000,121.722554,52.022303,30.070484,0.000000,0.000000,4.517380,0.000000,2.690006,0.000000,0.000000,358.755863,0.000000,111.506856,16.947676,42.324875,98.523903,32.026053,0.000000,2.652717,0.000000,0.000000,41.071018,6.956847,0.000000,0.000000,0.000000,0.000000,0.000000,0.994373,417.633011,2.983119,0.000000,147.165005,0.000000,1.091300,384.328087,0.000000,1.339421,63.421284,30.759512,0.787885,0.000000,0.000000,0.000000,176.454696,564.366707,0.000000,9.143992,0.000000,141.642882,1.061585,0.787885,106.676008,0.000000,0.000000,0.000000,0.780000,8.275813,0.130000,0.920665,0.000000,0.000000,0.000000,-3.203122,0.747283,153.370051,0.000000,231.535715,18.796989,0.000000,2002.480768,86.361758,1.408166,13.201980,0.000000,0.000000,11.980494,42.678955,1.193185,54.630031,0.000000,0.907983,0.000000,0.000000,5.464699,361.052406,0.000000,19.508626,4.224498
2020-05,2935.152032,0.000000,0.453694,11.361417,0.000000,0.000000,6.847205,0.000000,1.679474,0.000000,1.411224,0.000000,26.289860,0.000000,0.000000,0.000000,0.000000,94.328427,189.997600,113.980029,0.000000,177.273803,0.000000,19.485946,85.997119,0.000000,47.865421,10.573075,0.000000,0.000000,0.000000,610.204072,10.979335,264.306220,1.540662,0.000000,55.024553,12.754786,5.114257,0.000000,0.000000,17.454328,0.000000,3.992853,0.000000,0.000000,330.645321,0.000000,103.358624,8.688696,7.809286,89.729610,2.846531,0.000000,2.837144,0.000000,0.000000,57.523762,5.004454,0.000000,0.000000,0.000000,0.000000,0.000000,1.260463,503.147386,3.781390,0.000000,215.829368,0.000000,1.212464,268.465046,0.000000,2.038887,104.455543,16.009333,3.218674,0.000000,0.000000,0.000000,452.826563,556.660782,0.000000,21.038559,0.000000,232.597621,0.929579,3.218674,88.057926,0.000000,0.000000,0.000000,5.203611,28.731049,2.080000,1.284827,0.000000,0.000000,0.000000,289.107111,1.194494,96.946077,0.000000,349.535736,18.505238,0.000000,1698.275005,157.145970,2.735566,6.742110,2.600000,0.000000,2.120903,14.411173,1.063436,32.270847,0.000000,1.370728,0.000000,0.000000,0.977409,342.656944,0.000000,21.926869,8.206699
