date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Malawi
2022-05,2657.836438,0.000000,9.064920,2.623281,0.000000,2.128832,0.000000,0.000000,6.424698,0.000000,5.601665,0.000000,6.408952,0.000000,0.000000,0.000000,0.000000,309.644140,198.813036,22.293688,0.000000,214.168019,0.000000,375.123302,15.590954,1.703629,83.400715,0.000000,0.000000,0.000000,23.086385,866.419612,66.180044,38.243528,220.064650,1.119444,1100.416490,0.000000,5.056634,0.000000,0.000000,0.473228,1.275625,0.000000,21.101228,0.000000,707.171436,1.560000,102.106275,11.464547,59.839914,558.533926,15.298598,0.000000,3.794800,0.000000,0.000000,20.568855,9.816905,0.000000,0.520000,0.000000,17.621190,0.000000,0.000000,8.683637,53.551130,0.000000,369.639082,0.000000,0.000000,1577.696323,0.000000,16.291706,259.129035,871.856379,1.786243,0.000000,0.000000,10.717459,92.302408,715.255526,0.000000,497.021456,0.000000,0.000000,2.477800,1.310714,74.470159,0.000000,0.000000,0.000000,9.201518,0.000000,2.080000,1.163282,0.000000,0.000000,0.000000,564.515981,113.331864,61.873878,0.000000,0.000000,555.850085,0.000000,407.864159,0.520000,9.290518,5.074415,0.000000,0.000000,1.400085,20.143884,48.083263,5298.277823,5.616767,0.000000,0.000000,0.000000,14.098076,1242.112950,5.050304,0.940011,0.000000
2022-06,2195.324296,0.000000,15.651519,0.705425,0.000000,2.082646,0.000000,0.000000,2.240527,0.000000,17.158423,0.000000,-1.105267,0.000000,0.000000,0.000000,0.000000,370.558620,208.283506,29.627295,0.000000,165.807917,0.000000,224.890840,9.005566,1.719927,121.057867,0.000000,0.000000,0.000000,6.804226,1313.935894,396.813347,124.420476,152.171354,5.902963,641.466834,0.000000,7.131151,0.000000,0.000000,0.085006,1.626688,0.000000,31.793549,0.000000,17.085110,0.325000,130.633466,31.354394,12.938234,151.019701,12.040420,0.000000,6.943981,0.000000,0.000000,19.879484,11.447269,0.000000,1.040000,0.000000,218.725000,0.000000,0.000000,22.575359,38.562618,0.000000,788.414405,0.000000,0.000000,880.046249,0.000000,3.810450,138.527794,671.280347,0.990338,0.000000,0.000000,5.942029,195.146452,1222.507938,0.000000,250.754834,0.000000,0.000000,2.644200,0.233215,40.805304,0.000000,0.000000,0.000000,17.036451,0.000000,0.866667,1.902141,0.000000,0.000000,0.000000,321.927384,41.045816,33.340504,0.000000,0.000000,1923.113687,0.000000,487.723994,0.000000,9.785647,7.260567,0.000000,0.000000,0.887578,9.735159,11.358613,10784.072103,8.807978,0.000000,0.000000,0.000000,22.041011,1961.745993,1.934015,0.788606,0.000000
2022-07,496.797457,0.000000,5.950054,0.606459,0.000000,2.673897,0.000000,0.000000,5.011465,0.000000,16.638996,0.000000,13.490187,0.000000,0.000000,0.000000,0.000000,364.665347,284.598842,21.758307,0.000000,188.858831,0.000000,207.038310,10.751368,1.542502,76.388196,0.000000,0.000000,0.000000,3.678553,1044.848365,82.046037,27.443712,529.263905,6.548148,833.510574,0.000000,7.472959,0.000000,0.000000,0.158059,6.828957,0.000000,91.231978,0.000000,6.536956,189.475000,103.430409,8.822686,13.893770,309.206939,22.531919,0.000000,5.068271,0.000000,0.000000,55.694736,0.720789,0.000000,0.000000,0.000000,3.033333,0.000000,0.000000,12.889548,33.776949,0.000000,574.041211,0.000000,0.000000,1276.697930,0.000000,2.375812,253.879927,666.934165,1.265460,0.000000,0.000000,7.592757,224.281564,1114.872161,0.000000,245.729337,0.000000,0.000000,0.138667,5.288711,31.717159,0.000000,0.000000,0.000000,6.355292,0.000000,2.118912,0.692012,0.000000,0.000000,0.000000,205.643923,204.693253,11.013548,0.000000,0.000000,386.693523,0.000000,442.151164,1.040000,34.232950,3.565406,0.000000,0.000000,0.425447,9.211730,5.676508,2380.789448,3.417536,0.000000,0.000000,0.000000,15.702064,2559.017931,0.595746,0.509790,0.000000
2022-08,81.437182,0.000000,8.346849,2.264144,0.000000,1.888529,0.000000,0.000000,7.129903,0.000000,14.367756,0.000000,10.761940,0.000000,0.000000,0.000000,0.000000,395.273295,252.302592,5.587054,0.000000,136.840495,0.000000,210.840565,273.750683,3.115477,84.102485,0.000000,0.000000,0.000000,36.423997,1443.372238,40.874530,40.896570,163.831745,26.204630,1014.738373,0.000000,3.323751,0.000000,0.000000,1.240064,1.675153,0.000000,55.257086,0.000000,7.282028,144.950000,83.178621,10.897428,4.388257,133.014839,12.432929,0.000000,2.482995,0.000000,0.000000,43.379693,0.274488,0.000000,0.000000,0.000000,3.892262,0.000000,0.000000,12.108382,83.816560,0.000000,421.463582,0.000000,0.000000,1396.996964,0.000000,6.692939,162.443321,618.786468,2.187743,0.000000,0.000000,13.126456,266.586335,1034.517335,0.000000,172.020970,0.000000,0.000000,1.419439,0.548424,90.815924,0.000000,0.000000,0.000000,13.919316,0.000000,0.000000,0.504086,0.000000,0.000000,0.000000,82.849854,50.796759,107.538076,0.000000,0.000000,779.073664,0.000000,234.969252,16.640000,16.940144,6.350069,0.000000,0.000000,1.030673,3.625978,15.338566,3387.783453,8.549507,0.000000,0.000000,0.000000,20.409459,2603.073849,1.664749,1.424174,0.000000
2022-09,85638.236667,0.000000,7.135510,3.291878,0.000000,2.463942,0.000000,0.000000,5.419022,0.000000,5.981510,0.000000,6.864675,0.000000,0.000000,0.000000,0.000000,372.293622,289.009935,21.183216,0.000000,260.943540,0.000000,194.978261,2.210000,1.511886,55.524514,0.000000,0.000000,0.000000,10.695049,1582.680329,13.194408,41.799360,1131.602486,0.144444,602.969381,0.000000,19.399149,0.000000,0.000000,0.545900,1.736312,0.000000,26.038305,0.000000,4.631133,0.000000,78.017334,4.155711,18.386925,221.686255,7.329185,0.000000,4.767776,0.000000,0.000000,31.257341,6.003834,0.000000,0.000000,0.000000,7.204167,0.000000,0.000000,20.200410,23.984913,0.000000,415.120463,0.000000,0.000000,1633.790891,0.000000,3.849664,218.637016,703.119493,1.376095,0.000000,0.000000,8.256568,267.169679,877.816316,0.000000,284.623802,0.000000,0.000000,3.034079,9.365546,53.738545,0.000000,0.000000,0.000000,27.420771,0.000000,0.902041,0.696359,0.000000,0.000000,0.000000,37.366772,42.799544,212.048208,0.000000,0.000000,245.277730,0.000000,308.460863,0.000000,23.145309,3.018403,0.000000,0.000000,1.495979,11.876019,6.628226,2883.384166,4.528148,0.000000,0.000000,0.000000,13.845346,4174.158352,0.765108,0.747674,0.000000
2022-10,22.100000,0.000000,51.831849,0.191533,0.000000,2.593754,0.000000,0.000000,6.050720,0.000000,13.287535,0.000000,4.211547,0.000000,0.000000,0.000000,0.000000,275.539143,253.962819,4.703095,0.000000,214.941926,0.000000,149.317687,186.666509,7.727646,41.052316,0.000000,0.000000,0.000000,12.773373,1638.792048,215.004888,52.607425,820.535450,42.550926,1011.898377,0.000000,17.956728,0.000000,0.000000,0.122861,2.171886,0.000000,14.701730,0.000000,11.198295,0.000000,99.481216,7.498046,36.066114,144.299329,7.194694,0.000000,4.139557,0.000000,0.000000,25.987115,10.005376,0.000000,0.000000,0.000000,8.612500,0.000000,0.000000,19.887459,45.903217,0.000000,487.375248,0.000000,0.000000,1083.409023,0.000000,7.836190,166.585316,606.190338,4.395598,0.000000,0.000000,26.373587,82.096732,822.994800,0.000000,299.800329,0.000000,0.000000,1.031333,0.405357,44.827230,0.000000,0.000000,0.000000,12.730415,0.000000,0.866667,0.704125,0.000000,0.000000,0.000000,152.922438,31.696509,207.441114,0.000000,0.000000,565.909535,0.000000,458.964889,4.160000,28.135806,9.925679,0.000000,0.000000,0.446951,-1.936939,29.333551,4761.316304,2.549252,0.000000,0.000000,0.000000,7.854554,3815.429733,0.976545,0.515845,0.000000
