date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Ireland,New Zealand,Fr. S. Antarctic Lands,Iceland,Denmark,Belize,Greece,New Caledonia,Luxembourg,Czechia,Fiji,Vietnam,Costa Rica,Portugal,Bulgaria,Kazakhstan,N. Cyprus,Chile,Slovenia,Turkmenistan,W. Sahara,Finland,Kosovo,Greenland,Bahamas,Brunei,Hungary,Uruguay,Cuba,Switzerland,Palestine,Mongolia,Montenegro,Suriname,Timor-Leste,Puerto Rico,Norway,Estonia,South Korea,Solomon Is.,Malawi,Gabon,Latvia,Taiwan,Cyprus,Lithuania,North Korea,Somaliland,Vanuatu,Oman,Slovakia,Japan,Falkland Is.,Eq. Guinea,Belarus
2025-09-30,21.661954,0.000000,0.012875,7.561078,0.000000,0.000000,0.000000,0.000000,0.039242,0.000000,4.513519,0.009810,5.979910,0.000000,0.000000,0.000000,0.000000,26.223347,149.305177,16.307893,0.628412,15.500241,0.000000,20.821001,5.401245,0.000000,43.451862,0.000000,0.000000,0.000000,0.000000,376.506759,2.245833,0.114840,0.000000,0.000000,152.656028,0.856705,0.000000,0.000000,0.000000,2.630028,1.069472,0.000000,0.000000,0.000000,22.426928,1.333156,39.095757,5.517729,24.848391,11.441097,603.756085,0.000000,0.097681,0.059474,0.000000,4.784789,0.359211,0.000000,0.000000,0.032188,37.723140,0.000000,0.205745,1.336153,0.000000,0.113583,119.339194,0.000000,0.000000,189.073317,0.000000,0.141189,36.990945,120.526145,0.000000,0.034575,0.000000,0.000000,66.029623,640.994505,0.000000,111.309896,0.000000,1.018145,0.000000,0.292014,16.802578,0.000000,0.000000,0.000000,933.569219,0.100849,0.549737,0.000000,0.000000,0.000000,0.000000,190.211604,11.368388,16.359394,0.000000,0.000000,531.935831,0.175000,162.190000,0.068673,0.524064,3.457670,0.000000,0.268622,0.000000,0.000000,0.000000,4040.565165,0.000000,0.000000,0.000000,0.020170,0.309741,81.941507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-10-31,19.509371,0.000000,0.013784,3.635833,0.000000,0.000000,0.000000,0.000000,0.038312,0.000000,3.778000,0.009578,3.184994,0.000000,0.000000,0.000000,0.000000,32.178009,148.204206,15.130733,0.612527,14.596585,0.000000,18.337794,3.197037,0.000000,38.168527,0.000000,0.000000,0.000000,0.000000,141.665493,0.320833,0.104142,0.000000,0.000000,121.516072,0.465341,0.000000,0.000000,0.000000,1.063566,0.091304,0.000000,0.000000,0.000000,20.594616,0.603603,25.388728,6.995207,8.029536,13.003056,1274.397052,0.000000,0.034573,0.051272,0.000000,8.227388,0.603289,0.000000,0.000000,0.034460,32.692231,0.000000,0.192076,0.519244,0.000000,0.058333,153.229269,0.000000,0.000000,270.783188,0.000000,0.053324,52.703835,118.818684,0.000000,0.018606,0.000000,0.000000,48.189684,509.435320,0.000000,146.917208,0.000000,1.565661,0.000000,0.347668,8.965345,0.000000,0.000000,0.000000,310.498854,0.038089,0.261334,0.000000,0.000000,0.000000,0.000000,240.173175,11.775233,50.368253,0.000000,0.000000,595.943882,0.875000,771.175815,0.067045,0.169697,2.872848,0.000000,0.095077,0.000000,0.000000,0.000000,4243.715957,0.000000,0.000000,0.000000,0.007618,0.270567,28.472259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-11-30,6.684371,0.000000,0.015024,2.982820,0.000000,0.000000,0.000000,0.000000,0.115168,0.000000,3.757511,0.028792,13.035330,0.000000,0.000000,0.000000,0.000000,37.999997,191.305080,9.843885,0.295606,22.814660,0.000000,15.790731,10.335958,0.000000,62.643312,0.000000,0.000000,0.000000,0.000000,232.923695,52.777083,0.220769,0.000000,0.000000,149.355342,0.248182,0.000000,0.000000,0.000000,1.635806,1.063251,0.000000,0.000000,0.000000,23.800764,0.883433,35.134136,7.457750,34.180343,9.313471,670.139479,0.000000,0.085048,0.019677,0.000000,8.818636,0.230263,0.000000,0.000000,0.037561,52.687486,0.000000,0.069363,1.100194,0.000000,0.140000,123.379804,0.000000,0.000000,212.715046,0.000000,0.032021,37.229685,104.570052,0.000000,0.007769,0.000000,0.000000,47.880463,823.381856,0.000000,178.546575,0.000000,2.414555,0.000000,0.245573,16.244249,0.000000,0.000000,0.000000,210.346719,0.022872,0.272947,0.000000,0.000000,0.000000,0.000000,316.846364,11.254816,18.820424,0.000000,0.000000,882.016943,0.175000,494.916494,0.201543,0.296970,3.462901,0.525000,0.233881,0.000000,0.000000,0.000000,3114.127733,0.000000,0.000000,0.000000,0.004574,0.624580,51.450981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-12-31,6.107651,0.000000,0.006335,3.893333,0.000000,0.000000,0.000000,0.000000,0.047288,0.000000,3.201348,0.011822,13.967904,0.000000,0.000000,0.000000,0.000000,53.031075,59.315874,9.851910,0.404580,15.021157,0.000000,17.849440,10.702636,0.000000,39.749225,0.000000,0.000000,0.000000,0.000000,411.104864,68.882917,0.204671,0.000000,0.000000,107.818326,0.338864,0.000000,0.000000,0.000000,1.449158,0.053846,0.000000,0.000000,0.000000,29.788833,0.311936,17.806772,10.556846,9.149882,9.675712,826.811487,0.000000,0.137671,0.005861,0.000000,8.632277,0.419079,0.000000,0.000000,0.015836,41.779895,0.000000,0.048122,0.142127,0.000000,0.154053,114.143618,0.000000,0.000000,225.710141,0.000000,0.037211,35.064165,86.376851,0.000000,0.070889,0.000000,0.000000,43.783646,335.910385,0.000000,183.217528,0.000000,1.191876,0.000000,0.148539,9.976382,0.000000,0.000000,0.000000,74.742500,0.026579,0.112703,0.000000,0.000000,0.000000,0.000000,276.444513,19.836496,10.920411,0.000000,0.000000,557.118787,0.175000,151.313235,0.082754,0.212121,2.060199,1.050000,0.378596,0.000000,0.000000,0.000000,3802.594036,0.000000,0.000000,0.000000,0.005316,0.102874,40.664761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-01-31,5.080413,0.000000,0.016383,4.024382,0.000000,0.000000,0.000000,0.000000,0.030021,0.000000,3.509917,0.007505,3.679748,0.000000,0.000000,0.000000,0.000000,56.320204,53.206238,9.412862,0.273801,20.047542,0.000000,10.773475,6.547539,0.000000,66.660554,0.000000,0.000000,0.000000,0.000000,438.205014,55.311667,0.049899,0.000000,0.000000,91.002890,1.023750,0.000000,0.000000,0.000000,1.355852,0.588462,0.000000,0.000000,0.000000,38.526038,0.338086,36.489341,6.461220,16.789176,7.915545,829.123688,0.000000,0.054281,0.048565,0.000000,8.891590,0.165789,0.000000,0.000000,0.040958,29.520003,0.000000,0.075853,0.861051,0.000000,0.046136,146.442880,0.000000,0.000000,198.225831,0.000000,0.053123,31.157204,107.107554,0.000000,0.016878,0.000000,0.000000,38.993244,425.398282,0.000000,165.528385,0.000000,2.953837,0.000000,0.122242,8.029334,0.000000,0.000000,0.000000,77.401406,0.037945,0.197584,0.000000,0.000000,0.000000,0.000000,150.996834,14.696742,15.139045,0.000000,0.000000,708.423729,1.400000,244.370000,0.052537,0.000000,3.564727,0.000000,0.149274,0.000000,0.000000,0.140000,4122.459830,0.000000,0.000000,0.000000,0.007589,0.403526,57.252645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-02-28,14.193903,0.000000,0.007340,2.589557,0.000000,0.000000,0.000000,0.000000,0.022993,0.000000,3.268086,0.005748,4.791508,0.000000,0.000000,0.000000,0.000000,57.151880,137.951465,11.262050,0.290247,16.060326,0.000000,9.485572,6.504649,0.000000,91.342987,0.000000,0.000000,0.000000,0.000000,363.633801,14.982917,0.027287,0.000000,0.000000,125.952784,0.367500,0.000000,0.000000,0.000000,1.831186,0.252843,0.000000,0.000000,0.000000,58.695608,1.187246,39.512747,9.370915,18.657306,11.894934,199.977853,0.000000,0.048239,0.079150,0.000000,8.602542,0.414474,0.000000,0.000000,0.018350,42.948573,0.000000,0.022851,0.044939,0.000000,0.135537,116.243662,0.000000,0.000000,203.257627,0.000000,0.094205,33.273358,101.250645,0.000000,0.016906,0.000000,0.000000,44.418733,403.409319,0.000000,207.475801,0.000000,3.817141,0.000000,0.163726,9.602812,0.000000,0.000000,0.000000,649.952552,0.067289,0.187695,0.000000,0.000000,0.000000,0.000000,175.263753,18.885997,8.909188,0.000000,0.000000,520.986459,0.875000,202.036903,0.040238,0.182175,4.757711,0.000000,0.132658,0.000000,0.000000,0.280000,4071.011081,0.000000,0.000000,0.000000,0.013458,0.275152,37.311876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
