date,Unnamed: 0,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Zambia,Denmark,Kosovo
2023-12,0.000000,63.139891,0.000000,9.809469,9.424000,0.000000,10.616678,0.672459,0.000000,129.774436,0.000000,2.216010,7.489019,8.491549,0.000000,1.291336,1.872255,0.000000,346.234236,1773.539146,3.605505,0.000000,111.182679,0.024947,29.155762,0.426000,78.661583,0.000000,32.409024,0.000000,1.383112,50.953744,9.462759,57.136068,0.716070,554.273021,3.761133,0.328788,6.249560,0.193503,1.484607,3.576934,28.123021,2.252217,0.000000,21.453389,6.679444,59.347653,63.112166,14.568881,60.358902,18042.521161,0.000000,0.000000,0.000000,38.053890,0.000000,37.078884,0.000000,41.838235,0.000000,0.429333,0.000000,0.000000,198.403117,0.000000,1.468883,278.730888,0.000000,0.140000,39.490027,0.122407,0.889126,0.000000,0.000000,84.779240,689.421976,192.552334,0.000000,16.159137,0.389817,1.890400,18.448897,0.524371,0.000000,0.000000,0.018625,0.159917,0.264222,10.497273,0.000000,391.638465,2.390600,0.720835,0.437386,1287.610732,0.440139,517.977965,8.108333,0.000000,3.850138,110.862025,0.000000,0.602390,13.979215,1.431111,1684.575415,3.177268,1.527190,20.353846,8.040047,3.890221,0.000000,0.546560,1.618941
2024-01,0.700000,147.316128,0.000000,0.534545,2.910000,0.000000,5.399193,0.051052,0.000000,221.265414,0.000000,1.987506,1.826178,11.200283,0.000000,0.587539,0.456545,0.000000,235.734292,1433.771945,4.165077,0.000000,79.409575,0.027719,20.004112,0.300000,203.552399,0.000000,3.627211,0.000000,1.028048,37.565396,42.892290,27.859385,0.279827,327.179672,7.117959,0.000000,0.541038,0.149789,2.578077,5.849657,2.434670,1.535066,0.000000,16.733441,0.117785,63.836640,19.174095,38463.531294,67.527129,661.227729,0.000000,0.000000,0.000000,21.742070,0.000000,21.898687,0.000000,188.039216,0.000000,0.046667,0.000000,0.000000,257.776331,0.000000,4.837938,293.600039,0.000000,1.838103,99.081419,0.403162,0.042958,0.000000,0.000000,76.874814,527.214668,134.022020,0.000000,7.474950,0.347205,0.212865,9.708849,0.500661,0.000000,0.000000,0.026074,0.307372,0.036018,11.403655,0.000000,455.251084,0.695839,0.206410,0.475152,1004.591844,1.413343,518.843620,0.000000,0.000000,2.458088,6.379029,0.000000,0.037838,9.812402,171.733333,1211.807945,0.700948,0.477405,1.884615,4.089044,3.239172,0.000000,0.117828,0.486654
2024-02,1.400000,76.548358,0.000000,0.612016,0.493333,0.000000,5.968208,0.291397,0.000000,3.893233,0.000000,3.920932,1.825323,5.290594,0.000000,0.559487,0.456331,0.000000,255.867085,639.493991,2.975794,0.000000,69.631157,0.000000,9.947069,0.108766,119.834176,0.000000,0.569388,0.000000,0.918730,4.844252,10.038971,26.897468,0.593441,205.829481,3.862581,0.095455,0.670288,0.132899,0.871660,1.519530,3.016298,1.402762,0.000000,8.985931,0.782955,38.066457,46.549287,5111.858392,84.852880,404.378111,0.000000,0.000000,0.000000,8.832687,0.000000,24.708302,0.000000,65.784314,0.000000,0.000000,8.586667,0.000000,236.095451,0.000000,0.969612,319.300684,0.000000,6.440000,56.282206,0.080801,0.021021,0.000000,0.000000,123.549089,543.946515,140.902992,0.000000,5.830320,0.588939,0.532164,19.122670,0.773488,0.000000,0.000000,0.007450,0.047115,0.581117,3.567761,0.000000,347.377504,1.914282,0.373694,0.148657,881.132186,0.858194,503.339746,0.000000,0.000000,2.545928,15.915480,0.000000,0.020750,8.113275,26.833333,2011.771216,0.429007,0.160138,0.000000,3.800488,5.579531,0.000000,0.116036,0.451309
2024-03,2.100000,56.147472,0.000000,1.135801,0.003333,0.000000,6.971648,0.727847,0.000000,0.000000,0.000000,3.392194,2.612564,3.180436,0.000000,0.372870,0.653141,0.000000,247.743717,1223.567659,8.574012,0.000000,70.660093,0.321288,19.660276,0.096000,58.689904,0.000000,0.076446,0.000000,0.832852,11.197807,20.579415,8.132159,1.511757,305.982799,4.432557,0.000000,0.198532,0.122039,2.500509,0.811159,0.893396,1.302024,0.000000,12.142784,109.356967,48.480588,62.780388,85.433916,71.235162,2327.869888,0.000000,0.000000,0.000000,21.322498,0.000000,14.691987,0.000000,61.421569,0.000000,0.000000,1.680000,0.000000,277.800443,0.000000,0.715655,308.966885,0.000000,0.966000,68.773264,0.059638,0.248384,0.000000,0.000000,102.049400,463.508532,160.241402,0.000000,16.756801,2.677470,0.372515,11.674603,3.518184,0.000000,0.000000,0.000000,4.747870,3.147492,15.075236,0.000000,205.894852,2.567863,0.370220,0.628135,1801.419826,1.008611,391.807977,364.875000,0.000000,2.071726,3.769242,0.000000,0.047297,8.769755,50.647917,2077.684895,0.458621,6.994024,0.408333,1.447936,4.438780,0.000000,0.185625,0.618134
2024-04,2.800000,71.594055,0.000000,0.260386,0.133333,0.000000,4.202025,0.949867,0.000000,19.177778,0.000000,2.901204,9.638869,5.336790,0.000000,0.958489,2.409717,0.000000,207.031020,766.922240,20.336626,0.000000,118.274397,0.011966,9.860544,0.096000,137.557121,0.000000,1.204677,0.000000,2.889400,36.118980,26.152364,39.993322,4.727599,151.057328,3.731570,0.000000,0.535903,0.416672,0.810692,5.454094,2.411564,4.508740,0.000000,25.105360,36.217307,43.068775,24.055973,54.628846,52.425656,4094.606675,0.000000,0.000000,0.000000,18.179435,0.000000,20.289328,0.000000,32.598039,0.000000,0.468533,2.240000,0.000000,177.892195,0.000000,0.341596,367.287125,0.000000,1.848000,87.768399,0.028466,0.533333,0.000000,0.000000,76.418456,499.161488,140.432516,0.000000,14.081770,2.396887,2.528920,12.108393,2.804249,0.000000,0.000000,0.006903,10.654808,0.007447,17.630480,0.000000,173.145689,0.993168,0.314881,0.734603,471.910015,1.267117,306.245758,0.000000,0.000000,2.699911,5.786375,0.000000,0.332625,8.844042,46.511111,1589.604252,0.271235,0.500685,0.000000,0.846449,19.707644,0.000000,0.162883,0.750658
2024-05,3.500000,46.802732,0.000000,1.196056,1.823333,0.000000,3.548059,0.289431,0.000000,0.000000,0.000000,1.889054,11.103673,2.354008,0.000000,2.143999,2.775918,0.000000,230.028817,762.468911,3.866400,0.000000,83.356758,93.450795,4.652068,0.119745,87.510403,0.000000,0.930000,0.000000,4.475277,54.503019,15.024364,123.800666,2.450000,331.908306,3.369848,0.000000,0.293773,0.644472,3.899508,2.325881,1.321977,6.978656,0.000000,5.382300,2.068182,29.987283,47.218769,22.557692,59.267626,1941.213893,0.000000,0.000000,0.000000,38.202817,0.000000,116.076086,0.000000,7.892157,0.000000,0.424667,5.600000,0.000000,226.083993,0.000000,1.520187,277.618380,0.000000,0.000000,72.753808,0.126682,0.019391,0.000000,0.000000,61.557728,504.074829,135.789137,0.000000,11.238794,0.839005,0.871356,5.739507,1.082763,0.000000,0.000000,0.018625,0.197581,0.403905,36.705629,0.000000,417.858095,0.428000,0.233518,1.529401,931.741289,0.388333,369.005686,0.000000,0.000000,1.706281,0.992569,0.000000,0.065911,9.660766,0.000000,2365.896925,1.000473,0.522957,1.225000,0.799812,9.638731,0.000000,0.128871,0.696374
2024-06,4.200000,48.896090,0.000000,0.717723,4.656667,0.000000,3.954832,1.724190,0.000000,302.050000,0.000000,3.532774,13.412681,3.585622,0.000000,2.265170,3.353170,0.000000,226.522355,647.413920,2.808094,0.000000,60.877848,0.542500,10.779267,0.055149,86.447143,0.000000,1.771429,0.000000,0.491231,19.204816,11.165742,23.862345,0.556818,245.754529,3.767020,0.000000,1.059743,0.070746,5.092158,0.442214,4.768843,0.774082,0.000000,9.416287,4.674468,36.073673,6.831910,17.965909,96.977586,11628.722086,0.000000,0.000000,0.000000,24.170164,0.000000,5.459895,0.000000,33.284314,0.000000,0.023333,7.317333,0.000000,257.565989,0.000000,4.556465,200.618908,0.000000,0.000000,58.121096,0.379705,0.001297,0.000000,0.000000,80.590927,467.660233,123.008822,0.000000,26.294843,2.137323,7.326230,10.625999,2.973610,0.000000,0.000000,0.018625,4.363782,0.014894,66.931954,0.000000,118.868374,4.552247,0.524413,2.788831,974.613646,0.718056,388.449774,0.000000,0.000000,3.207052,0.000000,0.000000,0.082353,14.747100,42.933333,2268.247522,0.883704,0.962200,0.753846,6.991869,4.685236,0.000000,0.277951,1.089959
2024-07,4.900000,38.537125,0.000000,0.654625,3.380000,0.000000,3.440110,1.987940,0.000000,172.600000,0.000000,2.234413,10.630653,13.401596,0.000000,2.344316,2.657663,0.000000,239.586004,934.189527,45.848822,0.000000,99.516984,3.859545,16.585149,0.510000,78.349642,0.000000,0.221429,0.000000,1.285462,32.957602,18.825898,66.139690,0.787500,220.327061,3.333296,0.005263,0.459029,0.183871,3.773110,1.063552,2.065629,2.004302,0.000000,2.322812,3.279545,44.512953,50.656464,16.771154,79.502358,7711.816231,0.000000,0.000000,0.000000,14.698640,0.000000,6.059731,0.000000,11.323529,0.000000,0.941733,33.600000,0.000000,246.709372,0.000000,2.250999,265.354276,0.000000,0.333103,43.227704,0.187583,0.121786,0.000000,0.000000,122.122144,570.441265,110.193843,0.000000,47.460693,1.816027,2.554789,12.499650,2.224582,0.000000,0.000000,0.018625,0.401603,0.003723,27.264464,0.000000,300.243653,1.415423,0.393004,1.136019,1415.464803,0.534277,262.403337,0.000000,0.000000,3.741896,2.393422,0.000000,0.011290,16.136176,0.000000,1847.359776,1.184069,0.526211,2.073077,3.809495,3.250898,0.000000,0.208924,0.832052
2024-08,5.600000,32.029411,0.000000,5.321667,2.362000,0.000000,1.100290,2.282707,0.000000,172.600000,0.000000,1.921344,15.659056,4.369877,0.000000,3.556931,3.914764,0.000000,229.303374,1222.426213,4.901019,0.000000,66.674165,1.083654,18.782239,0.816000,76.182154,0.000000,0.423139,0.000000,1.512874,15.585269,8.040182,43.084798,0.962500,151.062552,3.217500,0.000000,1.550290,0.211977,0.401139,5.906214,6.976307,2.361550,0.000000,2.769892,5.390834,61.220721,23.595949,11.475000,69.541067,3220.389475,0.000000,0.000000,0.000000,13.372010,0.000000,147.809857,0.000000,25.418552,0.000000,0.009333,0.000000,0.000000,181.076592,0.000000,5.788969,285.370993,0.000000,0.420000,32.333210,0.482414,0.038145,0.000000,0.000000,136.310266,567.726189,121.612152,0.000000,23.785682,4.967942,5.565083,10.529518,6.359132,0.000000,0.000000,0.005587,0.308096,0.071920,17.837384,0.000000,256.567179,2.541791,0.126534,0.743224,1039.253181,1.013889,389.924436,0.000000,0.000000,3.742863,8.964883,0.000000,0.081038,10.729358,5.366667,1401.166715,0.125492,0.086041,0.000000,1.926487,3.158852,0.000000,0.063866,0.272147
2024-09,6.300000,39.588329,0.000000,0.493280,0.566667,0.000000,2.347562,2.461560,0.000000,0.000000,0.000000,2.392106,25.766854,13.552600,0.000000,3.714088,6.441713,0.000000,293.984007,1369.214762,4.185101,0.000000,73.418646,18.550000,17.802373,0.072000,125.304002,0.000000,2.090391,0.000000,0.324177,16.272572,13.162879,32.352191,1.050000,235.940143,6.091164,0.159091,0.924275,0.054276,1.480960,0.242728,4.159238,77.948521,0.000000,9.731646,2.609470,28.604942,21.298134,1.471154,58.737093,1556.100000,0.000000,0.000000,0.000000,2.166200,0.000000,976.459576,0.000000,14.411765,0.000000,0.084000,18.181333,0.000000,647.432044,0.000000,0.912874,292.876836,0.000000,0.000000,89.460354,0.076073,0.346422,0.000000,0.000000,203.072987,626.522412,103.211921,0.000000,35.771501,1.628478,8.813146,9.749711,2.159352,0.000000,0.000000,0.023888,0.310734,0.068617,13.482055,0.000000,152.950628,2.171433,0.348682,0.561752,1836.687968,0.522222,653.718621,0.000000,0.000000,1.686087,8.737819,0.000000,0.208118,10.497320,10.733333,2236.973473,0.908676,0.431829,0.000000,1.030095,3.139207,0.000000,0.119123,0.516020
