date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Fr. S. Antarctic Lands,Kazakhstan,Oman,North Korea,Malawi,Vietnam,Luxembourg,Kosovo,Lithuania,Slovakia,Chile,Costa Rica,Estonia,Eq. Guinea,Slovenia,N. Cyprus,Cyprus,W. Sahara,Norway,New Caledonia,Portugal,Gabon,Belarus,Japan,Fiji,Timor-Leste,Latvia,New Zealand,Falkland Is.,Brunei,Vanuatu,Mongolia,Suriname,Finland,Ireland,Denmark,Solomon Is.,Switzerland,Belize,Iceland,Czechia,Turkmenistan,Bahamas,Uruguay,Palestine,Cuba,Montenegro,Bulgaria,Somaliland,Hungary,South Korea,Taiwan,Puerto Rico,Greenland,Greece
2026-01-31,8.637386,0.000000,0.493531,5.216801,2.800234,0.000000,0.000000,0.000000,0.000000,0.000000,3.265914,0.000000,13.765455,0.000000,0.000000,0.000000,0.000000,19.494975,152.611948,4.201465,2.689474,21.793513,0.000000,4.887402,9.762430,0.000000,42.679967,0.000000,0.000000,0.000000,0.000000,268.981970,14.085929,0.447646,0.000000,0.000000,261.504260,0.131092,0.000000,0.000000,0.000000,5.045173,0.595086,0.011292,0.000000,0.000000,24.483638,0.438435,41.593817,11.539523,42.294788,8.877324,292.411841,0.000000,1.129355,0.331169,0.000000,5.021807,0.059301,0.000000,0.000000,0.040751,16.895063,0.000000,0.125262,1.939379,0.000000,0.017949,101.481865,0.011292,0.000000,284.240154,0.000000,0.033877,28.008014,97.709553,0.000000,0.023463,0.000000,0.000000,58.337424,307.343032,0.000000,245.265133,0.000000,1.574848,0.000000,0.238624,8.279410,0.000000,0.043027,0.000000,64.492381,0.000000,0.234263,0.000000,0.000000,0.000000,0.000000,245.618616,22.381667,26.252509,0.000000,0.000000,537.190549,0.106452,65.100000,0.124171,0.498133,21.763438,0.302676,0.217381,0.000000,0.290191,1.305368,4702.299002,0.000000,0.000000,0.028685,0.000000,2.869859,88.008365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-02-28,7.784839,0.000000,0.230105,0.834840,2.110100,0.000000,0.000000,0.000000,0.000000,0.000000,4.103850,0.000000,6.334545,0.000000,0.000000,0.000000,0.000000,21.008746,66.728829,4.291116,0.110526,21.783862,0.000000,14.271367,5.701233,0.000000,32.994157,0.000000,0.000000,0.000000,0.000000,238.397709,24.380364,0.203263,0.000000,0.000000,60.532705,0.143548,0.000000,0.000000,0.000000,6.806755,0.608129,0.006900,0.000000,0.000000,14.468153,0.023926,29.880584,1.591411,19.081114,4.227044,1.801570,0.000000,0.114061,0.271457,0.000000,11.486557,0.151714,0.000000,0.000000,0.042327,19.954676,0.000000,0.173594,2.614081,0.000000,0.175000,103.080571,0.006900,0.000000,233.553511,0.000000,0.020700,28.523906,118.862416,0.000000,0.028978,0.000000,0.000000,70.684407,379.466421,0.000000,163.500931,0.000000,2.325281,0.000000,0.055425,10.199658,0.000000,0.020343,0.000000,52.701489,0.000000,0.148230,0.000000,0.000000,0.000000,0.000000,197.850111,47.104167,21.807005,0.000000,0.000000,578.543701,0.123952,142.354545,0.032578,0.377082,8.084197,0.301005,0.450598,0.000000,0.638963,1.695829,4031.936374,0.000000,0.000000,0.013562,0.000000,0.988933,102.175908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-31,7.202595,0.000000,0.186465,0.441149,2.061640,0.000000,0.000000,0.000000,0.000000,0.000000,2.893100,0.000000,1.055758,0.000000,0.000000,0.000000,0.000000,23.040914,92.823222,6.552712,0.221053,19.252239,0.000000,15.152858,5.228089,0.000000,43.292106,0.000000,0.000000,0.000000,0.000000,177.643668,22.520287,0.143446,0.000000,0.000000,116.330029,0.122804,0.000000,0.000000,0.000000,6.491449,0.721798,0.007783,0.000000,0.000000,14.379615,0.060870,30.160205,6.343493,8.719298,7.763116,0.000000,0.000000,0.315258,0.158606,0.000000,5.386180,0.108683,0.000000,0.000000,0.054087,18.971499,0.000000,0.194556,1.062736,0.000000,0.166346,103.949280,0.007783,0.000000,248.510111,0.000000,0.023349,26.844849,90.870725,0.000000,0.054525,0.000000,0.000000,58.813004,363.212360,0.000000,166.503556,0.000000,0.737202,0.000000,0.038719,9.253791,0.000000,0.042426,0.000000,48.981674,0.000000,0.163970,0.000000,0.000000,0.000000,0.000000,274.120342,24.396667,16.194866,0.000000,0.000000,718.069009,0.175953,541.503030,0.082923,0.218718,13.197075,0.160751,0.932879,0.000000,0.678576,0.742990,2897.468164,0.000000,0.000000,0.028284,0.000000,0.197403,96.574540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-04-30,6.115754,0.000000,0.195359,0.734220,2.273252,0.000000,0.000000,0.000000,0.000000,0.000000,5.865867,0.000000,2.125051,0.000000,0.000000,0.000000,0.000000,21.707152,156.293567,2.727239,0.773684,17.860533,0.000000,14.657183,5.063939,0.000000,46.843539,0.000000,0.000000,0.000000,0.000000,193.032962,8.907405,0.225118,0.000000,0.000000,160.192161,0.116417,0.000000,0.000000,0.000000,4.360539,0.276376,0.017441,0.000000,0.000000,8.959282,0.073386,39.528476,8.436231,36.628055,5.431564,159.125659,0.000000,0.422491,0.149288,0.000000,4.029903,0.138576,0.000000,0.000000,0.017752,17.108947,0.000000,0.072654,3.654441,0.000000,0.026923,91.502997,0.017441,0.000000,178.801042,0.000000,0.052322,31.964045,96.566994,0.000000,0.014867,0.000000,0.000000,57.992911,419.484147,0.000000,181.665881,0.000000,0.746697,0.000000,0.121161,13.986475,0.000000,0.018436,0.000000,56.980022,0.000000,0.079348,0.000000,0.000000,0.000000,0.000000,187.677570,10.455278,19.547929,0.000000,0.000000,906.815978,0.263120,65.100000,0.045265,0.263768,8.934779,0.332801,4.246199,0.000000,0.409149,0.996723,3097.176170,0.000000,0.000000,0.012291,0.000000,3.208712,90.799552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-31,13.589993,0.000000,0.134116,1.376249,3.493267,0.000000,0.000000,0.000000,0.000000,0.000000,3.647043,0.000000,1.065909,0.000000,0.000000,0.000000,0.000000,20.352341,105.478194,4.337896,0.110526,19.952825,0.000000,1.861050,7.802237,0.000000,64.305707,0.000000,0.000000,0.000000,0.000000,185.023499,11.109747,0.064270,0.000000,0.000000,155.616932,0.152079,0.000000,0.000000,0.000000,2.668403,0.132315,0.009775,0.000000,0.000000,13.044302,0.065024,33.238816,8.939648,12.892089,4.647745,205.138883,0.000000,0.017033,0.074510,0.000000,3.187636,0.019930,0.000000,0.000000,0.044652,21.781129,0.000000,0.188695,2.847418,0.000000,0.073718,128.313659,0.009775,0.000000,231.614509,0.000000,0.029326,29.955199,85.450008,0.000000,0.042967,0.000000,0.000000,47.722894,408.525355,0.000000,177.411582,0.000000,0.000000,0.000000,0.181977,14.027784,0.000000,0.038976,0.000000,68.450691,0.000000,0.149023,0.000000,0.000000,0.000000,0.000000,141.552966,18.894167,20.219415,0.000000,0.000000,1138.535128,0.177429,65.100000,0.065750,0.628470,8.023087,0.319924,3.225125,0.000000,0.288933,3.475075,3494.518007,0.000000,0.000000,0.025984,0.000000,1.922480,68.754607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-06-30,8.645999,0.000000,0.224107,5.045800,3.430725,0.000000,0.000000,0.000000,0.000000,0.000000,2.725902,0.000000,8.067071,0.000000,0.000000,0.000000,0.000000,27.826038,152.122510,8.245690,0.773684,25.594752,0.000000,8.333857,6.449073,0.000000,50.105360,0.000000,0.000000,0.000000,0.000000,172.007680,16.826037,0.063494,0.000000,0.000000,75.441447,0.049929,0.000000,0.000000,0.000000,8.819944,0.591392,0.025732,0.000000,0.000000,15.146889,0.068050,32.732146,22.514529,11.548665,3.389297,553.287059,0.000000,0.029070,0.183445,0.000000,3.164853,0.038625,0.000000,0.000000,0.021336,19.225469,0.000000,0.131089,2.662721,0.000000,0.013525,82.373326,0.025732,0.000000,241.142318,0.000000,0.077197,30.086108,119.857569,0.000000,0.057610,0.000000,0.000000,36.846417,406.511517,0.000000,183.900193,0.000000,0.355319,0.000000,0.088761,11.057173,0.000000,0.073363,0.000000,41.425692,0.000000,0.090061,0.000000,0.000000,0.000000,0.000000,200.936861,4.970000,11.592994,0.000000,0.000000,1171.421077,1.115055,65.100000,0.059013,0.776345,6.344029,0.110932,1.629583,0.000000,0.431178,1.885947,3898.420115,0.000000,0.000000,0.048909,0.000000,0.000000,77.432950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
