,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Montenegro,Oman,Taiwan,Barbados,Belize,Dominica,Dominican Rep.,Slovakia,Luxembourg,Fiji,North Korea,Malawi,Ireland,Solomon Is.,Falkland Is.,Greece,Vanuatu,N. Cyprus,Belarus,Bulgaria,Chile,W. Sahara,Portugal,Switzerland,Iceland,Costa Rica,Estonia,Fr. S. Antarctic Lands,Denmark,Vietnam,South Korea,Hungary,Uruguay,Somaliland,Eq. Guinea,Finland,Cyprus,New Caledonia,Palestine,New Zealand,Lithuania,Gabon,Suriname,Czechia,Brunei,Slovenia,Japan,Norway,Mongolia,Bahamas,Greenland,Timor-Leste,Turkmenistan,Kosovo,Cuba,Puerto Rico,Latvia,Kazakhstan
2025-02-28,12.0,0,0.46753215584913516,0.05728143606770793,0,0,0,0,0,0,21.44860690032644,0,22.185308341868602,0,0,0,0,130.06464093313377,179.81446571126287,4.37810385448593,0.06503432204309537,30.9976495704477,0,35.22974358974359,29.578403996416203,0,106.29813174122373,0,0,0,0,535.5020764921192,16.643427539290897,0,0,0,125.53356414314605,0.10160349854227406,0,0,0.046016575785685784,0.04285714285714286,1.6252622044241036,0,0,0,40.60823407344113,5.548113389677807,48.06777777777778,8.843497752547139,9.442571216148988,36.69954687322557,1985.7950538710907,0,0,0.7471902727571474,0.031436047646410996,12.710107644590403,0.07648533097449506,0,0,0,76.51258528926478,0,0.04624024384868683,0.1764269592786296,0,0.06503432204309537,140.5836189865155,0,0.1026757309499766,366.3786079506525,0,0.2276201271508338,115.34280336709703,215.5655201086702,0,0,0,0,2.7903884318992036,465.34112251533685,0,279.3136507936508,0,6.538086303939963,0.10528219897828041,0,8.109477456338523,0,0,0,1866.5351706854333,0.1625858051077384,0,0.056244495092402376,0,0.10929882629375116,0,188.31007698521353,7.518590643844068,2.8866746634575806,0,0,712.8393607403156,0.3333333333333333,283.10308987865875,0,0.775695087114086,2.3687033972748255,12.269009102597634,0.20828116852506934,0.056244495092402376,3.263094337286926,0.8,4339.5135830556,0,0,0.1214929214929215,0.03251716102154768,0.8267773243638796,42.94359508254723,0,0,0.46538706391647566,0.4161621946381815,0,0.09755148306464305,0.13006864408619073,0.06503432204309537,0.4552402543016676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-31,16.07142857142857,0,0.38939568403636493,0.05167387704107309,0,0,0,0,0,0,8.587236429959317,0,13.013894166675412,0,0,0,0,125.01793797879532,226.31023234724304,18.95239379149505,0.008649694497656322,39.83835151697001,0,35.48974358974359,20.60768835819971,0,91.75150939296317,0,0,0,0,413.66134061270765,14.669404038088407,0,0,0,131.67617310003223,0.007878346143652265,0,0,0.026234208473755585,0.0,2.039553140096618,0,0,0,100.12532537568501,1.478118609406953,57.00100529100529,4.620657515006371,10.092088872580831,22.223154975672188,1319.9299056064074,0,0,1.1988795518207283,0.028913183675956834,12.953311439518338,0.06132610939112487,0,0,0,55.87698963963116,0,0.012536485517304907,0.09241057330563024,0,0.008649694497656322,119.93073420689531,0,0.0680094804954468,368.6295493919165,0,0.030273930741797128,105.62885907103758,218.2504133602015,0,0,0,0,94.11326339753306,394.9315857797869,0,201.3726984126984,0,9.268078263200216,0.07717853086659777,0,8.805574556459229,0,0,0,1531.0229594746097,0.021624236244140803,0,0.015924751011204503,0,0.0259455142108832,0,103.59117027066097,3.8296698122829644,4.824039862103061,0,0,710.3061603241417,0.1818181818181818,256.8523683485365,0,0.5470556968980304,2.205395599681314,9.914983081302978,0.08645932545810663,0.015924751011204503,4.574462500121395,0.0,4581.959918233028,0,0,0.04504504504504504,0.004324847248828161,0.29251062969645475,30.75238391800822,0,0,0.26464646464646463,0.11282836965574417,0,0.012974541746484483,0.017299388995312644,0.008649694497656322,0.060547861483594256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,21.78787878787879,0,0.32242646237898603,0.04831193435452394,0,0,0,0,0,0,10.839260649556087,0,1.5163965622989588,0,0,0,0,106.10092469712464,275.0607208123222,5.74593424047624,0.0036541572411230377,27.79739801315339,0,18.385128205128204,45.0990758942414,0,100.41130751289418,0,0,0,0,313.44720564609383,21.068802350181056,0,0,0,211.5994167472669,0.013296227581941867,0,0,0.02858785755560731,0.010714285714285714,0.8835812356979406,0,0,0,78.21376264817052,1.1714788279205457,43.95867724867725,5.868593786619035,6.596244882124379,35.00009832109573,1689.8538512267987,0,0,1.6863073721108555,0.015912110889140095,15.054278416347382,0.010371517027863777,0,0,0,89.25584065629667,0,0.008441821137616268,0.05231796416701661,0,0.0036541572411230377,130.93267134272455,0,0.231623319498024,355.41480303454193,0,0.012789550343930632,114.53700074124025,225.32366264386246,0,0,0,0,41.32882974140369,230.16419289016076,0,209.1720634920635,0,3.8473331546502285,0.04418251385365764,0,13.27667189083445,0,0,0,1108.193219126034,0.009135393102807594,0,0.03417432553875394,0,0.015349994437879424,0,126.09038778284642,8.669666929160519,3.7038467549229006,0,0,480.8055247715752,0.0,167.37647544732212,0,0.14534088847254,4.192555003983576,3.0732172936552495,0.07072361788309625,0.03417432553875394,6.915537780383509,0.2,4193.037563277059,0,0,0.0085995085995086,0.0018270786205615188,0.7081582195778436,20.20999621868373,0,0,0.6870791245791246,0.07597639023854641,0,0.005481235861684556,0.007308314482246075,0.0036541572411230377,0.025579100687861265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-31,18.62121212121212,0,0.34994123634689395,0.11174151810811792,0,0,0,0,0,0,7.642961681373697,0,8.65323577884383,0,0,0,0,122.26303802908328,176.1799557564682,10.075754120919644,0.011527355271997034,37.645644002197,0,20.314358974358974,21.456411319611345,0,101.29439586605356,0,0,0,0,357.94752921185903,18.272297005069618,0,0,0,114.15385782115537,0.07421150278293136,0,0,0.05173614990844569,0.2,0.5621583396898042,0,0,0,50.64746548319173,3.3137014314928424,54.68100529100529,5.747566385203236,2.514691310284869,21.148108995393336,1440.6816234426647,0,0,1.2406804062407086,0.04827812839647885,12.436307243203794,0.0537280701754386,0,0,0,59.243968136581856,0,0.022052905454350197,0.1221839433642057,0,0.011527355271997034,124.09577364746013,0,0.2916326687773825,422.51729723988353,0,0.040345743451989616,69.29972269515659,259.98474437824797,0,0,0,0,56.11267601452172,334.0947873532899,0,159.53015873015875,0,6.9652103993567405,0.036425523801030334,0,12.54645724336343,0,0,0,434.1697950458683,0.028818388179992584,0,0.022918839479795904,0,0.06943420085412721,0,138.45171710844858,7.192755440632591,0.3095716433335208,0,0,734.2616843956802,0.0,213.30790608982568,0,0.14535234944182518,4.398200649629221,8.201891299218863,0.0624752128210617,0.022918839479795904,4.334713487077893,1.2,4437.7897648569915,0,0,0.08968058968058969,0.005763677635998517,0.3868259876334316,17.688397960479612,0,0,0.14485129068462402,0.1984761490891518,0,0.01729103290799555,0.023054710543994068,0.011527355271997034,0.08069148690397923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-30,13.871212121212121,0,0.34306715257715714,0.07720206445010573,0,0,0,0,0,0,14.211540584126924,0,5.730109876267356,0,0,0,0,132.57847065721398,179.98238228060293,17.2326178211021,0.03144091533681677,33.163748314698125,0,8.585641025641026,20.52056849304455,0,96.9407381536205,0,0,0,0,352.81524807100897,29.015970161331435,0,0,0,100.2659258770773,0.09562461348175634,0,0,0.049311266769766826,0.20909090909090905,4.386624396135266,0,0,0,25.10645846866131,2.463803680981595,61.40624338624339,8.153941172507569,9.406060303728227,19.595051870939734,2119.270401887872,0,0,2.1731139383127553,0.051423612354599454,22.476701331873745,0.0,0,0,0,79.82241125401289,0,0.02203375682943394,0.14771642089414322,0,0.03144091533681677,121.67746936089861,0,0.1344324336988007,388.1899844072665,0,0.1100432036788587,72.64371609618165,194.05640823088874,0,0,0,0,56.873322203619125,383.51923427363994,0,265.50666666666666,0,6.634735995711606,0.0505553609306425,0,12.535180165556838,0,0,0,835.8642234967778,0.07860228834204191,0,0.025124931456566392,0,0.1085093571248846,0,186.37241180655167,3.8338650552086215,8.11670984219799,0,0,940.3552103392436,0.0,180.70371031941423,0,0.046338788803999775,3.6077644991930704,6.436487637960903,0.09557395678216074,0.025124931456566392,2.611227655717086,0.0,4802.357365323752,0,0,0.08364045864045865,0.015720457668408384,1.305258296919257,25.28222341551076,0,0,0.08037305831423479,0.19830381146490544,0,0.04716137300522515,0.06288183067363354,0.03144091533681677,0.2200864073577174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-31,15.329522120589882,0,0.14921357415916991,0.06125160544192567,0,0,0,0,0,0,17.01631982556918,0,4.225172417412846,0,0,0,0,144.21038464822436,67.81591388383633,9.934491718475003,0.03906168521226462,37.6388177528396,0,4.391794871794872,13.782491483775425,0,96.96993439366562,0,0,0,0,517.8140145857209,31.44015405069381,0,0,0,153.4257012221929,0.04298082869511441,0,0,0.06432115239525094,0.09253246753246752,1.7880832062039156,0,0,0,89.02204458956932,2.0538904857923264,89.99809523809523,4.811556417573753,3.710574817946212,19.96320452361484,1542.186761854818,0,0,1.9803045240442545,0.05683426164160561,10.47263273125342,0.07972185086155674,0,0,0,61.542274859413396,0,0.02161992337204276,0.1503528225229233,0,0.03906168521226462,168.55665343801093,0,0.40698286177375487,379.97337117896365,0,0.13671589824292618,51.89849022918585,195.40979479047985,0,0,0,0,38.918970009623834,247.9379719595126,0,201.26730158730157,0,8.162637362637364,0.03739402967747723,0,11.167118407514202,0,0,0,339.8727784166003,0.09765421303066155,0,0.01900192581514679,0,0.046695578234403026,0,169.27419862198704,3.1119272661463158,1.7518635849337008,0,0,794.5565611348934,5.636363636363636,199.3421450411649,0,0.32694731253067866,3.5687900145043003,4.4649313144355816,0.14447639874779344,0.01900192581514679,4.544643133380461,0.2,4418.845843232398,0,0,0.06920556920556921,0.01953084260613231,1.083264494970707,22.955436027289885,0,0,0.11301907968574634,0.19457931034838485,0,0.05859252781839693,0.07812337042452924,0.03906168521226462,0.27343179648585236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
