date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Antigua & Barbuda,Barbados,Belize,Costa Rica,Dominica,Dominican Rep.,Greece,Malawi
1989-01-31,483.700000,0.000000,0.000000,176.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.200000,0.000000,1901.200000,0.000000,0.000000,0.000000,0.000000,0.000000,21.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.300000,0.000000,0.000000,0.000000,0.700000,0.000000,0.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.400000,0.000000,0.000000,42.000000,0.000000,0.000000,0.000000,0.000000,5.600000,0.000000,0.000000,0.000000,2.100000,0.000000,0.000000,0.000000,72.100000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,350.000000,11.200000,0.000000,0.000000,14.700000,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.400000,0.000000,0.000000,0.000000,2.100000,0.000000,0.000000,0.000000,0.000000,0.000000,13.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1989-02-28,112.000000,0.000000,0.000000,234.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.500000,0.000000,0.000000,0.000000,0.000000,19.600000,0.000000,0.000000,11.200000,0.000000,6777.400000,0.000000,0.000000,0.000000,0.000000,0.000000,9.100000,0.000000,0.000000,0.000000,0.000000,0.000000,15.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.400000,0.000000,0.000000,0.000000,51.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.000000,36.400000,44.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.400000,0.000000,0.000000,77.000000,22.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.500000,0.000000,0.000000,14.700000,0.000000,14.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1989-03-31,1220.800000,0.000000,0.000000,241.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.500000,0.000000,0.000000,0.000000,0.000000,0.000000,14.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,141.400000,0.000000,308.700000,0.000000,0.000000,0.000000,0.000000,0.000000,4.200000,0.000000,0.000000,0.000000,0.000000,0.000000,25.900000,0.000000,0.000000,0.000000,3.500000,0.000000,0.000000,0.000000,0.000000,2.100000,0.000000,0.000000,0.000000,0.000000,88.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.600000,106.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.300000,0.000000,0.000000,0.000000,78.400000,53.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.300000,0.000000,0.000000,12.600000,71.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.700000,0.000000,0.000000,0.000000,3.500000,0.000000,0.000000,11.900000,0.000000,0.000000,6.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1989-04-30,345.800000,0.000000,0.000000,73.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,210.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.300000,0.000000,333.200000,0.000000,0.000000,0.000000,0.000000,0.000000,8.400000,0.000000,0.000000,0.000000,33.600000,0.000000,79.100000,0.000000,0.000000,0.000000,7.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,71.400000,0.000000,0.000000,0.000000,317.800000,38.500000,0.000000,0.000000,0.000000,4.900000,0.000000,0.000000,0.000000,17.500000,0.000000,1.400000,0.000000,111.300000,40.600000,0.000000,0.000000,0.000000,14.000000,0.000000,0.000000,84.700000,0.000000,0.000000,0.000000,5.600000,258.300000,0.000000,1.400000,75.600000,203.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.900000,65.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1989-05-31,309.400000,0.000000,0.000000,151.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.500000,0.000000,169.400000,0.000000,0.000000,0.000000,0.000000,0.000000,3.500000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,1.400000,0.000000,0.000000,9.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,134.400000,125.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.800000,0.000000,0.000000,0.000000,79.800000,76.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,9.100000,0.000000,3.500000,50.400000,322.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.700000,389.900000,0.000000,0.000000,0.700000,0.000000,0.000000,0.000000,0.000000,2.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1989-06-30,346.500000,0.000000,0.000000,16.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.200000,0.000000,0.000000,0.000000,0.000000,1820.000000,10.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.200000,0.000000,69.300000,0.000000,0.000000,0.000000,0.000000,0.000000,5.600000,0.000000,0.000000,0.000000,0.000000,0.000000,45.500000,0.000000,0.000000,0.000000,2.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.100000,0.000000,0.000000,2.800000,194.600000,21.700000,0.000000,0.000000,0.000000,58.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.700000,0.000000,137.900000,108.500000,0.000000,0.000000,0.000000,67.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.500000,0.000000,0.000000,18.900000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.100000,245.000000,0.000000,0.000000,1.400000,0.000000,0.000000,0.000000,0.000000,5.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1989-07-31,425.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.700000,0.000000,59.500000,0.000000,0.000000,0.000000,0.700000,0.000000,5.600000,0.000000,0.000000,0.000000,0.000000,0.000000,2.800000,0.000000,0.000000,0.000000,16.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.800000,0.000000,0.000000,0.000000,128.100000,39.900000,0.000000,0.000000,0.000000,2.800000,0.000000,0.000000,0.000000,7.000000,0.000000,0.000000,0.000000,118.300000,20.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,134.400000,7.700000,0.000000,1.400000,32.900000,0.000000,0.000000,0.000000,0.000000,0.000000,4.200000,0.000000,0.000000,0.000000,30.800000,0.000000,0.000000,0.000000,1.400000,0.000000,0.000000,0.700000,0.000000,11.200000,6.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1989-08-31,147.000000,0.000000,0.000000,203.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.600000,0.000000,0.000000,0.000000,0.000000,0.000000,6.300000,0.000000,0.000000,0.000000,0.000000,0.000000,109.900000,1.400000,0.000000,0.000000,3.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.000000,183.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,89.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.600000,0.000000,0.700000,0.000000,4.200000,25.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.300000,8.400000,0.000000,0.700000,84.000000,1.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.200000,0.000000,0.000000,0.000000,0.700000,0.000000,0.000000,0.000000,0.000000,1.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1989-09-30,49.700000,0.000000,0.000000,345.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.100000,0.000000,609.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.900000,0.000000,0.000000,0.000000,0.000000,0.000000,28.000000,0.700000,0.000000,0.000000,6.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.800000,47.600000,0.000000,0.000000,0.000000,0.000000,21.000000,119.000000,0.000000,0.000000,7.000000,0.000000,0.700000,0.000000,13.300000,67.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93.800000,40.600000,0.000000,2.800000,26.600000,12.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.400000,0.000000,0.000000,0.000000,9.100000,0.000000,0.000000,0.000000,0.000000,4.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1989-10-31,167.300000,0.000000,0.000000,178.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75.600000,0.000000,0.000000,0.000000,0.000000,0.000000,4.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.700000,0.000000,3175.900000,0.000000,0.000000,0.000000,1.400000,0.000000,2.800000,0.000000,0.000000,0.000000,0.000000,0.000000,290.500000,0.000000,0.000000,0.000000,4.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.500000,67.900000,0.000000,0.000000,0.000000,0.000000,23.100000,0.000000,0.000000,0.000000,0.000000,53.900000,0.000000,0.000000,161.700000,21.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,0.000000,0.700000,42.000000,139.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.500000,0.000000,0.000000,0.000000,1.400000,0.000000,0.000000,3.500000,0.000000,5.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
