date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Zambia,Ireland,Denmark,Kosovo
2024-01,62.290582,0.0,0.147792,0.388464,0.0,17.632935,1.331813,0.0,57.776668,0.0,8.573273,14.54526,6.711672,0.0,1.124174,3.636315,0.0,1180.701664,312.06725,13.009589,0.0,136.956378,1.124174,18.828181,6.005483,156.306334,0.0,34.880376,0.0,0.0,68.510653,55.026121,69.682999,0.021452,281.720592,4.46293,0.0,1.053246,0.0,17.254595,0.248264,4.739605,0.0,0.0,28.988746,19.134882,96.490781,25.31137,23.584334,138.017039,38730.705527,0.0,0.0,0.0,66.978286,0.0,39.789549,0.0,15.825669,0.0,1.105,3.105911,0.0,483.191953,0.0,8.675628,941.997667,0.0,3.276271,43.589358,0.722969,2.6,0.0,0.0,75.104156,1052.661989,272.13943,0.0,5.929517,0.0,11.657179,79.907061,1.67184,0.0,0.0,0.0,2.171244,3.862392,15.94581,0.0,313.837449,5.541049,1.090657,0.664409,841.333904,0.578164,183.648602,62.291566,0.042162,5.605454,120.516486,0.0,2.824955,8.609515,14.900106,6939.575713,0.952234,2.250854,1.749682,0.0,7.987065,0.0,0.0,0.865773,2.893736
2024-02,131.135132,0.0,0.310351,0.0,0.0,9.582292,1.666341,0.0,4.172355,0.0,6.751963,7.121777,8.176772,0.0,2.021319,1.780444,0.0,868.298961,323.517978,18.447658,0.0,172.544478,2.021319,30.136533,2.882489,74.170517,0.0,38.00669,0.0,0.0,29.165948,5.566317,14.932232,0.734736,135.763882,7.402253,0.0,0.373751,0.0,1.93409,7.00198,1.681881,0.0,0.0,14.692926,10.088288,87.630795,3.594699,6.266795,51.76208,486.721611,0.0,0.0,0.0,12.04346,0.0,12.204849,0.0,17.224461,0.0,0.0,3.526523,0.0,326.697863,0.0,2.814878,692.503024,0.0,1.329873,31.518303,0.234573,0.0,0.0,0.0,62.729449,962.405211,259.204967,0.0,0.109356,0.0,3.927048,71.373165,0.618577,0.0,0.0,0.0,1.204643,0.132471,9.554776,0.0,212.196041,4.147416,0.813457,0.398116,756.147837,0.848365,381.743119,15.351576,0.0,3.837243,211.459065,0.0,3.365845,17.342089,27.385156,7576.318668,0.030731,0.611508,0.91,0.0,8.625145,0.0,0.0,0.118197,0.589134
2024-03,105.255393,0.0,0.275758,0.360479,0.0,11.872379,0.634447,0.0,48.293814,0.0,7.320044,2.776533,4.999218,0.0,0.614328,0.694133,0.0,446.196057,260.440731,27.778868,0.0,129.965116,0.614328,15.070279,2.531708,101.063618,0.0,4.994775,0.0,0.0,67.635085,16.079603,29.76485,1.842811,252.233361,13.82038,0.0,0.580836,0.0,1.170201,1.841086,2.61376,0.0,0.0,6.750804,8.037825,107.651098,22.071965,35.372453,102.021922,453.713319,0.0,0.0,0.0,59.943241,0.0,24.109307,0.0,27.738569,0.0,0.0,0.580017,0.0,258.549685,0.0,2.404092,822.234292,0.0,1.776254,37.381659,0.200341,0.0,0.0,0.0,68.312461,1036.381474,329.749486,0.0,0.462628,0.0,4.091043,70.218358,0.299639,0.0,0.0,0.0,2.815165,0.1557,6.566273,0.0,178.30532,1.932227,0.908205,0.273595,2468.953828,2.193197,266.061027,15.561524,0.0,6.996359,16.125365,0.0,23.622672,13.819721,122.209432,3585.07697,17.227724,0.732564,0.868636,0.0,8.166714,0.0,0.0,0.429491,1.870982
2024-04,69.057309,0.0,0.28567,0.0,0.0,4.137529,1.384136,0.0,7.001884,0.0,7.544062,8.954175,3.07199,0.0,1.584638,2.238544,0.0,952.560501,305.607547,17.080248,0.0,196.82415,1.584638,41.982257,3.095133,67.453934,0.0,50.327132,0.0,0.0,141.734984,16.128415,26.554765,2.733218,486.491728,6.20007,0.0,0.529181,0.0,0.896835,0.247772,2.381316,0.0,0.0,11.11795,226.07733,82.141349,8.761545,4.017752,90.736253,4089.545613,0.0,0.0,0.0,30.778633,0.0,22.160854,0.0,27.734669,0.0,0.238333,0.03706,0.0,343.905014,0.0,3.849746,661.346547,0.0,2.190133,39.374197,0.320812,0.288889,0.0,0.0,174.102989,944.816358,289.704982,0.0,7.608092,0.0,3.895876,52.965882,0.242759,0.0,0.0,3.64,3.456206,1.026932,3.931486,0.0,260.042941,2.085609,0.355267,0.163812,548.914977,2.899448,204.168143,2.868745,0.0,10.94121,13.340577,0.0,2.315224,15.86834,60.640457,4625.438409,0.069059,0.583842,43.094015,0.0,9.927422,0.0,0.0,0.428413,1.418374
2024-05,95.405021,0.0,0.275758,0.0,0.0,14.647382,1.869777,0.0,2.78157,0.0,5.437582,15.384946,5.059889,0.0,4.098262,3.846237,0.0,593.861665,553.001862,46.657019,0.0,150.153405,4.098262,20.843281,7.886088,104.315171,0.0,135.022199,0.0,0.0,81.312633,27.690218,111.675698,5.481667,474.62467,7.736297,0.0,0.717042,0.0,0.8125,4.693908,3.226689,0.0,0.0,15.258501,49.725593,80.560246,4.7617,8.646481,81.1134,23789.16594,0.0,0.0,0.0,49.776318,0.0,106.515073,0.0,9.686686,0.0,0.9685,0.053644,0.0,293.045394,0.0,19.745357,759.074726,0.0,6.541675,59.153891,1.645446,0.0,0.0,0.0,68.506468,766.231095,241.317611,0.0,2.806017,0.0,1.649415,69.485097,0.674194,0.0,0.0,1.04,3.939316,6.09313,10.039515,0.0,321.284977,7.428678,0.768698,0.418313,213.708198,2.699667,187.95445,25.36264,0.0,19.918139,4.174702,0.0,1.03554,12.379372,34.653555,4055.675246,0.007911,1.300993,2.832424,0.0,7.056596,0.0,0.0,0.431698,0.951586
2024-06,79.922904,0.0,0.441723,0.627291,0.0,7.03625,1.084245,0.0,8.87225,0.0,13.378153,20.531235,3.250358,0.0,3.877043,5.132809,0.0,534.760627,530.554067,33.202247,0.0,155.873112,3.877043,15.311547,8.86529,78.402476,0.0,132.130204,0.0,0.0,46.297403,16.143844,12.777473,3.813333,249.151387,5.522384,0.0,0.475291,0.0,0.53884,0.049653,2.13881,0.0,0.0,60.098794,7.821396,129.665188,0.72,24.839546,93.731856,1087.872619,0.0,0.0,0.0,82.162838,0.0,32.860506,0.0,7.950562,0.0,0.920833,4.808178,0.0,318.494897,0.0,16.839882,626.785353,0.0,4.40394,36.460645,1.403323,0.866667,0.0,0.0,151.072402,735.432304,333.169615,0.0,1.88643,0.0,1.707887,104.23507,0.557829,0.0,0.0,0.0,1.247601,3.495181,9.135446,0.0,344.114024,3.931943,0.395038,0.380644,691.333541,0.5005,371.185355,3.08572,0.0,6.321386,9.601754,0.0,6.772306,14.315064,14.931746,2180.24108,0.023947,1.08147,1.00901,0.0,3.82859,0.0,0.0,0.139066,0.506364
