,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Macedonia,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Denmark,Gabon,Kosovo,Vietnam,Ireland,Estonia,Lithuania,Finland,New Zealand,Japan,Iceland,Czechia,Luxembourg,W. Sahara,Slovenia,Cyprus,Eq. Guinea,Falkland Is.,Malawi,Solomon Is.,Hungary,Palestine,Fr. S. Antarctic Lands,Greece,Mongolia,Fiji,Vanuatu,N. Cyprus,Greenland,Belarus,Bahamas,Uruguay,Timor-Leste,Turkmenistan,Switzerland,Brunei,Puerto Rico,Norway,Slovakia,Bulgaria,Somaliland,Portugal,South Korea,Latvia,Kazakhstan,New Caledonia,North Korea,Cuba,Suriname
2024-02-29,15.671317757261821,0,0.35752833866531447,0.09635368910080078,0,4.165026711157174,0,0,9.86917273697823,0,8.051081016868615,0.03336737196263807,11.90046684019177,0,0.01806241214843827,0.016683685981319037,0,136.21140065885893,265.96721391561687,5.575474634298163,0,51.81738706305888,0,55.634297939667306,4.511111111111111,0.011533388117192275,25.25268566685032,0.0069045433688083935,0.3575350316329605,0,0,465.1323195126387,0.3565076766640808,2.22214011159277,0,0.013288829572695908,55.3219345383488,2.7616774446276087,0,0.011533388117192275,0,3.1796008869179606,0.1334694878505523,0.20283900792193804,0.03612482429687654,0,29.790632062869076,0.8456358741413142,49.328065554580036,10.991025688071083,17.51148729256924,63.571710770833384,617.0977424655279,0,0.013888888888888888,0,0,13.745660769404084,4.358777636660532,0,0,0,23.19523428875947,0,0.020176379285344628,0.3119993432353522,0,0,0,150.4242208804557,0,0,298.49952247565693,0,0.027618173475233574,10.549423595781212,262.40978779673503,0,0,0,0,30.806243261845555,344.5113636363636,108.85020497139533,0,0.3531380683644756,0,0.06052913785603388,5.984274733462938,0,0,0,12.067318081321336,0,0.9343434343434344,1.8919968919968921,0,0.2768013148126146,0,297.32280397478655,3.5909675911503736,5.3220118816757465,0,0.011533388117192275,92.99172545042612,1.1467662672188825,234.6013091867147,0,0,1.161489850179748,12.0,0,0.04663806153993496,1.9970666761838238,6.640533432809701,1640.6021561378916,0,0,0.25,0,8.103841946951054,29.691598134621042,0,0.011533388117192275,0,0,0,0,0.0069045433688083935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-31,20.565749179215445,0,0.1835986128644108,0.0715875053487377,0,3.378784431692746,0,0,9.697521123903053,0,6.822047992397244,0.017863054670933878,2.651841017454738,0,0.014398777330122002,0.008931527335466939,0,161.58397614230316,309.794615940762,7.189231248054777,0,42.53740725967292,0,18.434797069904455,11.178197064989517,0.011621180052093638,34.32329242182767,0.004246644277840711,0.3602565816149028,0,0,352.8300827423168,13.64841994934332,1.4162936863590834,0,0.008438745773178907,104.94457004578453,1.9736543068828776,0,0.011621180052093638,0,1.7627494456762751,0.07145221868373551,0.18402385357892742,0.028797554660244005,0,27.961502370667525,0.5755464016471882,40.05514152901702,6.037852387375767,11.57706332075615,92.67415217295697,350.4661806060513,0,0.03968253968253968,0,0,19.14007013200912,0.07114901117130193,0,0,0,9.745692623390465,0,0.021183675310346553,0.3076233506327268,0,0,0,186.31900012393808,0,0,293.0396158463385,0,0.016986577111362845,17.09508824068716,212.00297477378012,0,0,0,0,118.69505472810981,715.375,84.1928385649162,0,0.17915001651972803,0,0.06355102593103966,6.80881589193974,0,0,0,9.955051765609824,0,0.9647117729014282,8.924996572055395,0,0.27890832125024734,0,208.06490259616723,2.618617155170262,9.760130421159642,0,0.011621180052093638,130.8274961138712,0.26333216921195624,181.85876437607476,0,0,1.9858425042428092,3.817774458551158,0,0.029171814261096628,1.0901297449118614,6.442567870960287,2563.0156611661737,0,0,0.25,0,6.865873666940114,32.67383240186946,0,0.011621180052093638,0,0,0,0,0.004246644277840711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-30,14.490568746865009,0,0.3151776976654428,0.0012836970474967907,0,4.922638758984471,0,0,2.571846878296649,0,12.840104537894987,0.008570037645444345,5.833719964036792,0,0.012858951292516024,0.004285018822722172,0,165.12782333372243,361.27384283788206,8.935885465297229,0,62.332791207015674,0,13.355756169197281,9.466666666666665,0.013861943957808088,25.12489231661236,0.0105809650143305,0.4297202626920507,0,0,406.9882024004364,4.314216221533619,1.404816256575939,0,0.008852288911594881,87.58085002442598,2.0957742626156843,0,0.013861943957808088,0,2.641352549889135,0.03428015058177738,0.45013097317680634,0.025717902585032048,0,18.076061004415607,0.7178871954365921,58.758342351171635,7.0322744650433755,17.203042576799646,73.19745475108245,912.4279092647056,0,0.001851851851851852,0,0,7.074187234491772,0.01487778958554729,0,0,0,23.03886414677781,0,0.017271184151705084,0.20066231303073406,0,0,0,186.81779328121428,0,0,284.28089635854343,0,0.042323860057322,27.0080441786865,264.0616702618486,0,0,0,0,120.40285113717036,353.55681818181813,118.59802519924486,0,1.002848348896656,0,0.05181355245511525,11.088303602942412,0,0,0,17.27449203647252,0,0.348150623885918,0.6474244709538828,0,0.33268665498739414,0,92.8029421960675,1.6794755936472894,1.1558268891602224,0,0.013861943957808088,326.89769780310957,2.549959054506417,193.49211017817493,0,0,1.1741243696111925,13.756534727408516,0,0.011213874886593157,0.0,4.393034694568292,2141.259137940937,0,0,0.0,0,2.1930544161881325,39.9678849233585,0,0.013861943957808088,0,0,0,0,0.0105809650143305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-31,19.491126042230015,0,0.21542301448551449,0.05942933831252188,0,2.989819004524887,0,0,1.6730546891091909,0,10.272511285340938,0.03601263318736914,1.9585007640871188,0,0.009761569252289614,0.01800631659368457,0,162.19406346056573,323.0131876977151,3.1263616557734206,0,75.85800832644253,0,39.87085901100534,14.68888888888889,0.006521068303517378,48.6555355192896,0.005753990080417434,0.20215311740903874,0,0,231.77370885615568,1.5941876936697654,1.2132008837076669,0,0.003861240442122919,147.55619113620614,4.383600293235583,0,0.006521068303517378,0,0.4229490022172949,0.14405053274947657,0.3063099568142524,0.019523138504579228,0,23.605508374240227,0.5438546732156934,59.30717139337512,9.664692482905599,17.272548292076134,121.26664609995679,583.3629317298218,0,0.016414141414141416,0,0,4.666713372934405,0.4533060314662658,0,0,0,12.980161325485065,0,0.009118750837423261,0.22300670470161998,0,0,0,165.29415883805413,0,0,312.8765906362545,0,0.023015960321669734,15.84785357594462,226.16989008547966,0,0,0,0,130.26525532113715,433.83522727272725,126.94696684422615,0,4.959871794871795,0,0.027356252512269783,7.543268993742052,0,0,0,17.525359178757157,0,0.9955808080808081,2.545591663238722,0,0.15650563928441708,0,317.9298567690168,4.329651273153151,9.62897438500375,0,0.006521068303517378,255.72228975804558,1.3399451709495362,197.27150066731116,0,0,1.6020134111563586,2.316654219566841,0,0.01571443974307472,1.5769549968757666,5.321724917263157,1883.7748561258504,0,0,0.07142857142857142,0,5.293751709051135,44.658031220381076,0,0.006521068303517378,0,0,0,0,0.005753990080417434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-30,17.215533615452397,0,0.17998519296374083,0.08364129095836412,0,0.30731734034395874,0,0,5.038283891511286,0,9.167735804229032,0.016849223932228607,7.496677597175369,0,0.00753841964217832,0.008424611966114303,0,191.80087674928342,447.9330661602702,6.145035792094616,0,73.68949220663157,0,15.57603694088235,4.533333333333333,0.021012588602097242,17.63396169828626,0.010515998457064291,0.6513902466650145,0,0,444.9116430260047,6.206407825488172,2.3398639255652656,0,0.013759670971910241,238.7951000329467,2.991562037745336,0,0.021012588602097242,0,0.17073170731707316,0.06739689572891443,0.21652383694460584,0.01507683928435664,0,16.88642381600077,0.5320081725302399,74.68935758961689,8.284925561955419,19.477887148202473,39.61509962997169,849.4112803083516,0,0.0707070707070707,0,0,13.953348235890704,0.5738575982996812,0,0,0,7.73186472467048,0,0.025216050660644213,0.04427832087406556,0,0,0,158.45772534162967,0,0,304.705839669201,0,0.042063993828257165,13.63201335457492,232.21835620236757,0,0,0,0,118.47356314304484,535.5965909090909,92.27410719754813,0,1.5533131618759453,0,0.07564815198193264,12.62012620943118,0,0,0,47.49907566515964,0,0.5492424242424242,0.9634809634809633,0,0.5043021264503338,0,210.6541741178062,1.9769608014208258,10.231254439097578,0,0.021012588602097242,71.97400272960331,0.8529792766802545,203.69369235506673,0,0,0.4564027167724093,0.5242718446601942,0,0.014389256266079984,2.2273124850940356,2.154970666896695,2266.634071655404,0,0,0.75,0,10.18608148755811,39.368073769487204,0,0.021012588602097242,0,0,0,0,0.010515998457064291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-31,9.113601295424383,0,0.08099435270324418,0.08767553584626755,0,1.262610910285902,0,0,1.9454958189248497,0,4.941791399382276,0.0053891216863346395,14.277629678559165,0,0.02320671025625643,0.0026945608431673197,0,214.46023825272687,715.1460623501061,39.16059757236228,0,44.51100689830888,0,48.79013409208122,8.266666666666667,0.018767666286350043,52.66039763533441,0.0031885838429360895,0.5817976548768513,0,0,374.73163302418624,5.842793271359009,1.5912751734627666,0,0.015488176963099398,287.8543018143398,2.643384468635709,0,0.018767666286350043,0,5.030487804878049,0.021556486745338558,0.3735827323584462,0.04641342051251286,0,20.073384495803882,0.8342460421268476,33.51724278743083,9.316385897502524,16.54450430565969,120.78615774192185,1554.838276497696,0,0.041666666666666664,0,0,20.48011533267126,0.40898369663824163,0,0,0,8.804232804232804,0,0.021371004965052637,0.06901010432925327,0,0,0,173.26244759748624,0,0,336.67910364145655,0,0.012754335371744358,19.34428513255749,250.60620079619144,0,0,0,0,271.08366092560794,427.0511363636364,110.75527266093995,0,0.3784986755235595,0,0.06411301489515792,0.0,0,0,0,21.58895349962927,0,0.993353924641957,1.6687234334293155,0,0.45042399087240104,0,195.90308128400574,1.8362961099782054,10.9673934503579,0,0.018767666286350043,48.33297157622739,0.9700893083285933,146.2613283649182,0,0,1.076513049338818,6.089619118745332,0,0.030044077668690335,7.967937093856731,9.39802776948035,2336.9419003239764,0,0,0.0,0,5.586136177194422,66.06787838676993,0,0.018767666286350043,0,0,0,0,0.0031885838429360895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
