date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Malawi
2021-01,2930.898904,0.997466,4.430541,1.704661,0.000000,6.383959,2.992398,18.145213,453.853368,0.000000,1.873251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.258109,46.891629,22.131537,0.000000,78.142986,0.000000,45.663749,24.589722,0.000000,9.143021,0.000000,0.000000,0.000000,0.000000,497.857386,10.141225,69.420504,0.000000,0.000000,6.300000,6.946207,0.000000,0.000000,0.000000,0.740371,0.000000,22.433704,6.635181,0.000000,19.133352,1.207408,42.352332,6.651626,17.751337,169.773896,5.046222,0.000000,4.901910,0.000000,0.000000,12.637210,1.843859,0.000000,1.157701,0.000000,12.370485,0.000000,0.668968,50.306360,14.484738,0.000000,125.555817,0.000000,0.400442,420.605423,0.000000,1.347816,190.878871,3.871926,0.000000,0.931970,0.000000,0.000000,121.390450,333.402025,0.000000,54.301780,0.000000,0.000000,1.006220,0.000000,30.620838,0.000000,0.000000,0.000000,5.432972,0.162336,1.399649,0.000000,0.000000,0.000000,0.000000,425.785394,1.715559,222.649112,0.000000,0.000000,101.142329,0.000000,287.151932,0.000000,35.023169,7.257910,0.000000,0.000000,12.655541,17.502435,9.017385,15.924084,1.111954,0.000000,1.729060,0.000000,2.799298,344.704924,0.918180,0.556473,1.609407
2021-02,4211.595939,2.091980,2.830801,11.759159,0.000000,1.703169,6.275939,3.768646,727.810001,0.000000,2.691860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.414187,113.486858,10.418027,0.000000,141.298062,0.000000,63.589568,29.177914,0.000000,9.752848,0.000000,0.000000,0.000000,0.000000,398.828891,45.977485,38.739296,0.000000,0.000000,365.246341,23.867434,0.000000,0.000000,0.000000,0.669400,0.000000,14.544444,1.297311,0.000000,19.511818,3.684028,44.815410,7.271111,8.288082,52.457732,3.811111,0.000000,5.741925,0.000000,0.000000,9.483996,8.359543,0.000000,3.977906,0.000000,0.000000,0.000000,1.783900,127.197403,8.039943,0.000000,153.022333,0.000000,0.358818,474.584697,0.000000,0.512340,157.984742,0.694810,0.000000,1.195658,0.000000,0.000000,99.037029,386.326196,0.000000,70.316080,0.000000,0.000000,0.547261,0.000000,40.189042,0.000000,0.000000,0.000000,9.423171,1.489647,0.545124,0.000000,0.000000,0.000000,0.000000,181.545106,0.608350,121.654858,0.000000,0.000000,65.692964,0.000000,366.291449,0.000000,26.306852,11.366651,0.000000,0.000000,1.758438,14.079022,11.812937,19.017768,1.021353,0.000000,0.622222,0.000000,1.090247,405.387515,0.854865,0.893770,2.190319
2021-03,2798.765175,0.576419,2.691829,3.687062,0.000000,0.692875,1.729256,1.627365,612.193511,0.000000,1.579414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,107.512577,105.595835,7.478870,0.000000,91.309561,0.000000,43.439186,24.045994,0.000000,14.559848,0.000000,0.000000,0.000000,0.000000,378.714928,40.279950,39.827759,0.000000,0.000000,6.300000,22.137142,0.000000,0.000000,0.000000,1.195268,0.000000,13.347698,6.124989,0.000000,5.763364,3.613162,34.296157,6.442063,41.688004,70.614648,6.035556,0.000000,5.925716,0.000000,0.000000,18.145468,7.323627,0.000000,3.689524,0.000000,0.052575,0.000000,0.159465,102.665686,10.011314,0.000000,103.755718,0.000000,0.562417,401.253086,0.000000,11.546339,226.636692,7.634740,0.000000,0.457000,0.000000,0.000000,197.722506,382.461845,0.000000,47.209848,0.000000,0.000000,1.796776,1.680000,51.372506,0.000000,0.000000,0.000000,8.999770,0.067453,0.312305,0.000000,0.000000,0.000000,0.000000,255.709152,4.662753,54.873367,0.000000,0.000000,84.886492,0.000000,449.466330,0.000000,43.537211,3.414154,0.000000,0.000000,0.415574,26.396503,7.612308,18.631168,0.415656,0.000000,3.878519,0.000000,0.624609,539.436212,1.356497,0.623605,0.768465
2021-04,2812.148881,0.357871,2.853390,4.248625,0.000000,5.475352,1.073613,30.239258,482.784909,0.000000,2.469567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,188.174129,128.816901,16.896450,0.000000,93.898839,0.000000,59.279412,24.474675,0.000000,10.662791,0.000000,0.000000,0.000000,0.000000,468.777462,4.798738,31.525179,0.000000,0.000000,6.300000,1.650514,0.000000,0.000000,0.000000,0.414060,0.000000,12.847593,4.342293,0.000000,14.511862,0.269067,49.074501,8.377143,4.205301,59.075623,36.353333,0.000000,4.962941,0.000000,0.000000,17.622580,0.872498,0.000000,0.275086,0.000000,75.009746,0.000000,0.408057,102.314602,6.211352,0.000000,203.616298,0.000000,0.571352,419.592132,0.000000,19.890222,185.955083,5.196297,0.000000,0.469026,0.000000,0.000000,33.209553,460.035638,0.000000,45.894265,0.000000,0.000000,1.331359,0.000000,39.422461,0.000000,0.000000,0.000000,16.690108,0.000000,0.242863,0.000000,0.000000,0.000000,0.000000,185.358515,3.288980,65.956764,0.000000,0.000000,28.754140,0.000000,395.587363,0.000000,56.240124,4.666739,0.000000,0.000000,0.622089,18.988619,8.878741,11.581875,1.260774,0.000000,0.466667,0.000000,0.485726,430.784996,1.748945,0.105268,1.748597
2021-05,2307.754222,4.371120,1.679598,6.932748,0.000000,18.680915,13.113359,10.184642,536.757588,0.000000,1.846049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,157.930621,37.807856,30.603092,0.000000,82.625101,0.000000,36.414844,35.152935,0.000000,12.028442,0.000000,0.000000,0.000000,0.000000,424.904592,8.150015,40.485421,0.000000,0.000000,35.802439,7.921939,0.000000,0.000000,0.000000,3.748851,0.000000,36.431720,3.788279,0.000000,26.511840,0.555663,44.883918,3.191984,2.346825,79.707376,0.435556,0.000000,4.483325,0.000000,0.000000,15.677774,1.481821,0.000000,1.320323,0.000000,13.920455,0.000000,0.001261,94.863337,4.767519,0.000000,168.193170,0.000000,0.379513,413.201936,0.000000,16.869611,257.649989,5.570378,0.000000,0.376967,0.000000,0.000000,78.662204,507.081464,0.000000,53.689223,0.000000,0.000000,2.746362,0.000000,37.946432,0.000000,0.000000,0.000000,5.427683,0.009211,0.322111,0.000000,0.000000,0.000000,0.000000,140.802030,4.030976,72.468528,0.000000,0.000000,80.422950,0.000000,586.065873,0.000000,17.945839,4.041474,0.000000,0.000000,5.500988,36.015271,15.156552,14.579812,0.867418,0.000000,0.383704,0.000000,0.644223,439.959149,1.980039,0.105283,1.291024
2021-06,2462.804142,0.743871,1.059416,4.935823,0.000000,8.037491,2.231613,14.486754,1485.355427,0.000000,1.590328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,152.603746,26.789416,19.476733,0.000000,98.666497,0.000000,40.274804,13.663380,0.000000,10.918458,0.000000,0.000000,0.000000,0.000000,514.999682,8.743465,24.261748,0.000000,0.000000,11.217073,5.984091,0.000000,0.000000,0.000000,2.966211,0.000000,0.000000,2.879728,0.000000,11.202891,0.740390,39.480770,9.276524,2.361296,93.957814,0.466667,0.000000,2.632888,0.000000,0.000000,15.157639,1.589721,0.000000,0.997349,0.000000,3.052869,0.000000,0.067879,111.512725,9.616968,0.000000,431.730942,0.000000,0.408153,479.270529,0.000000,9.711111,176.081806,9.942276,0.000000,0.789598,0.000000,0.000000,81.470722,412.002635,0.000000,61.192194,0.000000,0.000000,0.526370,1.288000,34.779269,0.000000,0.000000,0.000000,9.866972,0.000000,0.412411,0.000000,0.000000,0.000000,0.000000,235.282621,8.152955,211.450127,0.000000,0.000000,28.779466,0.000000,412.317827,0.000000,15.427618,4.182553,0.000000,0.000000,1.316180,21.355845,7.069930,12.658208,0.880022,0.000000,1.477778,0.000000,0.824822,539.336853,2.445653,0.111297,0.860871
