,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Latvia,Fiji,Montenegro,Slovakia,Finland,Taiwan,Cuba,Costa Rica,Ireland,Switzerland,Iceland,Czechia,Portugal,Fr. S. Antarctic Lands,Slovenia,N. Cyprus,Timor-Leste,Malawi,Chile,Japan,Greenland,South Korea,Turkmenistan,Norway,Denmark,Belarus,Estonia,Eq. Guinea,Vanuatu,Kosovo,Cyprus,Brunei,Bahamas,Solomon Is.,Puerto Rico,Uruguay,Oman,Luxembourg,Suriname,Hungary,Gabon,New Zealand,Bulgaria,Vietnam,Somaliland,New Caledonia,North Korea,Kazakhstan,Mongolia,W. Sahara,Falkland Is.,Greece,Belize,Palestine,Lithuania
2025-05-31,26.510208833509576,0,0.41797246843278174,0.037963440740784574,0,0,0,0,0.19563045854071098,0,25.562314563881806,0.048907614635177746,13.425741058484181,0,0,0,0,91.82839987239085,209.5679297728499,5.618200393761301,0.08434994753008798,36.41331688856923,0,7.054794020948831,36.95086147588952,0,155.4305376591644,0,0,0,0,752.4598285325226,8.872283603626888,0,0,0,231.55518082270564,0.32783053894120784,0,0,0.041809523115069414,0.7547963305150635,1.5041244992709513,0,0,0,126.6767321942618,5.80841755568033,59.176332581500674,11.495218992311367,13.330680759044148,13.99322736225609,772.0002998614742,0,0,1.2,0.13993613005184236,9.847395187981643,0.5776093850537733,0,0,0,54.511898012841826,0,0.6,0.6990740740740741,0,0.19462168935853147,117.69911469370946,0,0.03456356988623208,309.20946903729913,0,0.29522481635530795,93.02762715044776,221.78408858864202,0,0.018580470835702557,0,0,64.79225494411398,283.45481233742106,0,280.2635332530476,0,3.1405417118093175,0,0.009290235417851279,12.491077356494294,0,0,0,665.3343477390634,0.21087486882521994,0.04645117708925639,0,0,0.021579719577027798,0,251.0449143739152,15.13006225834438,39.5375108487906,0,0,592.1843074240871,0.8232323232323233,497.09999999999997,0.34235330244624423,2.325925925925926,5.27451701105023,9.12247754261214,0.2986477076445641,0,2.8144017911408996,0.4825,4383.519480519481,0,0,0.02662907268170426,0.04217497376504399,1.4982578501522328,102.46572326044708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-30,17.75621616934061,0,0.11995362658425435,0.008292990652917708,0,0,0,0,0.06631996668001675,0,23.2669025692193,0.016579991670004186,16.776933672652977,0,0,0,0,88.77101256459336,231.45826584801625,5.746544390838665,0.018926594477687436,30.98769950499696,0,0.0,16.882558852965975,0,66.93855823372212,0,0,0,0,429.77795651543414,6.489500549202042,0,0,0,357.53777468675673,0.46311075712166083,0,0,0.021862434206701,0.06971274468069927,2.102148361409037,0,0,0,76.06436266242947,2.2213644020213366,30.17167048191118,10.699455350244474,7.912646867942106,12.10994023770424,1349.3872617532709,0,0,0.0,0.06649460390758954,6.786608565810635,1.5080181853763834,0,0,0,37.330830774396006,0,0.0,1.6435185185185186,0,0.11000474158368896,122.74314658333876,0,0.014920960671918336,286.7665165909656,0,0.06624308067190603,63.9025060141795,210.39369691428823,0,0.01681866784487007,0,0,94.23344977013886,366.97725752508364,0,270.63493591132215,0,6.297620801733478,0,0.008409333922435034,20.404386816546545,0,0,0,621.4839627611593,0.04731648619421859,0.04204666961217517,0,0,0.02154742576199307,0,174.23757159381063,29.413024747755156,26.222621439578123,0,0,679.0258859554103,0.050505050505050504,565.3,0.11605994169002931,0.0,6.444319667976269,7.788022329016193,0.07406559956801478,0,0.163670707392568,0.17166666666666666,4274.766233766234,0,0,0.0,0.009463297238843718,0.6872863654134626,93.19978862626053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-31,25.323899074128473,0,0.27226391574816633,0.026053168071611395,0,0,0,0,0.17089269279433233,0,32.344998090883,0.042723173198583084,14.466290104167735,0,0,0,0,90.51271753153418,276.69303562856396,7.424828356058095,0.019856474277980558,26.346681466047798,0,0.0,6.482391119123767,0,129.48095380441174,0,0,0,0,526.1348852997093,4.623247399366802,0,0,0,198.55723719193725,0.5418759202515022,0,0,0.03005611723046283,1.176000991419413,1.7352448597296906,0,0,0,50.19763825157801,1.0102002620250796,53.699098987243104,4.9478353260452135,14.509641228851752,12.08858856055508,1702.1284865917305,0,0,0.0,0.03056943258195193,7.178846321104664,0.13747120389287046,0,0,0,67.55926842473858,0,0.6,0.0,0,0.25059269796111905,116.54445306178368,0,0.01038387484849302,352.8013736294787,0,0.06949765997293195,42.572187673947624,200.8726857161627,0,0.019408897212553268,0,0,52.44262518211793,157.17053140096618,0,257.1625708231847,0,8.191072589382449,0,0.009704448606276634,16.870726607207708,0,0,0,352.4956278475994,0.04964118569495139,0.048522243031383167,0,0,0.017585415646426128,0,335.460613313369,14.438979643985425,33.04974874466914,0,0,924.8680064862169,0.42424242424242425,247.03333333333336,0.29906221239008157,1.2,6.523453746385865,10.122412510197718,0.055066101531914144,0,0.38321865351384127,0.6900000000000001,6080.2077922077915,0,0,0.008771929824561403,0.009928237138990279,1.166743369290237,62.581126049011075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-31,17.262823488229817,0,0.45407273478854066,0.019635922502192954,0,0,0,0,0.07327205889750221,0,28.86077124702622,0.018318014724375553,10.867919855285775,0,0,0,0,87.5043033031138,215.62546785855577,7.204293779633816,0.07015196288137693,34.64323431374342,0,0.0,0.0,0,85.35609104446019,0,0,0,0,563.764682374226,6.675626198014258,0,0,0,327.42266715934375,0.38892593471764947,0,0,0.04459185689192177,1.7076018466331597,1.357448870648006,0,0,0,54.347762312489465,1.606424293468089,47.557943308755995,2.036820326156927,8.01313120854345,7.6218711307489135,2039.4567170037626,0,0,0.6,0.022284259746518428,6.7996255716967715,0.9952702170107744,0,0,0,51.68695097148181,0,0.2,0.6597222222222222,0,0.182076813655761,123.39331108073219,0,0.011711395786410521,309.47087179861524,0,0.24553187008481925,82.71825181548162,197.70706513854634,0,0.01043551795829421,0,0,112.95686310756187,157.308547008547,0,221.8161183412514,0,1.6342361863488624,0,0.005217758979147105,12.906681997046412,0,0,0,571.5117598933281,0.17537990720344232,0.026088794895735526,0,0,0.03442436667516304,0,362.21028367166133,3.6000822954566813,21.52683272640255,0,0,748.2156657973917,3.6717171717171717,167.46666666666667,0.12822610307062887,0.4,3.977638772262865,7.259245822069538,0.11452493541506137,0,0.7604891356727975,0.44666666666666666,3973.974025974026,0,0,0.0,0.035075981440688464,0.32708338604961473,46.48547474996913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-30,9.00859435788912,0,0.2558308214479026,0.0200123882592228,0,0,0,0,0.08076923522668279,0,39.563558296984276,0.020192308806670698,14.824973231174397,0,0,0,0,90.70033847976833,186.86352233327418,5.799351374692395,0.036025319458506205,27.852963129967563,0,0.0,25.136446085392404,0,106.8718827787412,0,0,0,0,766.842411219232,15.216170231095605,0,0,0,235.01524001679147,0.04918619921206575,0,0,0.05186272697679112,0.2482358838337597,2.6827574174599014,0,0,0,93.08114335821494,2.347113045105746,54.56650091212084,9.946802337998768,12.167687762466548,23.145986686094407,1109.7109464439643,0,0,0.6,0.04005792827709945,12.091865570902222,1.428161295511625,0,0,0,43.13961208023531,0,0.0,0.16782407407407407,0,0.0,107.47736127671993,0,0.03637102308892359,310.8751968367557,0,0.12608861810477173,64.51933649700267,181.78563404492937,0,0.022119905392913416,0,0,66.74034067464882,76.43140096618359,0,209.38440941225673,0,1.5741711809317445,0,0.011059952696456708,17.07673141744085,0,0,0,385.2472838608206,0.09006329864626551,0.05529976348228354,0,0,0.03270881298855021,0,446.4261603216364,11.09197865156661,30.316772642543356,0,0,762.325793027865,0.5,306.39259259259256,0.1413461616466949,0.2,6.913670769118718,7.000981260437212,0.08638764498305228,0,0.7624897825111434,0.9033333333333333,4010.1103896103896,0,0,0.00046992481203007516,0.018012659729253103,0.727004954514889,9.050313452732059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-31,8.409077764833928,0,0.11635007461833123,0.0221516515840423,0,0,0,0,0.06926501781063191,0,22.102506989598513,0.017316254452657977,13.688858395687268,0,0,0,0,81.27682991172532,198.83911626100033,5.2438239491991085,0.021470919349914092,30.694290370605632,0,0.0,51.65604285978573,0,158.9513529671701,0,0,0,0,477.61046975984357,6.407055630936227,0,0,0,310.8129459176198,0.19293777441733986,0,0,0.04051869048270239,0.7041400700529065,1.781075493956203,0,0,0,89.70001038571107,2.2559891446752762,51.706974729439565,6.050832115300237,14.336003400255969,16.449950399835444,1416.2701252618722,0,0,0.0,0.0293603506163993,13.613680696029068,0.8804318174405261,0,0,0,39.22547520351145,0,0.0,0.2777777777777778,0,0.07882882882882883,113.39662848813754,0,0.015582380110046461,298.4092078980157,0,0.07514821772469932,90.31928963021615,201.72126932162516,0,0.020838771269193274,0,0,76.622886131103,187.06241174284654,0,226.52467713815162,0,4.876966413867822,0,0.010419385634596637,10.73138580805786,0,0,0,1057.9399549171321,0.05367729837478523,0.052096928172983184,0,0,0.01998153248668624,0,504.76875630037534,16.325318011252467,20.87842594073971,0,0,695.7741211761412,0.5050505050505051,450.3703703703703,0.12121378116860584,0.6,4.80669466993454,8.870568522064406,0.10053560750487414,0,0.3000338967270973,0.12666666666666668,4575.902597402597,0,0,0.01206140350877193,0.010735459674957046,1.8142944843299513,49.83179132620993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
