,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Brunei,Ireland,Japan,Portugal,Iceland,Slovakia,Timor-Leste,Greece,Palestine,N. Cyprus,Montenegro,Taiwan,Turkmenistan,Kazakhstan,Slovenia,Oman,Belarus,Czechia,W. Sahara,North Korea,Vietnam,Fr. S. Antarctic Lands,Bulgaria,Costa Rica,Estonia,Kosovo,Hungary,Puerto Rico,Lithuania,Vanuatu,Norway,Greenland,Belize,New Zealand,Somaliland,Chile,Cyprus,Falkland Is.,Mongolia,Latvia,Solomon Is.,Gabon,Switzerland,Denmark,Cuba,New Caledonia,Fiji,Uruguay,South Korea,Eq. Guinea,Malawi,Suriname,Luxembourg,Bahamas,Finland
2025-08-31,29.370349,0.000000,0.049604,1.111940,0.000000,0.000000,0.000000,0.000000,0.064719,0.000000,0.000000,0.016180,8.981157,0.000000,0.000000,0.000000,0.000000,91.673589,302.286994,16.673429,1.739374,28.893006,0.000000,9.297493,26.370782,0.000000,83.991748,0.000000,0.000000,0.000000,0.000000,546.230795,39.889922,0.138794,0.000000,0.000000,255.916556,0.537727,0.000000,0.000000,0.000000,0.756996,2.046124,0.000000,0.000000,0.000000,54.559176,1.704741,78.780000,8.212241,27.898254,17.814142,1058.791867,0.000000,0.000000,0.120786,0.000000,37.956763,0.962082,0.000000,0.000000,0.124009,42.315617,0.000000,0.243602,0.737786,0.000000,0.168027,210.634422,0.000000,0.000000,353.647273,0.000000,0.521301,65.506610,178.303744,0.000000,0.072447,0.000000,0.000000,72.391429,993.756927,0.000000,234.032941,0.000000,3.391730,0.000000,0.311723,26.641511,0.000000,0.000000,0.000000,1042.231473,0.372358,0.114493,0.000000,0.000000,0.000000,0.000000,324.028709,20.756186,17.670967,0.000000,0.000000,980.402390,0.230068,1186.969507,0.113259,0.596078,11.339852,2.907454,0.000000,0.000000,0.240146,0.676531,6821.671138,0.000000,0.000000,0.000000,0.074472,0.000000,168.524269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-09-30,19.060125,0.000000,0.022526,2.051425,0.000000,0.000000,0.000000,0.000000,0.058487,0.000000,8.595049,0.014622,4.422649,0.000000,0.000000,0.000000,0.000000,51.227173,146.123906,16.840571,1.331803,33.003927,0.000000,0.000000,43.698363,0.000000,51.485621,0.000000,0.000000,0.000000,0.000000,959.452993,59.717986,0.033223,0.000000,0.000000,328.055997,0.416000,0.000000,0.000000,0.000000,0.433333,2.756644,0.000000,0.000000,0.000000,65.142007,1.137318,42.900000,5.361394,18.167382,31.114300,1261.758010,0.000000,0.000000,0.057946,0.000000,45.694575,0.321605,0.000000,0.000000,0.056316,32.035386,0.000000,0.223035,3.004844,0.000000,0.258762,301.864922,0.000000,0.000000,321.233939,0.000000,0.090309,79.774828,246.526771,0.000000,0.032609,0.000000,0.000000,295.474082,635.003608,0.000000,272.552355,0.000000,1.641947,0.000000,0.674254,19.453564,0.000000,0.000000,0.000000,989.571152,0.064506,0.397669,0.000000,0.000000,0.000000,0.000000,327.940869,21.519450,40.257193,0.000000,0.000000,819.092712,0.273044,822.028351,0.102353,0.640196,8.882409,2.936624,0.000000,0.000000,0.292087,0.000000,9397.720250,0.000000,0.000000,0.000000,0.012901,0.000000,115.575471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-10-31,16.304489,0.000000,0.013486,3.102606,0.000000,0.000000,0.000000,0.000000,0.134496,0.000000,3.556354,0.033624,22.224535,0.000000,0.000000,0.000000,0.000000,63.645367,277.004173,17.174857,1.201887,40.010150,0.000000,9.777224,26.787431,0.000000,94.446670,0.000000,0.000000,0.000000,0.000000,397.779754,116.768548,0.092328,0.000000,0.000000,247.294368,2.676818,0.000000,0.000000,0.000000,0.342387,2.771554,0.000000,0.000000,0.000000,63.584244,1.563218,66.820000,10.702408,21.052357,17.184579,1573.581922,0.000000,0.000000,0.030233,0.000000,32.889019,0.342306,0.000000,0.000000,0.033716,37.247425,0.000000,0.375470,2.298620,0.000000,0.000000,272.825924,0.000000,0.000000,428.463226,0.000000,0.057447,72.911564,228.460110,0.000000,0.022550,0.000000,0.000000,88.448639,919.095142,0.000000,361.848965,0.000000,2.886846,0.000000,0.678210,22.041926,0.000000,0.000000,0.000000,1939.004667,0.041034,0.609724,0.000000,0.000000,0.000000,0.000000,156.554037,23.813134,0.000000,0.000000,0.000000,948.312384,0.405224,753.660702,0.235368,0.386928,16.862085,2.453380,0.000000,0.000000,0.348992,0.026531,6479.818759,0.000000,0.000000,0.000000,0.008207,0.000000,173.317379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-11-30,29.678516,0.000000,0.040566,1.879927,0.000000,0.000000,0.000000,0.000000,0.124700,0.000000,0.000000,0.031175,13.378781,0.000000,0.000000,0.000000,0.000000,61.773886,112.156161,18.445143,0.981358,46.444038,0.000000,6.369966,29.862756,0.000000,62.762611,0.000000,0.000000,0.000000,0.000000,761.369317,152.860004,0.053284,0.000000,0.000000,261.857003,1.887364,0.000000,0.000000,0.000000,4.675720,2.078498,0.000000,0.000000,0.000000,58.287549,0.407874,54.860000,6.932765,28.143978,44.303214,1053.105742,0.000000,0.000000,0.161240,0.000000,37.387653,0.440407,0.000000,0.000000,0.101416,47.606914,0.000000,0.301616,0.296944,0.000000,0.005065,215.821999,0.000000,0.000000,307.032043,0.000000,0.086743,63.543234,257.509227,0.000000,0.052567,0.000000,0.000000,144.976505,1017.903050,0.000000,463.400642,0.000000,2.483704,0.000000,0.322595,12.079365,0.000000,0.000000,0.000000,1703.672625,0.061960,0.344780,0.000000,0.000000,0.000000,0.000000,564.731080,34.236032,0.000000,0.000000,0.000000,1108.032853,0.263828,1055.352313,0.218226,0.702941,16.305905,2.213779,0.000000,0.000000,0.074438,0.650000,7228.862660,0.000000,0.000000,0.000000,0.012392,0.000000,131.399532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-12-31,28.112982,0.000000,0.040027,1.243383,0.000000,0.000000,0.000000,0.000000,0.076000,0.000000,6.028635,0.019000,6.524815,0.000000,0.000000,0.000000,0.000000,69.978670,142.067622,13.430857,1.465538,39.076181,0.000000,2.922803,35.023942,0.000000,60.394965,0.000000,0.000000,0.000000,0.000000,1177.461567,127.445892,0.078268,0.000000,0.000000,376.010783,1.720727,0.000000,0.000000,0.000000,0.270833,0.810762,0.000000,0.000000,0.000000,69.329945,3.956916,54.860000,4.990202,15.610273,29.012140,2103.273088,0.000000,0.000000,0.101157,0.000000,29.186079,0.311449,0.000000,0.000000,0.100068,45.887127,0.000000,0.477702,1.062952,0.000000,0.246494,185.971896,0.000000,0.000000,429.815736,0.000000,0.110879,77.402871,230.272349,0.000000,0.041085,0.000000,0.000000,167.431156,950.392751,0.000000,366.453854,0.000000,2.634735,0.000000,0.212431,13.429060,0.000000,0.000000,0.000000,3506.617492,0.079200,0.387489,0.000000,0.000000,0.000000,0.000000,257.677196,24.898048,12.595634,0.000000,0.000000,996.797471,0.405847,760.633855,0.133000,0.514052,10.219011,2.627869,0.000000,0.000000,0.089165,0.000000,7107.182650,0.000000,0.000000,0.000000,0.015840,0.325000,150.523806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-01-31,19.606054,0.000000,0.035610,0.688344,0.000000,0.000000,0.000000,0.000000,0.082978,0.000000,11.577380,0.020745,8.011508,0.000000,0.000000,0.000000,0.000000,76.306745,156.796620,14.066000,1.048066,42.415802,0.000000,10.906422,31.259740,0.000000,69.201297,0.000000,0.000000,0.000000,0.000000,507.727216,90.406310,0.068653,0.000000,0.000000,250.748617,0.191455,0.000000,0.000000,0.000000,0.925514,2.340796,0.000000,0.000000,0.000000,63.537050,1.636590,42.900000,5.536595,12.770607,38.504597,2177.248827,0.000000,0.000000,0.083941,0.000000,31.024552,0.072453,0.000000,0.000000,0.089025,42.826116,0.000000,0.316922,0.093891,0.000000,0.291797,197.635692,0.000000,0.000000,317.725591,0.000000,0.149610,75.386384,202.223839,0.000000,0.022003,0.000000,0.000000,312.620478,975.046110,0.000000,545.424768,0.000000,3.151253,0.000000,0.125916,13.177564,0.000000,0.000000,0.000000,942.187807,0.106864,0.369300,0.000000,0.000000,0.000000,0.000000,184.693561,37.926497,35.614926,0.000000,0.000000,810.412704,0.232747,618.249291,0.145212,0.045425,8.961273,3.203950,0.000000,0.000000,0.079017,0.305102,7344.241803,0.000000,0.000000,0.000000,0.021373,0.650000,84.499562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
