,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Brunei,Ireland,Japan,Portugal,Iceland,Slovakia,Timor-Leste,Greece,Palestine,N. Cyprus,Montenegro,Taiwan,Turkmenistan,Kazakhstan,Slovenia,Oman,Belarus,Czechia,W. Sahara,North Korea,Vietnam,Fr. S. Antarctic Lands,Bulgaria,Costa Rica,Estonia,Kosovo,Hungary,Puerto Rico,Lithuania,Vanuatu,Norway,Greenland,Belize,New Zealand,Somaliland,Chile,Cyprus,Falkland Is.,Mongolia,Latvia,Solomon Is.,Gabon,Switzerland,Denmark,Cuba,New Caledonia,Fiji,Uruguay,South Korea,Eq. Guinea,Malawi,Suriname,Luxembourg,Bahamas,Finland
2025-08-31,15.814803,0.000000,0.026710,0.598737,0.000000,0.000000,0.000000,0.000000,0.034849,0.000000,0.000000,0.008712,4.836008,0.000000,0.000000,0.000000,0.000000,49.362702,162.769920,8.978000,0.936586,15.557773,0.000000,5.006342,14.199652,0.000000,45.226326,0.000000,0.000000,0.000000,0.000000,294.124274,21.479189,0.074735,0.000000,0.000000,137.801223,0.289545,0.000000,0.000000,0.000000,0.407613,1.101759,0.000000,0.000000,0.000000,29.378018,0.917938,42.420000,4.421976,15.022137,9.592230,570.118697,0.000000,0.000000,0.065039,0.000000,20.438257,0.518044,0.000000,0.000000,0.066774,22.785332,0.000000,0.131170,0.397269,0.000000,0.090476,113.418535,0.000000,0.000000,190.425455,0.000000,0.280700,35.272790,96.009709,0.000000,0.039010,0.000000,0.000000,38.980000,535.099884,0.000000,126.017737,0.000000,1.826316,0.000000,0.167851,14.345429,0.000000,0.000000,0.000000,561.201562,0.200500,0.061650,0.000000,0.000000,0.000000,0.000000,174.476997,11.176408,9.515136,0.000000,0.000000,527.908979,0.123883,639.137427,0.060985,0.320965,6.106074,1.565552,0.000000,0.000000,0.129309,0.364286,3673.207536,0.000000,0.000000,0.000000,0.040100,0.000000,90.743837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-09-30,10.263144,0.000000,0.012130,1.104613,0.000000,0.000000,0.000000,0.000000,0.031493,0.000000,4.628103,0.007873,2.381426,0.000000,0.000000,0.000000,0.000000,27.583863,78.682103,9.068000,0.717124,17.771345,0.000000,0.000000,23.529888,0.000000,27.723027,0.000000,0.000000,0.000000,0.000000,516.628535,32.155839,0.017889,0.000000,0.000000,176.645537,0.224000,0.000000,0.000000,0.000000,0.233333,1.484347,0.000000,0.000000,0.000000,35.076466,0.612402,23.100000,2.886904,9.782436,16.753854,679.408159,0.000000,0.000000,0.031202,0.000000,24.604771,0.173172,0.000000,0.000000,0.030324,17.249823,0.000000,0.120096,1.617993,0.000000,0.139333,162.542650,0.000000,0.000000,172.972121,0.000000,0.048628,42.955677,132.745185,0.000000,0.017559,0.000000,0.000000,159.101429,341.925020,0.000000,146.758961,0.000000,0.884125,0.000000,0.363060,10.474996,0.000000,0.000000,0.000000,532.846005,0.034734,0.214130,0.000000,0.000000,0.000000,0.000000,176.583545,11.587396,21.676950,0.000000,0.000000,441.049922,0.147024,442.630651,0.055113,0.344721,4.782835,1.581259,0.000000,0.000000,0.157278,0.000000,5060.310904,0.000000,0.000000,0.000000,0.006947,0.000000,62.232946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-10-31,8.779340,0.000000,0.007262,1.670634,0.000000,0.000000,0.000000,0.000000,0.072421,0.000000,1.914960,0.018105,11.967057,0.000000,0.000000,0.000000,0.000000,34.270582,149.156093,9.248000,0.647170,21.543927,0.000000,5.264659,14.424001,0.000000,50.855899,0.000000,0.000000,0.000000,0.000000,214.189098,62.875372,0.049715,0.000000,0.000000,133.158506,1.441364,0.000000,0.000000,0.000000,0.184362,1.492375,0.000000,0.000000,0.000000,34.237670,0.841733,35.980000,5.762835,11.335885,9.253235,847.313342,0.000000,0.000000,0.016279,0.000000,17.709472,0.184319,0.000000,0.000000,0.018155,20.056306,0.000000,0.202176,1.237719,0.000000,0.000000,146.906267,0.000000,0.000000,230.710968,0.000000,0.030933,39.260073,123.016982,0.000000,0.012142,0.000000,0.000000,47.626190,494.897384,0.000000,194.841750,0.000000,1.554455,0.000000,0.365190,11.868729,0.000000,0.000000,0.000000,1044.079436,0.022095,0.328313,0.000000,0.000000,0.000000,0.000000,84.298328,12.822457,0.000000,0.000000,0.000000,510.629745,0.218198,405.817301,0.126736,0.208346,9.079584,1.321051,0.000000,0.000000,0.187919,0.014286,3489.133178,0.000000,0.000000,0.000000,0.004419,0.000000,93.324743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-11-30,15.980739,0.000000,0.021843,1.012268,0.000000,0.000000,0.000000,0.000000,0.067146,0.000000,0.000000,0.016787,7.203959,0.000000,0.000000,0.000000,0.000000,33.262862,60.391779,9.932000,0.528423,25.008328,0.000000,3.429981,16.079945,0.000000,33.795252,0.000000,0.000000,0.000000,0.000000,409.968094,82.309233,0.028691,0.000000,0.000000,140.999925,1.016273,0.000000,0.000000,0.000000,2.517695,1.119191,0.000000,0.000000,0.000000,31.385603,0.219624,29.540000,3.733028,15.154449,23.855577,567.056938,0.000000,0.000000,0.086822,0.000000,20.131813,0.237142,0.000000,0.000000,0.054609,25.634492,0.000000,0.162409,0.159893,0.000000,0.002727,116.211846,0.000000,0.000000,165.324946,0.000000,0.046708,34.215588,138.658815,0.000000,0.028305,0.000000,0.000000,78.064272,548.101642,0.000000,249.523423,0.000000,1.337379,0.000000,0.173705,6.504274,0.000000,0.000000,0.000000,917.362183,0.033363,0.185651,0.000000,0.000000,0.000000,0.000000,304.085966,18.434787,0.000000,0.000000,0.000000,596.633075,0.142061,568.266630,0.117506,0.378507,8.780103,1.192035,0.000000,0.000000,0.040082,0.350000,3892.464509,0.000000,0.000000,0.000000,0.006673,0.000000,70.753594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-12-31,15.137759,0.000000,0.021553,0.669514,0.000000,0.000000,0.000000,0.000000,0.040923,0.000000,3.246188,0.010231,3.513362,0.000000,0.000000,0.000000,0.000000,37.680822,76.497950,7.232000,0.789136,21.041020,0.000000,1.573817,18.859046,0.000000,32.520366,0.000000,0.000000,0.000000,0.000000,634.017767,68.624711,0.042144,0.000000,0.000000,202.467345,0.926545,0.000000,0.000000,0.000000,0.145833,0.436564,0.000000,0.000000,0.000000,37.331509,2.130647,29.540000,2.687032,8.405532,15.621922,1132.531663,0.000000,0.000000,0.054469,0.000000,15.715581,0.167704,0.000000,0.000000,0.053883,24.708453,0.000000,0.257224,0.572359,0.000000,0.132727,100.138713,0.000000,0.000000,231.439242,0.000000,0.059704,41.678469,123.992803,0.000000,0.022123,0.000000,0.000000,90.155238,511.749943,0.000000,197.321306,0.000000,1.418704,0.000000,0.114386,7.231032,0.000000,0.000000,0.000000,1888.178649,0.042646,0.208648,0.000000,0.000000,0.000000,0.000000,138.749259,13.406641,6.782265,0.000000,0.000000,536.737100,0.218533,409.572076,0.071616,0.276797,5.502545,1.415006,0.000000,0.000000,0.048012,0.000000,3826.944504,0.000000,0.000000,0.000000,0.008529,0.175000,81.051280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-01-31,10.557106,0.000000,0.019175,0.370647,0.000000,0.000000,0.000000,0.000000,0.044681,0.000000,6.233974,0.011170,4.313889,0.000000,0.000000,0.000000,0.000000,41.088247,84.428949,7.574000,0.564343,22.839278,0.000000,5.872689,16.832168,0.000000,37.262237,0.000000,0.000000,0.000000,0.000000,273.391578,48.680321,0.036967,0.000000,0.000000,135.018486,0.103091,0.000000,0.000000,0.000000,0.498354,1.260428,0.000000,0.000000,0.000000,34.212258,0.881241,23.100000,2.981243,6.876481,20.733245,1172.364753,0.000000,0.000000,0.045199,0.000000,16.705528,0.039013,0.000000,0.000000,0.047937,23.060216,0.000000,0.170651,0.050557,0.000000,0.157121,106.419219,0.000000,0.000000,171.083011,0.000000,0.080559,40.592668,108.889759,0.000000,0.011848,0.000000,0.000000,168.334104,525.024829,0.000000,293.690260,0.000000,1.696829,0.000000,0.067801,7.095611,0.000000,0.000000,0.000000,507.331896,0.057542,0.198854,0.000000,0.000000,0.000000,0.000000,99.450379,20.421960,19.177268,0.000000,0.000000,436.376071,0.125325,332.903465,0.078191,0.024460,4.825301,1.725204,0.000000,0.000000,0.042548,0.164286,3954.591740,0.000000,0.000000,0.000000,0.011508,0.350000,45.499764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
