,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Iceland,Palestine,Czechia,Eq. Guinea,Oman,Gabon,Suriname,Denmark,Turkmenistan,Bulgaria,Solomon Is.,Fiji,Belarus,Somaliland,Fr. S. Antarctic Lands,Mongolia,Slovenia,Vanuatu,Ireland,Costa Rica,Norway,Latvia,Vietnam,Kazakhstan,South Korea,Lithuania,North Korea,Uruguay,N. Cyprus,Slovakia,New Zealand,Timor-Leste,Taiwan,Kosovo,Portugal,New Caledonia,Puerto Rico,Chile,Falkland Is.,Montenegro,Brunei,Bahamas,Cuba,Finland,Belize,Switzerland,Japan,Malawi,Luxembourg,Estonia,Hungary,Greenland,W. Sahara,Cyprus,Greece
2025-03-31,18.064138392471726,0,0.5492035708836387,0.09177059720611681,0,0,0,0,0.17509933564953678,0,31.557648661592378,0.043774833912384195,10.197050415800417,0,0,0,0,117.79134185525669,219.38088708808985,5.3292497859457075,0.02298582761330575,41.18423913043478,0,41.82638960203701,8.496372708166476,0,41.94723176816409,0,0,0,0,223.08725383324565,16.380040691731974,0,0,0,140.08285665539645,0.12967053312321855,0,0,0.10177365694163745,0.3737373737373737,1.9605987225657702,0,0,0,48.26686828305903,1.7926007289020989,45.979491756198584,3.908508403361344,3.352227991081084,21.577080151635233,525.4030418631121,0,0,1.6567227833894502,0.028509671441672775,10.44461601616774,0.0,0,0,0,37.49921230500288,0,0.021367521367521364,0.06011295779339858,0,0.02298582761330575,108.92249163879599,0,0.013358486470041345,292.5359183658379,0,0.08045039664657012,104.53845554101007,199.64285714285714,0,0,0,0,32.294724099988635,199.16873503507986,0,131.8618222591362,0,1.8,0,0,8.72118302918303,0,0,0,1542.6706387456327,0.05746456903326438,0,0.058265626483413054,0,0.04546802492226018,0,154.0936820334984,19.58600015713187,26.538584172407703,0,0,808.5082471714724,0.5345740828216028,508.66228215810895,0.3064238373866894,0.5454545454545454,3.126555655719075,6.592220996249179,0.05964909834701691,0.058265626483413054,2.9749007923209874,0.8,4833.986388611389,0,0,0.025744047619047618,0.011492913806652875,0.5178492665143378,66.10984842491655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-30,19.809431093810403,0,0.5468871959151029,0.0820041657289779,0,0,0,0,0.1268898372989307,0,18.652048847365922,0.03172245932473267,11.95962837837838,0,0,0,0,126.1052317774872,113.92038306028593,8.805155698495671,0.010674359127219247,33.99909420289855,0,37.877427528790335,45.38575615725544,0,35.03315300991108,0,0,0,0,410.0194029994954,11.777673099144785,0,0,0,108.56520047582445,0.16297788169445923,0,0,0.04238000626742372,0.48484848484848486,3.2276024536820813,0,0,0,95.50011024544416,0.7140693639194389,38.33654389638325,5.93109243697479,2.6903447712081734,27.60420126809367,410.1749940107078,0,0,0.6863780663780664,0.05036385915386328,13.780008210180625,0.32967032967032966,0,0,0,38.651960191342496,0,0.03663003663003663,0.026893342007453608,0,0.010674359127219247,112.63294314381271,0,0.010608213605409917,295.4586708468267,0,0.037360256945267366,102.79190254929846,188.33333333333331,0,0,0,0,34.58321995712318,259.0792813852814,0,165.019219269103,0,15.0,0,0,10.749907723711644,0,0,0,2621.2360534374,0.026685897818048115,0,0.023481859824618753,0,0.03050519391871505,0,131.74622281255083,15.302349983775814,1.8070128952481894,0,0,813.0950132347737,1.0218119981105338,250.97655594417668,0.22205721527312872,2.4886363636363638,3.2480389567245056,3.825819607136374,0.11865310311926025,0.023481859824618753,4.929007963620336,0.0,4052.6864385614385,0,0,0.0,0.0053371795636096234,0.2879500479141301,31.376531645381295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-31,36.100302054575835,0,0.2541741710274454,0.0833373098145136,0,0,0,0,0.04838615971500694,0,17.65549316529227,0.012096539928751735,17.143165280665283,0,0,0,0,134.08052088158763,162.59380276243576,7.2719401965239445,0.009455943824337194,33.97626811594203,0,22.171532915187157,16.28989082806661,0,39.95896966013061,0,0,0,0,226.6839033486487,17.93477326297691,0,0,0,176.4957813470098,0.20424756761390425,0,0,0.04894990180205626,0.25252525252525254,1.0135114902982127,0,0,0,74.56766758280982,0.6165980138582878,39.00740054234031,10.328361344537814,3.7354497950503105,31.0526347318621,174.90000062087265,0,0,2.079502966169633,0.018098054307506942,29.96149425287356,0.33791208791208793,0,0,0,33.126368258618584,0,0.0017094017094017094,0.0251928414942632,0,0.009455943824337194,125.47299331103679,0,0.01065314449138438,241.31183362172456,0,0.03309580338518018,121.04243552384894,218.55311355311355,0,0,0,0,121.70573841258754,154.87459163059162,0,139.8704950166113,0,0.0,0,0,12.0972895429366,0,0,0,531.6202182806314,0.023639859560842982,0,0.03857120343949944,0,0.08284585371793646,0,119.69581999556817,4.0524175349887495,7.570747217806041,0,0,588.6532560176556,0.6765523539600063,395.1745221836837,0.08467577950126215,2.0,2.810417386211785,3.3597127369376043,0.06775173289187758,0.03857120343949944,8.257666480252887,0.0,4538.846278721278,0,0,0.003125,0.004727971912168597,0.15583478804819986,35.17153175244924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-30,25.478983685960696,0,0.38883364174549634,0.21803937844560956,0,0,0,0,0.08924694866986875,0,20.96317406258127,0.022311737167467188,11.263929313929314,0,0,0,0,120.40414094199006,200.38176853947834,5.656678403952612,0.03657904254633303,30.56376811594203,0,32.24285524321862,5.2409033129236136,0,33.25144671450029,0,0,0,0,370.21283166815124,15.529287594206682,0,0,0,135.9704392374718,0.2525849157805806,0,0,0.016804555829813207,0.04040404040404041,2.521015309980671,0,0,0,35.9539298972016,2.3030024030024028,56.17957871371526,7.1878151260504195,2.5855748632810487,29.9281077704252,668.7571857035368,0,0,1.7174859708193042,0.03783376830964611,27.541013009978524,0.11538461538461539,0,0,0,26.599954492380697,0,0.015151515151515152,0.0082659666729978,0,0.03657904254633303,118.66797658862876,0,0.021086306243822666,258.1573014300015,0,0.12802664891216559,105.07689660820006,201.06227106227107,0,0,0,0,34.14689373435772,405.5500692640693,0,211.5418222591362,0,6.6000000000000005,0,0,10.31123451656785,0,0,0,709.8603696589767,0.09144760636583257,0,0.01148911359268302,0,0.0462098754290128,0,215.49952372471256,10.426210096749827,6.633598304186539,0,0,820.0375359693171,0.8564200913242008,214.51306839243676,0.15618216017227032,0.0,3.279534893158288,3.4878059325240383,0.022286593481031573,0.01148911359268302,2.0148607248572032,0.8,4435.036963036963,0,0,0.03333333333333333,0.018289521273166513,0.22593194925880658,22.961502613631474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-31,22.756607766520936,0,0.24522019748305413,0.08784442188558526,0,0,0,0,0.08889803056578044,0,30.858368152460496,0.02222450764144511,4.9864994802494795,0,0,0,0,126.86050427347236,293.7595546837535,2.432205324104914,0.02188172516129303,29.54927536231884,0,54.42108301472069,2.3472708190399234,0,36.610849891171085,0,0,0,0,365.02651225130296,15.30161396522805,0,0,0,157.09702970757593,0.014598364598364598,0,0,0.03433780228950837,0.5498737373737373,3.7837633869083205,0,0,0,9.315025342661336,0.022444222444222443,75.39113719836611,6.042279411764706,6.007363448407263,24.04141676977309,447.0904252975765,0,0,0.9823825557158891,0.02755476675547886,20.091237211064794,1.4340659340659339,0,0,0,34.74898220153443,0,0.06526806526806526,0.026936640831092803,0,0.02188172516129303,165.14272575250834,0,0.03529969371137201,256.9012814108899,0,0.0765860380645256,66.29589000922512,207.014652014652,0,0,0,0,79.06167059542518,296.19265034582276,0,136.1506611295681,0,10.211538461538462,0,0,10.318344552697493,0,0,0,1160.0852635948527,0.05470431290323257,0,0.018603996603575555,0,0.03821471756893321,0,242.0811081333041,18.04512682580083,2.8241300123653064,0,0,773.0100526283761,0.7010203117619274,226.2394268133297,0.15557155349011575,0.0,3.328722520623887,4.461301151196719,0.04167446329039652,0.018603996603575555,2.2348474081322407,0.6,5347.95004995005,0,0,0.00078125,0.010940862580646514,0.4739998228652696,31.72630963150824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-31,20.579545347372935,0,0.434717410249728,0.0724490559884894,0,0,0,0,0.09884645716259816,0,25.153629296644002,0.02471161429064954,3.424246361746362,0,0,0,0,246.68595110213658,200.23049140294037,4.868786919415639,0.006774346362672466,36.678623188405794,0,73.01353568856536,9.283633682414852,0,40.63095989827903,0,0,0,0,660.3740186056488,15.632507048894418,0,0,0,143.60592803673785,0.11819562080431645,0,0,0.12928897864311986,0.010101010101010102,2.586226135978125,0,0,0,40.78720552541405,0.09145887406756972,54.84835066762777,7.848319327731093,3.132711038961039,33.983043133226225,575.8943203754848,0,0,1.0533269199935866,0.040055630351587816,11.267058229127196,0.11538461538461539,0,0,0,35.765688845632184,0,0.038461538461538464,0.019211517209793038,0,0.006774346362672466,138.13311036789298,0,0.01334779973714229,267.803112231953,0,0.02371021226935363,48.12131631614237,225.97069597069597,0,0,0,0,66.97960889451527,189.37956998557,0,104.99491528239203,0,8.746153846153847,0,0,9.17649896049896,0,0,0,841.1025243535111,0.016935865906681166,0,0.046593025445178425,0,0.05688198226364824,0,290.5065111081454,21.388411726806865,7.672496025437201,0,0,789.3530166550768,0.5473273500236184,210.56641891961925,0.17298130003454676,2.454545454545454,2.842902105170955,5.5161704747727915,0.05634717164536912,0.046593025445178425,5.3474544564260915,0.0,4292.794705294706,0,0,0.0022625811688311687,0.003387173181336233,0.6350538043096283,30.61041536293276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
