,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Ireland,Belize,Costa Rica,Taiwan,Chile,Estonia,Lithuania,Finland,New Zealand,Japan,Iceland,Czechia,Luxembourg,Denmark,W. Sahara,Slovenia,Vietnam,Cyprus,Eq. Guinea,Falkland Is.,Malawi,Solomon Is.,Hungary,Palestine,Fr. S. Antarctic Lands,Greece,Mongolia,Fiji,Vanuatu,N. Cyprus,Greenland,Belarus,Bahamas,Uruguay,Timor-Leste,Turkmenistan,Switzerland,Brunei,Puerto Rico,Norway,Slovakia,Bulgaria,Somaliland,Portugal,Kosovo,Gabon,South Korea,Latvia,Kazakhstan,New Caledonia,North Korea,Cuba,Suriname
2024-06-30,16.690973514822133,0,0,0.6255879614066219,0.06842045191172791,0.45454545454545453,0,0,5.1576475785709555,0,3.62834051724138,0.033205811330921736,5.84545662023576,0,0,0,0,161.55868389687114,355.54787878787874,17.651669800918746,0,53.65043978802511,0,39.443704781729764,11.254901960784313,0.047662864772358135,34.609079662189714,0.010193707364257011,0,0,0.1212834986136056,177.37154261847786,14.381767376877402,0.4279673590327556,0,0,223.5587009201326,1.9050731260536946,0,0.047662864772358135,0,0.047662864772358135,0,0.3838395169647647,0,0,31.042459550424656,3.958325469027217,54.565453599767594,4.954122216328269,17.318875762094688,48.70626518858817,90.55206765400484,0,0.010193707364257011,0.012284468213191124,0,8.60395512026523,0.41296759435385644,0,0,0,28.490246891616756,0,0.017105112977931977,0,0,0.0606417493068028,198.15793849136287,0,0,350.60290929814437,0,0.3756962203449975,37.09224099030706,150.27248576850096,0,0,0,0,93.14589141599413,455.3695974696815,0,105.29431947362983,0,2.9387496950127185,0,0.07196717551494357,24.67104605086482,0,0,0,25.904252945088437,0,0.9712166918049271,0.2425669972272112,0,0,0,30.637953228757002,3.3180551170985533,3.2687574083375184,0,0,541.8455928954234,0.020802670263054924,315.63840051457976,0,0,4.476435080593875,1.5092439324558578,0,0.10813939845366727,8.15380572570422,1.0440677966101695,3709.536037818539,0,0,1.543690807884798,0,1.8948388541993761,77.1665071427787,0,0,0.010193707364257011,0.0,0.7603705343627565,0.1212834986136056,0.062408010789164775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-31,14.997454737818497,0,0,0.6273792083032675,0.03714588133497208,0.1323529411764706,0,0,1.9433993488786547,0,3.6887931034482757,0.0660164281924491,6.79723030232013,0,0,0,0,157.13959421659564,250.88606060606062,19.548042763982693,0,50.298333738144244,0,31.956431860576185,19.16105476673428,0.018071936249008276,40.35097067715026,0.018226935975367037,0,0,0.032766673495976166,152.133420409249,7.6766503667481665,0.4517280029657019,0,0,137.3468665755846,1.3790372166601423,0,0.018071936249008276,0,0.018071936249008276,0,0.3676701368806632,0,0,18.279979917480922,2.90543958325469,49.3055245593052,4.145873255215465,19.826752513012035,34.54660871067043,2571.513801062448,0,0.018226935975367037,0.007695332351343599,0,7.720689215672258,0.13798909573937673,0,0,0,46.44920634920635,0,0.00928647033374302,0,0,0.016383336747988083,180.0985532719704,0,0,333.29180198657303,0,0.15800181011701117,28.19553994074542,366.73728020240355,0,0,0,0,75.04486510371507,615.6532097369939,0,107.83678610580958,0,7.856982322506742,0,0.027117200216911462,26.40615188828438,0,0,0,83.30004003707607,0,0.29166666666666663,0.06553334699195233,0,0,0,212.3568134351029,5.364311327013166,5.760229030637871,0,0,382.0189344284988,0.013121881422789586,221.69635081899233,0,0,5.204597257415348,1.7720060710278374,0,0.042068955114731535,7.26417655470358,2.3276836158192094,1536.5595704920388,0,0,1.5055909545227386,0,0.9328647743076895,55.89716124332181,0,0,0.018226935975367037,0.0,1.088890054039463,0.032766673495976166,0.03936564426836876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-31,16.986234361041625,0,0,1.30077913209113,0.05006241264923349,0.4264705882352941,0,0,11.25755580398909,0,5.423742816091954,0.058055773734967425,4.235955855969703,0,0,0,0,138.3607669607138,329.7842424242424,14.339298929278176,0,42.26543645100388,0,23.486456221295054,14.553752535496956,0.010293161318130078,30.462156928566092,0.009816054570214897,0,0,0.020355087240802917,218.98066050060265,10.832073794176484,0.283878625637781,0,0,164.73474125420893,0.621003020959748,0,0.010293161318130078,0,0.010293161318130078,0,0.5258503653040592,0,0,18.888818527007974,3.082405345211581,58.02696598520545,3.7359055061920023,15.843180263696276,27.592420949631574,1076.177181836277,0,0.009816054570214897,0.004216011178654459,0,10.476622021762912,0.009369383499132257,0,0,0,16.662659866769456,0,0.012515603162308372,0,0,0.010177543620401458,156.0555423252861,0,0,327.1356867211152,0,0.09188236787066409,21.543783399544882,155.32629981024667,0,0,0,0,40.77141916227573,321.9386451415041,0,111.83306940909955,0,7.381117259380201,0,0.15708217400915012,16.992133980167296,0,0,0,40.34826160520412,0,1.2708333333333335,0.04071017448160583,0,0,0,126.38090739034675,9.70651416563203,5.243720743345053,0,0,294.02761413801056,0.019255227483108567,252.54034644600682,0,0,3.87538989901603,4.131310970100646,0,0.07629703945765506,3.078419504359354,0.21080384577262362,1812.7192489648614,0,0,1.3592728092475501,0,1.2673206739459622,56.58570141550856,0,0,0.009816054570214897,0.0,0.33682953888641615,0.020355087240802917,0.0577656824493257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-30,12.439869180794936,0,0,0.9420802882629447,0.05554915137119783,0.058823529411764705,0,0,8.395575356447116,0,1.1130387931034482,0.026411085925686584,4.635198523942916,0,0,0,0,157.72236814349884,308.93696969696964,14.053045911190845,0,68.28519242132379,0,60.10915079915773,19.377281947261665,0.01808182535313399,39.66667176892612,0.010732356190285017,0,0,0.03595418460154662,252.01412198745345,11.803789731051344,0.08587148713597606,0,0,101.7672546495575,0.35503528529784373,0,0.01808182535313399,0,0.01808182535313399,0,0.31203286638051553,0,0,24.308029927913715,0.3231286097165075,53.852682941146824,4.5124257378416335,8.253917760471259,13.467828646121866,1401.2720685147428,0,0.010732356190285017,0.010209868597430647,0,8.618525818077211,0.0747271292853281,0,0,0,30.12388332114359,0,0.013887287842799457,0,0,0.01797709230077331,186.68128422302425,0,0,316.51625520557866,0,0.16175221320761704,25.075365904777673,214.8255028462998,0,0,0,0,53.79372985170858,482.56783543667734,0,101.83067981183311,0,4.15050468134698,0,0.11714756311321559,10.115025203648262,0,0,0,57.068506946576406,0,1.5073529411764706,0.07190836920309324,0,0,0,135.2776190001519,4.058246443886067,13.799120040180812,0,0,433.53131565781484,0.024134146482022868,215.02714738092095,0,0,5.339343307126222,1.7076395553870827,0,0.14837864529282527,1.7627215416884163,0.47134502923976607,2044.0610192023817,0,0,1.972229464977656,0,1.763235210588891,54.50089997750051,0,0,0.010732356190285017,0.0,0.45744616327361415,0.03595418460154662,0.07240243944606861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31,11.885546554190851,0,0,0.08241292887390891,0.05236822750572739,0.6644385026737968,0,0,8.10617899155269,0,3.040409482758621,0.02475657835531769,5.243519895238668,0,0,0,0,155.28287826247484,414.10303030303027,18.23786355386748,0,44.51543070756375,0,63.80038388407781,8.25359477124183,0.022383169306842143,40.79282793536639,0.013355060889963705,0,0,0.034725374562540365,180.91794327899572,4.948044009779951,0.15168037091114014,0,0,119.49966187879721,1.504585701782263,0,0.022383169306842143,0,0.022383169306842143,0,0.28322649958331575,0,0,6.99320509996332,0.03956060548865653,60.157040716088105,7.419024215113549,0.6002576874286009,41.156186060685215,731.2788016631712,0,0.013355060889963705,0.020895567198092355,0,6.9440827045089115,0.1343895028081519,0,0,0,20.71566150744233,0,0.013092056876431847,0,0,0.017362687281270182,206.02505875477837,0,0,323.35453069377803,0,0.30595263773304077,26.419259237712097,207.3067678684377,0,0,0,0,29.564670735231996,282.78040174134344,0,108.23782242677635,0,3.169872955891679,0,0.1131094743007352,18.80624540237316,0,0,0,55.594592104761844,0,0.125,0.06945074912508073,0,0,0,94.82950605680868,3.5153208107252256,2.426696132596685,0,0,287.07884495825584,0.012665724723809288,243.40104353193976,0,0,4.738661126884242,2.079400725506766,0,0.07299691493448739,1.049164165787091,0.6257309941520467,2301.4239511797077,0,0,0.6781812897898877,0,1.772294899815608,41.87015273980458,0,0,0.013355060889963705,0.0,1.4674546912253021,0.034725374562540365,0.03799717417142787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-30,15.475984849375738,0,0,0.6094571701376416,0.03792214562792997,0.36764705882352944,0,0,5.633807245731454,0,4.862284482758621,0.09477030040257238,0.5249846838294933,0,0,0,0,194.93321469741426,332.8569696969697,14.793833238521843,0,48.516512104186305,0,46.423273948449,11.254901960784313,0.04365618797326727,36.00465642343362,0.01445403466742377,0,0,0.05235293461183304,174.87259948378892,3.3080684596577017,0.021893982955688767,0,0,178.99019177781543,1.7725709064335498,0,0.04365618797326727,0,0.04365618797326727,0,0.43685666308045706,0,0,9.61256680790779,11.568155222528405,41.31269497840358,3.749093121962716,6.446266353225833,28.976681311446118,954.9487689525664,0,0.01445403466742377,0.004990635356940009,0,9.150161791500036,0.24537215724454925,0,0,0,28.5853354154724,0,0.009480536406982492,0,0,0.02617646730591652,248.36425646141527,0,0,318.9279725772758,0,0.1214307108613083,21.676285113996638,217.53429475015812,0,0,0,0,28.453298761644323,396.29806379474894,0,117.58747719584578,0,3.8154426808208695,0,0.07861126389392727,5.069544648451876,0,0,0,45.94263504787588,0,0.14583333333333331,0.10470586922366608,0,0,0,101.79791073327257,3.3209399341848953,3.2167272727272724,0,0,181.40417898898903,0.02174928376043194,307.18798182949126,0,0,4.111049058534485,4.222005909682798,0,0.16321946963999487,2.2617909876315325,0.3048865100604619,2518.1406130984637,0,0,0.6508774598208142,0,1.7002475098371372,48.145006724129956,0,0,0.01445403466742377,0.0,0.2888938036172702,0.05235293461183304,0.06524785128129582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
