,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Ireland,New Zealand,Fr. S. Antarctic Lands,Iceland,Denmark,Belize,Greece,New Caledonia,Luxembourg,Czechia,Fiji,Vietnam,Costa Rica,Portugal,Bulgaria,Kazakhstan,N. Cyprus,Chile,Slovenia,Turkmenistan,W. Sahara,Finland,Kosovo,Greenland,Bahamas,Brunei,Hungary,Uruguay,Cuba,Switzerland,Palestine,Mongolia,Montenegro,Suriname,Timor-Leste,Puerto Rico,Norway,Estonia,South Korea,Solomon Is.,Malawi,Gabon,Latvia,Taiwan,Cyprus,Lithuania,North Korea,Somaliland,Vanuatu,Oman,Slovakia,Japan,Falkland Is.,Eq. Guinea,Belarus
2025-09-30,40.229343,0.000000,0.023911,14.042003,0.000000,0.000000,0.000000,0.000000,0.072878,0.000000,8.382250,0.018219,11.105547,0.000000,0.000000,0.000000,0.000000,48.700502,277.281044,30.286086,1.167052,28.786161,0.000000,38.667574,10.030884,0.000000,80.696315,0.000000,0.000000,0.000000,0.000000,699.226839,4.170833,0.213274,0.000000,0.000000,283.504053,1.591023,0.000000,0.000000,0.000000,4.884339,1.986161,0.000000,0.000000,0.000000,41.650008,2.475862,72.606407,10.247210,46.147013,21.247752,1121.261301,0.000000,0.181407,0.110451,0.000000,8.886036,0.667105,0.000000,0.000000,0.059778,70.057260,0.000000,0.382099,2.481427,0.000000,0.210940,221.629932,0.000000,0.000000,351.136160,0.000000,0.262208,68.697469,223.834269,0.000000,0.064210,0.000000,0.000000,122.626442,1190.418366,0.000000,206.718378,0.000000,1.890841,0.000000,0.542311,31.204787,0.000000,0.000000,0.000000,1733.771406,0.187292,1.020939,0.000000,0.000000,0.000000,0.000000,353.250121,21.112720,30.381732,0.000000,0.000000,987.880830,0.325000,301.210000,0.127536,0.973262,6.421386,0.000000,0.498869,0.000000,0.000000,0.000000,7503.906735,0.000000,0.000000,0.000000,0.037458,0.575232,152.177085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-10-31,36.231689,0.000000,0.025599,6.752261,0.000000,0.000000,0.000000,0.000000,0.071150,0.000000,7.016286,0.017788,5.914989,0.000000,0.000000,0.000000,0.000000,59.759160,275.236383,28.099933,1.137550,27.107944,0.000000,34.055903,5.937354,0.000000,70.884408,0.000000,0.000000,0.000000,0.000000,263.093058,0.595833,0.193407,0.000000,0.000000,225.672705,0.864205,0.000000,0.000000,0.000000,1.975194,0.169565,0.000000,0.000000,0.000000,38.247145,1.120977,47.150495,12.991099,14.911996,24.148532,2366.737383,0.000000,0.064208,0.095219,0.000000,15.279435,1.120395,0.000000,0.000000,0.063998,60.714143,0.000000,0.356713,0.964309,0.000000,0.108333,284.568643,0.000000,0.000000,502.883063,0.000000,0.099031,97.878551,220.663270,0.000000,0.034553,0.000000,0.000000,89.495127,946.094165,0.000000,272.846243,0.000000,2.907656,0.000000,0.645668,16.649926,0.000000,0.000000,0.000000,576.640729,0.070736,0.485335,0.000000,0.000000,0.000000,0.000000,446.035896,21.868290,93.541042,0.000000,0.000000,1106.752924,1.625000,1432.183656,0.124513,0.315152,5.335289,0.000000,0.176571,0.000000,0.000000,0.000000,7881.186777,0.000000,0.000000,0.000000,0.014147,0.502482,52.877052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-11-30,12.413832,0.000000,0.027902,5.539523,0.000000,0.000000,0.000000,0.000000,0.213883,0.000000,6.978236,0.053471,24.208470,0.000000,0.000000,0.000000,0.000000,70.571423,355.280862,18.281500,0.548983,42.370082,0.000000,29.325644,19.195351,0.000000,116.337580,0.000000,0.000000,0.000000,0.000000,432.572576,98.014583,0.409999,0.000000,0.000000,277.374207,0.460909,0.000000,0.000000,0.000000,3.037926,1.974609,0.000000,0.000000,0.000000,44.201420,1.640661,65.249109,13.850107,63.477780,17.296446,1244.544748,0.000000,0.157946,0.036543,0.000000,16.377467,0.427632,0.000000,0.000000,0.069756,97.848189,0.000000,0.128817,2.043218,0.000000,0.260000,229.133921,0.000000,0.000000,395.042228,0.000000,0.059468,69.140843,194.201525,0.000000,0.014429,0.000000,0.000000,88.920859,1529.137732,0.000000,331.586496,0.000000,4.484174,0.000000,0.456065,30.167892,0.000000,0.000000,0.000000,390.643906,0.042477,0.506901,0.000000,0.000000,0.000000,0.000000,588.428961,20.901801,34.952216,0.000000,0.000000,1638.031466,0.325000,919.130632,0.374295,0.551515,6.431102,0.975000,0.434351,0.000000,0.000000,0.000000,5783.380076,0.000000,0.000000,0.000000,0.008495,1.159934,95.551821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-12-31,11.342780,0.000000,0.011764,7.230475,0.000000,0.000000,0.000000,0.000000,0.087821,0.000000,5.945360,0.021955,25.940393,0.000000,0.000000,0.000000,0.000000,98.486283,110.158052,18.296404,0.751364,27.896435,0.000000,33.148961,19.876325,0.000000,73.819989,0.000000,0.000000,0.000000,0.000000,763.480461,127.925417,0.380104,0.000000,0.000000,200.234034,0.629318,0.000000,0.000000,0.000000,2.691294,0.100000,0.000000,0.000000,0.000000,55.322118,0.579310,33.069720,19.605571,16.992639,17.969180,1535.507046,0.000000,0.255675,0.010885,0.000000,16.031371,0.778289,0.000000,0.000000,0.029410,77.591233,0.000000,0.089369,0.263951,0.000000,0.286098,211.981005,0.000000,0.000000,419.175977,0.000000,0.069105,65.119164,160.414152,0.000000,0.131650,0.000000,0.000000,81.312485,623.833573,0.000000,340.261124,0.000000,2.213485,0.000000,0.275857,18.527566,0.000000,0.000000,0.000000,138.807500,0.049361,0.209305,0.000000,0.000000,0.000000,0.000000,513.396952,36.839207,20.280764,0.000000,0.000000,1034.649177,0.325000,281.010294,0.153686,0.393939,3.826085,1.950000,0.703106,0.000000,0.000000,0.000000,7061.960353,0.000000,0.000000,0.000000,0.009872,0.191051,75.520270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-01-31,9.435052,0.000000,0.030426,7.473853,0.000000,0.000000,0.000000,0.000000,0.055753,0.000000,6.518418,0.013938,6.833817,0.000000,0.000000,0.000000,0.000000,104.594664,98.811585,17.481030,0.508488,37.231150,0.000000,20.007881,12.159715,0.000000,123.798171,0.000000,0.000000,0.000000,0.000000,813.809312,102.721667,0.092669,0.000000,0.000000,169.005368,1.901250,0.000000,0.000000,0.000000,2.518011,1.092857,0.000000,0.000000,0.000000,71.548356,0.627874,67.765919,11.999409,31.179898,14.700298,1539.801134,0.000000,0.100808,0.090191,0.000000,16.512953,0.307895,0.000000,0.000000,0.076065,54.822864,0.000000,0.140870,1.599094,0.000000,0.085682,271.965349,0.000000,0.000000,368.133687,0.000000,0.098657,57.863378,198.914029,0.000000,0.031346,0.000000,0.000000,72.416024,790.025380,0.000000,307.409859,0.000000,5.485697,0.000000,0.227021,14.911620,0.000000,0.000000,0.000000,143.745469,0.070469,0.366941,0.000000,0.000000,0.000000,0.000000,280.422693,27.293949,28.115370,0.000000,0.000000,1315.644069,2.600000,453.830000,0.097568,0.000000,6.620207,0.000000,0.277223,0.000000,0.000000,0.260000,7655.996826,0.000000,0.000000,0.000000,0.014094,0.749405,106.326340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-02-28,26.360105,0.000000,0.013631,4.809177,0.000000,0.000000,0.000000,0.000000,0.042701,0.000000,6.069302,0.010675,8.898515,0.000000,0.000000,0.000000,0.000000,106.139207,256.195577,20.915237,0.539031,29.826319,0.000000,17.616061,12.080062,0.000000,169.636975,0.000000,0.000000,0.000000,0.000000,675.319916,27.825417,0.050676,0.000000,0.000000,233.912314,0.682500,0.000000,0.000000,0.000000,3.400774,0.469565,0.000000,0.000000,0.000000,109.006130,2.204885,73.380817,17.403127,34.649283,22.090591,371.387441,0.000000,0.089587,0.146993,0.000000,15.976150,0.769737,0.000000,0.000000,0.034078,79.761636,0.000000,0.042437,0.083459,0.000000,0.251711,215.881087,0.000000,0.000000,377.478450,0.000000,0.174952,61.793380,188.036913,0.000000,0.031398,0.000000,0.000000,82.491932,749.188735,0.000000,385.312202,0.000000,7.088977,0.000000,0.304063,17.833793,0.000000,0.000000,0.000000,1207.054740,0.124966,0.348576,0.000000,0.000000,0.000000,0.000000,325.489827,35.073995,16.545635,0.000000,0.000000,967.546281,1.625000,375.211392,0.074728,0.338324,8.835748,0.000000,0.246365,0.000000,0.000000,0.520000,7560.449151,0.000000,0.000000,0.000000,0.024993,0.510996,69.293483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
