date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Belarus,Turkmenistan,Bulgaria,Japan,Vietnam,Puerto Rico,Ireland,Eq. Guinea,Gabon,Belize,Kosovo,Cyprus,Finland,W. Sahara,Iceland,Switzerland,Czechia,Oman,Mongolia,Solomon Is.,North Korea,Fr. S. Antarctic Lands,Estonia,Cuba,Hungary,Fiji,Timor-Leste,Uruguay,Kazakhstan,Slovenia,Lithuania,Somaliland,Malawi,Portugal,South Korea,Chile,Taiwan,Luxembourg,Brunei,New Caledonia,Falkland Is.,Palestine,Costa Rica,Bahamas,New Zealand,Greece,Vanuatu,Norway,Suriname,Montenegro,N. Cyprus,Latvia,Greenland,Slovakia,Denmark
2025-11-30,12.717082,0.000000,0.599271,6.205692,0.090000,0.000000,0.000000,0.000000,0.028302,0.000000,5.293139,0.007075,16.433024,0.000000,0.000000,0.000000,0.000000,52.773768,197.526319,11.450529,0.574167,22.239468,0.000000,27.018818,7.062249,0.000000,28.126743,0.000000,0.000000,0.000000,0.000000,424.930985,32.196803,0.450863,0.000000,0.000000,172.158043,0.725455,0.000000,0.000000,0.000000,6.485493,1.020621,0.023902,0.000000,0.000000,29.400018,0.194444,42.819420,18.816300,35.048483,6.624932,1433.349501,0.000000,0.626578,0.339366,0.000000,2.477605,0.962500,0.000000,0.000000,0.048652,17.784588,0.000000,0.194128,0.635338,0.000000,0.118400,121.114913,0.023902,0.000000,176.205556,0.000000,0.541561,24.690039,99.117673,0.000000,0.012904,0.000000,0.000000,62.669250,518.174151,0.000000,304.775366,0.000000,0.887770,0.000000,0.324286,8.202399,0.000000,0.040284,0.000000,142.620130,0.046205,0.350933,0.000000,0.000000,0.000000,0.000000,203.716552,21.820307,3.424107,0.000000,0.000000,638.078095,0.695455,385.716959,0.049528,0.465242,2.311693,0.644000,0.699196,0.000000,0.047805,1.239583,4793.358937,0.000000,0.000000,0.026856,0.009241,5.060695,86.828493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2025-12-31,77.550407,0.000000,0.646123,7.046221,0.000000,0.000000,0.000000,0.000000,0.012242,0.000000,3.860558,0.003061,14.372506,0.000000,0.000000,0.000000,0.000000,22.613611,112.508966,10.201648,0.799790,26.989377,0.000000,21.988115,8.028589,0.000000,28.750381,0.000000,0.000000,0.000000,0.000000,245.156712,14.624978,0.229474,0.000000,0.000000,188.580614,0.334091,0.000000,0.000000,0.000000,3.231654,0.987513,0.005115,0.000000,0.000000,25.145165,1.172939,23.887721,17.216361,11.205237,7.498970,850.677869,0.000000,0.943150,0.900830,0.000000,3.081807,0.350000,0.000000,0.000000,0.030244,17.624207,0.000000,0.103137,0.000000,0.000000,0.061400,162.194559,0.005115,0.000000,176.205556,0.000000,0.413970,16.965871,68.044462,0.000000,0.015502,0.000000,0.000000,67.012605,677.446314,0.000000,329.962521,0.000000,0.806856,0.000000,0.329283,6.561178,0.000000,0.021786,0.000000,50.214496,0.014277,0.389977,0.000000,0.000000,0.000000,0.000000,196.417495,35.824192,5.233114,0.000000,0.000000,303.991648,0.395455,358.251546,0.021424,0.046471,0.935944,1.685854,0.479239,0.000000,0.010230,0.000000,4861.980080,0.000000,0.000000,0.014524,0.002855,4.520203,78.251385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-01-31,43.600293,0.000000,0.548738,2.644791,0.022500,0.000000,0.000000,0.000000,0.015345,0.000000,3.071796,0.003836,30.558954,0.000000,0.000000,0.000000,0.000000,20.141327,197.985424,9.224156,0.392393,23.039388,0.000000,21.619372,18.228229,0.000000,26.485147,0.000000,0.000000,0.000000,0.000000,388.881075,18.946184,0.198162,0.000000,0.000000,229.374651,0.379432,0.000000,0.000000,0.000000,1.076928,1.171518,0.002345,0.000000,0.000000,19.494161,1.781362,30.554159,10.862248,6.656000,4.176686,1286.527339,0.000000,0.893998,0.419834,0.000000,7.269101,0.437500,0.000000,0.000000,0.021979,18.340769,0.000000,0.187534,0.079406,0.000000,0.001909,115.793352,0.002345,0.000000,185.811111,0.000000,0.285021,24.718140,75.898607,0.000000,0.007721,0.000000,0.000000,33.260102,403.723618,0.000000,238.473424,0.000000,1.562909,0.000000,0.118957,8.400769,0.000000,0.044365,0.000000,45.508500,0.050292,0.227678,0.000000,0.000000,0.000000,0.000000,219.268164,18.063538,18.278178,0.000000,0.000000,971.433115,0.300000,204.430993,0.026855,0.161393,1.218720,0.558857,0.483563,0.000000,0.004691,0.437500,4825.914359,0.000000,0.000000,0.029577,0.010058,4.354350,77.647185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-02-28,11.375634,0.000000,0.250393,2.389707,0.422161,0.000000,0.000000,0.000000,0.128315,0.000000,2.965876,0.032079,8.065740,0.000000,0.000000,0.000000,0.000000,32.703996,156.701962,12.173434,0.508401,20.803571,0.000000,18.413025,9.688012,0.000000,31.938596,0.000000,0.000000,0.000000,0.000000,649.967233,0.000000,0.221607,0.000000,0.000000,121.701387,0.470114,0.000000,0.000000,0.000000,4.886913,0.497895,0.008097,0.000000,0.000000,21.420096,3.042115,25.860226,13.747993,19.816807,7.684046,1021.071922,0.000000,0.425315,0.676845,0.000000,10.074470,0.525000,0.000000,0.000000,0.100653,19.157822,0.000000,0.211954,0.074952,0.000000,0.129562,224.891744,0.008097,0.000000,206.434804,0.000000,0.214993,22.396613,75.257001,0.000000,0.011244,0.000000,0.000000,52.171455,594.386724,0.000000,249.012657,0.000000,0.997187,0.000000,0.107449,7.277614,0.000000,0.065751,0.000000,43.952349,0.036241,0.268288,0.000000,0.000000,0.000000,0.000000,179.193528,22.207014,26.498083,0.000000,0.000000,1213.896121,0.340909,498.318806,0.224550,0.000000,0.000000,0.855429,1.668311,0.000000,0.016194,0.525000,4839.379828,0.000000,0.000000,0.043834,0.007248,2.951538,59.449644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-31,19.619184,0.000000,0.315227,1.622114,0.439091,0.000000,0.000000,0.000000,0.036566,0.000000,7.018318,0.009142,3.133936,0.000000,0.000000,0.000000,0.000000,38.167650,142.359363,8.401341,0.574761,20.738784,0.000000,31.437835,5.564539,0.000000,30.230066,0.000000,0.000000,0.000000,0.000000,337.114262,13.327326,0.091337,0.000000,0.000000,126.132899,0.105000,0.000000,0.000000,0.000000,4.143881,0.064306,0.012690,0.000000,0.000000,29.191503,0.000000,33.157889,6.201554,11.263389,8.218106,344.417205,0.000000,0.400681,0.891674,0.000000,7.075553,0.700000,0.000000,0.000000,0.047348,16.283884,0.000000,0.055448,0.419086,0.000000,0.119552,131.069468,0.012690,0.000000,185.811111,0.000000,0.343947,27.977444,124.437468,0.000000,0.019745,0.000000,0.000000,24.966652,500.174395,0.000000,224.199888,0.000000,0.797159,0.000000,0.123101,9.216593,0.000000,0.071125,0.000000,69.301913,0.126544,0.231141,0.000000,0.000000,0.000000,0.000000,140.057768,40.625072,51.828283,0.000000,0.000000,856.176451,0.531818,293.702471,0.063991,0.211816,2.320567,0.737661,0.920319,0.000000,0.025380,0.350000,4986.138107,0.000000,0.000000,0.047417,0.025309,0.604338,120.811645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-04-30,41.694288,0.000000,0.381873,3.364536,0.194318,0.000000,0.000000,0.000000,0.026162,0.000000,0.934605,0.006540,12.797435,0.000000,0.000000,0.000000,0.000000,37.850835,179.081882,3.023705,0.487619,20.880979,0.000000,16.215593,7.177159,0.000000,31.718232,0.000000,0.000000,0.000000,0.000000,294.804986,0.000000,0.040573,0.000000,0.000000,137.955963,1.023750,0.000000,0.000000,0.000000,3.197265,1.457393,0.011807,0.000000,0.000000,31.307311,0.000000,26.876237,17.496688,8.891648,8.795251,422.447521,0.000000,0.358250,0.991184,0.000000,4.605485,0.175000,0.000000,0.000000,0.043677,16.517972,0.000000,0.181487,0.099257,0.000000,0.160364,98.485308,0.011807,0.000000,194.569118,0.000000,0.920168,24.198008,72.644643,0.000000,0.024866,0.000000,0.000000,65.165377,382.056757,0.000000,219.242627,0.000000,0.672062,0.000000,0.112193,7.201745,0.000000,0.062052,0.000000,68.273271,0.054646,0.109083,0.000000,0.000000,0.000000,0.000000,201.986007,36.693333,24.082773,0.000000,0.000000,839.475286,0.668182,120.732838,0.045783,0.000000,11.608884,0.315143,1.229225,0.000000,0.023615,0.000000,4677.715551,0.000000,0.000000,0.041368,0.010929,3.386289,79.879937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
