date,Unnamed: 0,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Zambia,Ireland,Denmark,Kosovo
2024-08,0.000000,392.430350,0.000000,0.454790,0.163333,5.502007,9.438465,0.869589,0.000000,58.160628,0.000000,8.923009,2.185341,2.232729,0.000000,0.718162,0.546335,0.000000,247.463445,930.642885,261.578818,0.000000,74.592103,0.718162,16.056636,1.286728,85.191792,1.247862,19.944291,0.000000,1.105233,13.283693,0.904279,0.000000,0.306124,231.868341,0.741848,0.291332,0.902704,0.000000,7.428374,2.514879,6.563572,0.000000,0.000000,27.862757,0.533371,107.856418,10.620546,20.087778,62.130545,1323.612523,0.000000,0.417308,0.873996,58.355334,0.000000,18.421548,0.000000,68.639859,0.000000,0.442426,0.020327,0.366481,261.969021,0.000000,1.659367,667.664484,0.000000,0.340456,41.710389,0.375449,0.375449,0.000000,0.000000,87.208495,628.994211,226.525123,0.000000,14.193811,0.000000,0.060265,26.139187,0.747771,0.000000,0.000000,0.077778,1.465681,5.961667,9.972462,0.000000,201.952096,1.808541,0.891975,0.415519,1046.452105,0.421414,224.542839,27.050058,4.523974,10.144393,6.818184,0.000000,0.172083,4.720814,10.319042,5287.080526,0.000000,1.341591,41.848507,0.000000,0.426058,0.000000,0.404497,0.437413,1.730920
2024-09,0.700000,38.680533,0.000000,1.211389,0.320786,3.601957,5.146323,0.386605,0.000000,2.745909,0.000000,3.462475,3.399076,6.192513,0.000000,0.629458,0.849769,0.000000,448.663609,545.294864,126.776387,0.000000,57.919082,0.629458,13.090066,1.501043,205.234352,0.174094,23.266163,0.000000,0.998931,-2.068889,0.585875,0.000000,0.263410,263.723184,2.067671,0.116410,0.184144,0.000000,1.026015,8.617297,6.831657,0.000000,0.000000,60.880145,3.448847,63.982862,7.326735,14.922727,44.230565,3137.312408,0.000000,0.164330,0.349231,37.769442,0.000000,33.934537,0.000000,49.097945,0.000000,0.163593,1.882335,0.045098,234.942724,0.000000,5.883048,453.100981,0.000000,0.492080,29.728175,0.042911,0.042911,0.000000,0.000000,169.638280,611.146968,219.623744,0.000000,5.075883,0.000000,0.060853,26.343249,0.090307,0.000000,0.000000,0.388889,1.084282,0.000000,2.987272,0.000000,308.406033,3.035100,0.250320,0.124470,830.542378,0.269850,300.006514,3.423461,0.528150,27.169545,20.427142,0.000000,1.210417,7.219813,72.074123,5633.202863,0.000000,0.374469,0.632331,0.000000,1.887760,0.000000,0.127069,0.107629,0.425625
2024-10,1.400000,19.793919,0.000000,0.517222,872.200000,1.433461,7.820490,0.338592,0.000000,7.017323,0.000000,12.227090,0.408773,2.639658,0.000000,0.784454,0.102193,0.000000,305.125718,954.764447,23.488212,0.000000,57.097000,0.784454,9.612392,0.607728,118.450948,0.470144,9.419783,0.000000,0.510521,9.944747,0.869147,0.000000,0.213411,309.586756,1.971688,0.156834,0.465722,0.000000,2.059586,2.675798,13.998712,0.000000,0.000000,64.126912,0.248731,110.213180,12.149097,16.763843,68.063482,8668.849993,0.000000,0.121154,0.470503,25.678913,0.000000,11.254112,0.000000,43.018319,0.000000,0.028000,0.726679,0.125870,258.075786,0.000000,1.464461,401.125052,0.000000,1.901456,25.669738,0.124922,0.124922,0.000000,0.000000,146.955376,549.790588,219.264571,0.000000,9.385274,0.000000,6.108726,50.278868,0.254320,0.000000,0.000000,0.933333,1.043983,0.011667,4.047273,0.000000,365.853670,3.476257,0.346862,0.168636,481.075820,0.300472,279.349564,10.858942,0.556621,6.985689,57.326913,0.000000,0.087500,3.705920,35.029697,5642.269250,0.000000,0.517919,1.798462,0.000000,1.109950,0.000000,0.212933,0.170713,0.675093
2024-11,2.100000,30.553993,0.000000,0.165278,0.502564,2.372688,3.137649,0.667349,0.000000,1.830606,0.000000,6.966137,3.346087,2.441630,0.000000,0.436178,0.836522,0.000000,309.597372,246.579338,2.843100,0.000000,87.516066,0.436178,7.704270,1.262526,121.267668,0.858114,19.569151,0.000000,0.326844,7.333667,1.030497,0.000000,0.141597,244.706584,1.243978,0.189603,1.172568,0.000000,0.094648,2.804403,1.280009,0.000000,0.000000,32.610782,12.836370,95.586218,13.312535,0.583768,64.336925,2278.233879,0.000000,0.652885,0.568808,90.084557,0.000000,15.193160,0.000000,39.805254,0.000000,0.012833,0.020327,0.091305,789.760538,0.000000,2.354098,480.300104,0.000000,0.764470,28.582459,0.082555,0.082555,0.000000,0.000000,83.189677,847.694572,197.119078,0.000000,1.389706,0.000000,0.681412,43.122979,0.176194,0.000000,0.000000,0.000000,1.958605,0.000000,2.151037,0.000000,308.279663,2.905478,0.181347,0.089627,657.778713,0.096096,255.109781,6.444725,0.216838,5.156127,36.722556,0.000000,0.267647,3.850448,6.635152,6085.416029,0.000000,0.275431,0.000000,0.000000,3.476446,0.000000,0.160415,0.089631,0.354450
2024-12,2.800000,29.691298,0.000000,0.038889,36.454610,8.877453,4.321662,0.803373,0.000000,1.830606,0.000000,5.580568,1.465041,4.830385,0.000000,0.254230,0.366260,0.000000,285.657534,383.130231,10.730339,0.000000,59.358106,0.254230,12.778973,3.691597,116.983680,0.805887,57.219759,0.000000,1.003696,5.308333,1.578957,0.000000,0.707357,334.416052,1.209537,0.291523,0.602209,0.000000,0.240795,1.536116,1.445066,0.000000,0.000000,32.792683,68.081446,93.913675,11.948014,0.000000,57.596883,7203.314286,0.000000,0.228846,0.874570,40.536485,0.000000,19.641868,0.000000,26.847919,0.000000,1.141583,0.706352,0.227470,271.159196,0.000000,2.064536,369.985559,0.000000,0.224909,27.179707,0.238408,0.238408,0.000000,0.000000,133.707957,970.074537,220.127287,0.000000,33.206656,0.000000,0.390198,71.527479,0.475649,0.000000,0.000000,0.077778,1.759491,0.186667,1.899977,0.000000,507.378681,1.736099,0.129827,0.079166,326.817427,0.073181,294.108802,6.177387,0.446817,8.192401,15.059283,0.000000,0.014583,5.324370,2.146667,5458.121110,0.000000,0.192758,0.537015,0.000000,3.346073,0.000000,0.142516,0.080903,0.318220
2025-01,3.500000,45.647270,0.000000,0.077778,9.087589,10.180080,3.199756,0.250276,0.000000,2.135707,0.000000,3.752223,3.047844,9.498745,0.000000,1.399377,0.761961,0.000000,258.224037,660.768657,76.241789,0.000000,86.583291,1.399377,7.747390,4.279532,76.824988,0.687323,66.332743,0.000000,0.233862,8.509291,2.245540,0.000000,0.101070,274.013116,1.622284,0.106869,0.253238,0.000000,2.150986,2.301465,1.169311,0.000000,0.000000,82.458237,29.483977,264.713435,9.180548,50.726979,38.255691,6621.213933,0.000000,1.646795,0.320606,23.075861,0.000000,7.195006,0.000000,35.909477,0.000000,0.279417,2.811434,0.903797,240.636313,0.000000,2.478894,300.259696,0.000000,0.261926,53.997369,0.913277,0.913277,0.000000,0.000000,121.260108,1091.582918,212.814373,0.000000,2.127810,0.000000,0.167301,41.363578,1.809345,0.000000,0.000000,0.077778,0.657911,1.073333,3.132287,0.000000,593.871179,2.236595,0.358992,0.130512,302.664843,0.322383,147.157639,168.817718,0.294769,5.038739,9.910933,0.000000,0.058333,4.953329,10.538182,7033.406077,0.000000,0.537113,0.140000,0.000000,0.599388,0.000000,0.244080,0.132174,0.523838
