date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Japan,Costa Rica,Kosovo,New Zealand,Greenland,Belize,Finland,Portugal,Cuba,Norway,Denmark,South Korea,Czechia,Greece,Eq. Guinea,N. Cyprus,Solomon Is.,Switzerland,Mongolia,North Korea,Estonia,Uruguay,Fiji,Fr. S. Antarctic Lands,Falkland Is.,New Caledonia,Latvia,Bahamas,W. Sahara,Taiwan,Iceland,Suriname,Lithuania,Belarus,Oman,Slovakia,Somaliland,Malawi,Timor-Leste,Bulgaria,Puerto Rico,Brunei,Cyprus,Kazakhstan,Montenegro,Turkmenistan,Palestine,Vietnam,Chile,Slovenia,Gabon,Ireland,Hungary,Vanuatu,Luxembourg
2025-12-31,5.929336,0.000000,0.568467,7.395955,3.105045,0.000000,0.000000,0.000000,0.021097,0.000000,3.546174,0.005274,5.092312,0.000000,0.000000,0.000000,0.000000,17.576502,256.610014,9.652653,0.356747,20.428818,0.000000,16.314907,14.040727,0.000000,47.762820,0.000000,0.000000,0.000000,0.000000,211.679955,7.602144,0.392055,0.000000,0.000000,106.913674,0.316346,0.000000,0.000000,0.000000,1.407856,1.020621,0.026716,0.000000,0.000000,29.168644,0.838419,37.687938,10.446007,36.030897,8.473641,438.020694,0.000000,1.129355,0.285568,0.000000,3.825835,1.050000,0.000000,0.000000,0.026339,21.730742,0.000000,0.151787,0.533723,0.000000,0.070417,114.363820,0.026716,0.000000,238.001937,0.000000,0.080147,26.695109,125.125972,0.000000,0.041380,0.000000,0.000000,34.526961,560.227532,0.000000,198.750169,0.000000,0.812021,0.000000,0.363484,7.498429,0.000000,0.177084,0.000000,92.627380,0.000000,0.294787,0.000000,0.000000,0.000000,0.000000,154.457131,17.930142,37.000188,0.000000,0.000000,531.945295,1.277867,260.259619,0.036920,0.159493,3.332827,0.248017,3.084699,0.000000,0.053431,3.871362,5366.538337,0.000000,0.000000,0.118056,0.000000,6.102210,91.272949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-01-31,21.128228,0.000000,0.138812,5.654298,0.394348,0.000000,0.000000,0.000000,0.038830,0.000000,2.703402,0.009707,3.577196,0.000000,0.000000,0.000000,0.000000,14.076194,178.249367,5.350561,0.104350,23.509121,0.000000,25.770984,38.985277,0.000000,43.641733,0.000000,0.000000,0.000000,0.000000,198.753467,7.650530,0.218274,0.000000,0.000000,113.441976,0.612500,0.000000,0.000000,0.000000,2.936595,0.987513,0.005633,0.000000,0.000000,16.374200,0.510294,33.565615,1.017096,10.682041,3.588023,190.596375,0.000000,0.239061,0.489972,0.000000,7.052763,0.350000,0.000000,0.000000,0.046652,19.530391,0.000000,0.017173,0.090315,0.000000,0.110294,134.659918,0.005633,0.000000,190.162599,0.000000,0.016899,52.206220,111.899662,0.000000,0.014997,0.000000,0.000000,66.890877,522.809579,0.000000,259.354414,0.000000,3.204578,0.000000,0.298040,7.894571,0.000000,0.049334,0.000000,50.012471,0.000000,0.136336,0.000000,0.000000,0.000000,0.000000,202.414295,31.511442,20.178795,0.000000,0.000000,455.548967,0.475912,102.448274,0.067952,0.345139,0.481906,0.399471,3.757968,0.000000,0.011266,1.701809,3785.715100,0.000000,0.000000,0.032889,0.000000,2.630473,63.404192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-02-28,8.276377,0.000000,0.114120,3.443089,0.508531,0.000000,0.000000,0.000000,0.041797,0.000000,4.026034,0.010449,6.226888,0.000000,0.000000,0.000000,0.000000,14.502446,126.398364,5.946031,0.070035,16.933677,0.000000,13.550156,0.000000,0.000000,45.890127,0.000000,0.000000,0.000000,0.000000,282.061324,10.544021,0.086545,0.000000,0.000000,153.992718,0.141346,0.000000,0.000000,0.000000,0.884413,1.171518,0.004179,0.000000,0.000000,12.284934,0.266354,27.520886,2.556842,17.210495,7.079093,178.708340,0.000000,0.165953,0.535339,0.000000,7.545297,0.350000,0.000000,0.000000,0.031161,18.845246,0.000000,0.000000,0.612957,0.000000,0.030000,119.474409,0.004179,0.000000,191.400273,0.000000,0.012537,23.602778,81.801737,0.000000,0.008369,0.000000,0.000000,33.809039,575.411095,0.000000,203.603831,0.000000,1.659166,0.000000,0.149013,6.507476,0.000000,0.021476,0.000000,54.529396,0.000000,0.127209,0.000000,0.000000,0.000000,0.000000,131.295313,20.304192,4.370278,0.000000,0.000000,591.843364,0.834215,164.401679,0.073145,0.000000,0.360998,0.160411,0.687610,0.000000,0.008358,3.522024,3413.742885,0.000000,0.000000,0.014317,0.000000,2.777929,105.876576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-03-31,8.283901,0.000000,0.037867,2.650643,0.526490,0.000000,0.000000,0.000000,0.030037,0.000000,4.005384,0.007509,2.607354,0.000000,0.000000,0.000000,0.000000,20.139772,177.989523,9.668199,0.076900,17.464902,0.000000,16.380447,20.246895,0.000000,40.131094,0.000000,0.000000,0.000000,0.000000,294.185005,9.573805,0.254113,0.000000,0.000000,119.429582,0.525000,0.000000,0.000000,0.000000,1.889929,0.497895,0.003204,0.000000,0.000000,3.610734,0.080912,37.433080,5.191434,18.879318,7.584844,778.778056,0.000000,0.386032,0.142400,0.000000,3.747060,0.525000,0.000000,0.000000,0.052934,15.677870,0.000000,0.114933,0.258171,0.000000,0.190326,124.846118,0.003204,0.000000,167.781029,0.000000,0.009613,172.973007,88.983322,0.000000,0.019582,0.000000,0.000000,45.193088,421.623904,0.000000,183.031761,0.000000,2.193519,0.000000,0.061451,8.876519,0.000000,0.078581,0.000000,51.677662,0.000000,0.195895,0.000000,0.000000,0.000000,0.000000,165.806123,29.622485,6.237665,0.000000,0.000000,631.460257,0.303859,93.282592,0.052565,0.085573,0.000000,0.166287,0.291460,0.000000,0.006409,2.916869,3496.200096,0.000000,0.000000,0.052387,0.000000,4.258054,127.017262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-04-30,12.044435,0.000000,0.125987,1.732532,0.891394,0.000000,0.000000,0.000000,0.061516,0.000000,3.902445,0.015379,3.000186,0.000000,0.000000,0.000000,0.000000,17.616739,157.940236,5.445241,0.109071,17.916230,0.000000,10.975472,8.413878,0.000000,35.287771,0.000000,0.000000,0.000000,0.000000,182.107461,9.345129,0.091020,0.000000,0.000000,110.476339,1.093750,0.000000,0.000000,0.000000,9.751185,0.064306,0.010992,0.000000,0.000000,11.696328,0.079053,33.435776,8.676760,14.135505,4.836397,779.773245,0.000000,0.017033,0.214447,0.000000,3.410831,1.575000,0.000000,0.000000,0.015390,20.387177,0.000000,0.000000,0.133196,0.000000,0.381356,176.126427,0.010992,0.000000,164.199583,0.000000,0.032977,68.494807,94.206680,0.000000,0.021476,0.000000,0.000000,52.407870,459.117488,0.000000,196.221503,0.000000,4.722240,0.000000,0.161324,12.454277,0.000000,0.077585,0.000000,51.034215,0.000000,0.127914,0.000000,0.000000,0.000000,0.000000,229.222505,20.638781,0.000000,0.000000,0.000000,824.078008,0.382983,264.410342,0.107653,0.313139,3.693445,0.280534,0.353115,0.000000,0.021984,1.743091,3797.208560,0.000000,0.000000,0.051724,0.000000,6.714554,81.639931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-31,20.814216,0.000000,0.234903,2.892592,2.197514,0.000000,0.000000,0.000000,0.038331,0.000000,1.959207,0.009583,12.853357,0.000000,0.000000,0.000000,0.000000,21.829506,214.727586,7.990964,0.157417,15.846478,0.000000,21.609875,17.362970,0.000000,53.486411,0.000000,0.000000,0.000000,0.000000,199.231888,9.848481,0.089351,0.000000,0.000000,123.145064,0.622596,0.000000,0.000000,0.000000,0.640881,1.457393,0.012428,0.000000,0.000000,20.835217,0.010606,31.718023,15.495408,8.167266,4.746456,613.270631,0.000000,0.004764,0.218736,0.000000,2.780588,0.175000,0.000000,0.000000,0.050391,19.237926,0.000000,0.000000,0.156671,0.000000,0.016667,112.666823,0.012428,0.000000,182.929599,0.000000,0.037283,32.263285,123.866767,0.000000,0.023448,0.000000,0.000000,22.654474,443.597774,0.000000,175.981462,0.000000,1.668209,0.000000,0.146444,14.449044,0.000000,0.102617,0.000000,42.475966,0.000000,0.181659,0.000000,0.000000,0.000000,0.000000,403.988593,31.148377,15.616450,0.000000,0.000000,708.038221,0.272435,145.488620,0.067078,0.063064,12.251333,0.167987,0.331042,0.000000,0.024855,2.101533,3973.809085,0.000000,0.000000,0.068411,0.000000,5.499487,66.963897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
