date,Unnamed: 0,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Zambia,Ireland
2025-12,0.000000,26.099620,0.000000,3.085915,4.473333,3.996512,0.466667,0.000000,0.000000,4.837508,0.000000,383.179338,1.209377,11.964286,0.000000,0.000000,0.000000,0.000000,31.265842,227.900040,7.687966,0.623137,31.942770,0.000000,41.865204,38.582991,54.516305,1.127522,0.000000,0.000000,0.617894,22.835808,0.001413,0.000000,0.000000,162.913489,1.395335,0.305910,0.000000,1.857562,4.798834,1.220175,0.252495,0.000000,0.000000,56.156126,1.411683,38.846401,6.683074,224.677043,16.372122,733.299990,0.000000,0.049642,0.746667,11.676692,0.000000,0.000000,0.591119,47.637634,0.000000,0.210631,2.269310,0.767413,130.414052,0.379098,0.598462,266.257479,0.000000,1.210542,53.914659,0.000000,0.869880,0.000000,0.000000,119.437217,539.948558,184.464252,0.000000,13.500000,0.000000,0.183750,10.424226,0.000000,2.484322,0.000000,0.502884,0.032958,1.403326,0.958489,0.000000,107.652601,29.426764,0.000000,0.000000,377.822228,0.374651,108.445117,2.648351,0.408230,1.737179,3.189375,18.258791,0.000000,0.603970,2.913173,5788.687253,0.000000,0.000000,0.410975,0.380315,3.895152,0.000000,0.496984
2026-01,0.700000,49.872792,0.000000,9.704898,6.918841,2.416628,0.000000,0.000000,0.000000,3.388148,0.000000,18.034471,0.847037,11.379365,0.000000,0.000000,0.000000,0.000000,29.283045,302.865059,4.583608,0.045000,69.646485,0.000000,41.870898,31.661692,75.855284,1.027928,0.000000,0.000000,0.310329,13.536677,0.000236,0.000000,0.000000,271.303565,0.300192,0.152861,0.000000,0.901804,5.474842,0.777602,0.068964,0.000000,0.000000,72.389082,1.024063,57.327797,6.816115,162.092175,45.337402,757.239722,0.000000,0.145833,0.311111,35.644263,0.000000,0.000000,0.107555,25.355054,0.000000,0.211767,0.000000,0.239401,100.263820,0.070402,0.000000,212.766796,0.000000,0.023571,15.784743,0.000000,0.135510,0.000000,0.000000,88.984478,510.783753,256.292090,0.000000,37.125000,0.000000,0.036842,8.765549,0.000000,0.265420,0.000000,0.400976,0.295337,0.484986,0.358724,0.000000,225.613333,13.302461,0.000000,0.000000,309.774011,0.780940,224.894632,0.737409,5.080139,1.125292,0.478558,0.047264,0.000000,0.329850,2.344615,9300.247040,0.000000,0.000000,0.255802,0.180143,3.060734,0.000000,0.104628
2026-02,1.400000,14.327778,0.000000,6.830680,6.013333,6.566686,0.155556,0.000000,0.000000,1.503468,0.000000,1.553683,0.375867,3.084127,0.000000,0.000000,0.000000,0.000000,53.441575,320.805937,24.472304,0.115000,38.594865,0.000000,32.603694,6.098266,67.664926,0.350213,0.000000,0.000000,0.394234,9.724099,0.000000,0.000000,0.000000,232.028542,1.490934,0.194720,0.000000,1.173648,2.078079,2.345566,0.143945,0.000000,0.000000,108.285489,0.436919,36.944360,10.870621,11.950180,63.265129,407.315057,0.000000,0.602916,3.500000,6.062279,0.000000,0.000000,0.244142,31.544659,0.000000,0.206460,0.383927,1.415312,186.464942,0.079114,0.000000,623.843923,0.000000,0.068750,62.160801,0.000000,0.118425,0.000000,0.000000,109.301608,619.829760,199.362369,0.000000,4.973684,0.000000,0.985833,8.948998,0.000000,4.583708,0.000000,0.017291,0.643090,0.991418,0.169933,0.000000,151.685264,7.265748,0.000000,0.000000,340.598789,0.778032,718.472852,0.868799,0.884852,3.789170,1.239808,0.091667,0.000000,0.726998,2.626731,6244.420140,0.000000,0.000000,0.061039,0.139063,1.564170,0.000000,0.057231
2026-03,2.100000,42.586574,0.000000,3.002344,10.290580,7.155058,0.155556,0.000000,0.000000,2.248522,0.000000,981.556932,0.562130,7.533069,0.000000,0.000000,0.000000,0.000000,50.869057,308.438967,4.387166,0.030000,24.688105,0.000000,73.234580,35.999785,90.273386,0.724784,0.000000,0.000000,0.096450,4.278224,0.000236,0.000000,0.000000,213.780199,0.026923,0.050611,0.000000,0.287840,2.693056,0.757427,0.269309,0.000000,0.000000,59.091834,3.514913,44.248388,14.963538,107.225219,22.828548,865.744332,0.000000,0.291667,6.237778,15.506081,0.000000,0.000000,1.622111,241.991254,0.000000,0.475390,0.402730,0.042196,129.317912,0.063793,0.256250,393.236515,0.000000,0.034375,46.247524,0.000000,0.047688,0.000000,0.000000,93.733069,477.367988,189.027336,0.000000,0.000000,0.000000,0.000000,8.144535,0.000000,0.372188,0.000000,0.039414,0.339989,0.481400,0.090445,0.000000,200.136738,12.334739,0.000000,0.000000,390.852604,0.295993,200.138153,0.486628,0.681563,1.739862,5.775000,7.333333,0.000000,0.329021,6.827692,6553.732047,0.000000,0.000000,0.304675,0.022420,2.883544,0.000000,0.143900
2026-04,2.800000,62.353282,0.000000,1.132031,15.253333,6.759070,0.000000,0.000000,0.000000,6.609122,0.000000,17.385246,1.652280,1.488889,0.000000,0.000000,0.000000,0.000000,45.346450,274.550120,3.543243,0.030000,26.910821,0.000000,14.096475,77.370633,72.149934,0.487544,0.000000,0.000000,1.645611,8.465541,0.000000,0.000000,0.000000,184.406083,0.578846,0.815872,0.000000,4.893043,1.143446,1.008417,0.278340,0.000000,0.000000,31.034487,5.130711,27.140002,14.763165,47.123848,15.465626,731.709425,0.000000,0.947917,3.500000,6.088640,0.000000,0.000000,0.483267,846.406254,0.000000,1.308092,0.068056,0.153811,109.461006,0.081947,0.825000,249.734597,0.000000,0.157143,84.488208,0.000000,0.448792,0.000000,0.000000,471.575172,367.726356,148.550355,0.000000,0.000000,0.000000,0.508421,5.561938,0.000000,0.167521,0.000000,0.110521,0.067308,0.437866,0.188108,0.000000,135.652255,50.075091,0.000000,0.000000,588.209551,0.455915,84.624945,0.594624,0.715459,2.557295,0.958125,1.203002,0.000000,0.362509,2.863269,7591.741095,0.000000,0.000000,2.604493,0.077643,3.673677,0.000000,0.059059
2026-05,3.500000,29.847911,0.000000,1.055966,0.247101,14.116047,0.513333,0.000000,0.000000,10.055031,0.000000,0.000000,2.513758,0.531746,0.000000,0.000000,0.000000,0.000000,32.825821,395.207283,29.962064,0.035000,26.420769,0.000000,34.084629,99.585447,77.642360,0.758224,0.000000,0.000000,0.278727,13.118162,0.000000,0.000000,0.000000,172.619128,0.766044,0.138295,0.000000,0.828766,3.655113,0.958148,0.248918,0.000000,0.000000,42.660453,0.740568,33.128826,12.001393,115.730369,14.021555,1287.559059,0.000000,0.409617,2.216667,11.383928,0.000000,0.000000,0.930675,10708.924032,0.000000,0.556281,1.271278,0.078860,163.125766,0.119970,0.000000,188.625811,0.000000,6.266207,69.471739,0.000000,2.040638,0.000000,0.000000,107.012231,498.768147,261.944424,0.000000,0.000000,0.000000,0.000000,6.785742,0.000000,1.767634,0.000000,0.054926,0.279701,0.093234,0.194825,0.000000,118.584639,17.723336,0.000000,0.000000,908.814935,0.226185,691.540824,0.568520,0.750919,8.779167,0.403846,1.505952,0.000000,0.474508,6.703846,5235.736610,0.000000,0.000000,0.071928,0.061555,1.804256,0.000000,0.080906
2026-06,4.200000,18.793216,0.000000,2.165625,1.512899,10.843953,0.000000,0.000000,0.000000,11.417965,0.000000,0.000000,2.854491,7.373545,0.000000,0.000000,0.000000,0.000000,54.362759,345.974912,64.542879,0.565000,23.694977,0.000000,19.488830,131.050249,75.193965,1.880151,0.000000,0.000000,0.166602,51.982085,0.000000,0.000000,0.000000,187.846552,0.419322,0.082018,0.000000,0.495172,0.923192,0.916416,0.597170,0.000000,0.000000,35.659355,0.567517,35.020105,12.900196,4.492183,19.141731,1161.783286,0.000000,0.278409,0.000000,13.055317,0.000000,0.000000,2.107277,3410.450430,0.000000,0.372045,0.255889,0.064574,128.999910,0.215029,0.000000,200.530602,0.000000,2.561970,59.735210,0.000000,1.915574,0.000000,0.000000,66.203256,512.709138,150.322046,0.000000,0.000000,0.000000,0.000000,7.917174,0.000000,7.045627,0.000000,0.101190,0.052803,1.907087,0.421778,0.000000,158.887387,25.076132,0.000000,0.000000,478.312820,0.332140,378.844002,2.312264,2.263903,3.573836,6.715962,0.091667,0.000000,0.218343,6.720000,5564.969154,0.000000,0.000000,0.932730,0.185611,5.683258,0.000000,0.394667
2026-07,4.900000,39.422150,0.000000,1.230469,1.283333,34.863430,1.913333,0.000000,0.000000,9.622517,0.000000,0.572250,2.405629,4.803439,0.000000,0.000000,0.000000,0.000000,39.171070,388.424546,42.840851,0.010000,26.718395,0.000000,31.255361,107.064816,90.489181,1.977482,0.000000,0.000000,0.121752,77.551931,0.000236,0.000000,0.000000,154.974864,0.186129,0.060589,0.000000,0.367411,3.074546,2.690106,1.191228,0.000000,0.000000,49.102490,1.109490,30.110540,9.091655,9.897561,11.207062,495.191257,0.000000,0.072917,0.528889,8.216415,0.000000,0.000000,0.372687,20.403369,0.000000,0.264953,1.322849,0.368385,128.792603,0.188803,0.257143,239.081789,0.000000,1.372629,66.289951,0.000000,0.518680,0.000000,0.000000,84.608262,1531.254819,162.112474,0.000000,0.000000,0.000000,0.000000,9.164349,0.000000,4.869556,0.000000,0.009409,0.358029,0.840295,0.122774,0.000000,161.750931,16.278730,0.000000,0.000000,367.540400,0.678859,552.148080,1.280479,0.620044,0.873303,165.847500,16.555622,0.055263,0.592282,0.387692,5444.052708,0.000000,0.000000,1.118860,0.124817,5.346620,0.000000,0.364203
2026-08,5.600000,23.186335,0.000000,0.834696,4.297971,5.086221,0.420000,0.000000,0.000000,13.051897,0.000000,0.343350,3.262974,1.063492,0.000000,0.000000,0.000000,0.000000,51.929697,266.776024,10.131188,0.010000,32.601936,0.000000,25.287816,152.344796,64.939846,2.530973,0.000000,0.000000,0.484279,31.838686,0.058569,0.000000,0.000000,179.198977,0.212692,0.239146,0.000000,1.436024,0.827690,1.678821,0.526109,0.000000,0.000000,59.447715,1.808011,41.224902,8.015965,945.509402,6.249436,920.207886,0.000000,1.292614,15.680000,4.191257,0.000000,0.000000,1.647033,53.827240,0.000000,0.794204,0.325933,0.065826,143.128627,0.228400,0.000000,206.201122,0.000000,0.820259,83.011914,0.000000,1.629535,0.000000,0.000000,46.292937,474.668822,181.543043,0.000000,0.000000,0.000000,0.036842,9.210774,0.000000,2.870194,0.000000,0.043722,0.967212,0.276139,0.284299,0.000000,149.204547,19.591220,0.000000,0.000000,379.788289,0.888369,166.232931,0.622658,0.672138,9.889952,3.018750,1.664263,0.165789,0.296342,2.059615,5463.694285,0.000000,0.000000,0.106768,0.145899,3.999384,0.000000,0.010511
2026-09,6.300000,41.563480,0.000000,2.326705,3.410000,1.788837,0.000000,0.000000,0.000000,22.800785,0.000000,0.000000,5.700196,0.000000,0.000000,0.000000,0.000000,0.000000,80.578550,346.183215,21.075855,0.037836,39.354584,0.000000,30.597540,237.371181,59.561459,2.613442,0.000000,0.000000,15.754495,6.828133,0.000000,0.000000,0.000000,179.574799,1.032273,7.809156,0.000000,1.040685,5.676395,2.662471,0.323491,0.000000,0.000000,28.308609,2.941696,45.951907,10.552878,331.217914,15.655927,637.617905,0.000000,0.510417,20.533333,6.815245,0.000000,0.000000,0.881726,2577.020018,0.000000,0.138850,0.028508,0.350327,89.164119,0.243526,0.300000,173.719405,0.000000,2.217780,80.872757,0.000000,1.156650,0.000000,0.000000,27.399771,462.210196,220.793023,0.000000,3.730263,0.000000,0.000000,11.974673,0.000000,3.607046,0.000000,0.144265,0.399221,0.251654,0.137921,0.000000,118.311485,10.193346,0.000000,0.000000,579.710139,0.898006,216.901757,0.778786,0.663483,0.600161,2.649231,0.284737,0.000000,0.400827,6.543654,6005.015612,0.000000,0.000000,0.084379,0.087130,4.490140,0.000000,0.050570
