lat,lon,v
54.75,36.25,0.09010688332771814
51.75,31.75,27.192716733242076
51.75,33.25,47.408570827295385
51.25,30.75,7.4867985613333685
51.25,31.75,37.43399351090193
51.25,35.75,61.63113925854365
51.25,37.75,14.22256983971844
50.75,31.75,7.4867985613333685
50.75,33.75,4.183494800779348
50.75,34.75,6.275242377227793
50.75,35.25,11.852142706823846
50.75,35.75,109.03970691678114
50.75,36.25,52.847768021010175
50.75,36.75,37.92685507730736
50.75,37.25,283.4809495769441
50.75,37.75,124.6622415309151
50.75,38.25,42.6677109276255
50.75,39.25,2.3704283653059974
50.25,23.75,0.4090909090909091
50.25,24.75,0.09090909090909091
50.25,25.75,0.15584415739232843
50.25,31.75,4.183494800779348
50.25,32.75,29.947194245333474
50.25,33.25,30.815569629271824
50.25,34.75,81.57486846422155
50.25,35.25,63.4442069264284
50.25,35.75,163.4284168370068
50.25,36.25,44.75945832801517
50.25,37.25,97.18756315360467
50.25,38.25,4.740856730611995
49.75,23.75,0.2929292863065546
49.75,30.75,52.407592042038836
49.75,31.75,22.460396388235193
49.75,32.75,9.48171346122399
49.75,33.75,42.6677109276255
49.75,34.25,26.074712546542287
49.75,34.75,16.733979203117393
49.75,35.25,130.3735655496518
49.75,35.75,200.80446870190403
49.75,36.25,330.8960782413681
49.75,36.75,170.670843710502
49.75,39.25,11.852142706823846
49.25,23.75,0.6951215660030191
49.25,24.75,0.46753246133977716
49.25,25.25,0.09090909090909091
49.25,25.75,0.1092629771340977
49.25,29.25,14.973597122666737
49.25,30.75,59.89438849066695
49.25,31.75,2.3704283653059974
49.25,32.25,19.94045028711359
49.25,32.75,46.94803770072758
49.25,33.25,37.65145285489658
49.25,33.75,145.02235395709673
49.25,34.25,37.92685384489596
49.25,35.25,22.460396388235193
49.25,36.75,198.38317607715726
49.25,37.75,22.460396388235193
49.25,38.25,4.740856730611995
49.25,23.25,0.3232323310591958
48.75,23.75,0.08080808141014793
48.75,25.25,0.09090909090909091
48.75,25.75,0.0022942357781258497
48.75,30.25,11.016099107839787
48.75,30.75,60.01173729589209
48.75,31.25,1014.6220928480228
48.75,31.75,351.78121200948954
48.75,32.25,87.70913072365026
48.75,32.75,221.22761721070856
48.75,33.25,389.6422596630485
48.75,33.75,84.08299644423339
48.75,34.25,89.84158555294077
48.75,35.25,112.30198053270578
48.75,35.75,11.852142706823846
48.75,38.25,2.091747400389674
48.75,38.75,2.091747400389674
48.75,39.25,34.31253909505904
48.75,22.75,0.04588471217588945
48.25,30.75,152.17106826758632
48.25,31.25,28.44513967943688
48.25,31.75,65.53923271720609
48.25,32.25,146.13051645845795
48.25,32.75,122.41753585419308
48.25,33.25,48.15959388483316
48.25,35.25,29.947194245333474
48.25,38.25,38.31418384689217
48.25,38.75,90.07628175492088
48.25,39.25,99.55799592037995
47.75,30.75,69.86896721553057
47.75,32.25,70.55548832511218
47.75,33.25,2.3704283653059974
47.75,33.75,9.48171346122399
47.75,36.75,37.43399351090193
47.75,38.25,44.48077859551025
47.75,38.75,125.63271128386259
47.25,29.25,22.460396388235193
47.25,32.75,40.68461221219817
47.25,33.25,56.11020378706356
47.25,33.75,18.96342692244798
47.25,35.75,13.665208262003338
47.25,36.25,33.467958406234786
47.25,36.75,83.48477021713431
47.25,37.25,30.815569629271824
47.25,37.75,230.30707299880063
47.25,38.25,14.973597122666737
47.25,39.25,7.4867985613333685
46.75,29.75,18.40606464049779
46.75,31.25,6.275242377227793
46.75,31.75,16.592998381083213
46.75,32.25,4.183494800779348
46.75,32.75,135.53736016883823
46.75,33.25,351.1152091412805
46.75,33.75,35.55642671200136
46.75,34.75,75.01766637957189
46.75,35.25,615.508136411508
46.75,35.75,106.66928295294444
46.75,36.25,186.44419537418676
46.75,36.75,170.40200619151196
46.75,37.25,258.3766870647669
46.25,32.25,35.55970563056568
46.25,32.75,63.58518457940469
46.25,33.25,49.778997960189976
46.25,35.25,2.3704283653059974
37.25,33.75,6.011682052630931
37.25,34.75,10.52044359210413
36.75,69.25,0.03661536744662693
36.75,71.25,0.043938440935952325
36.75,71.75,0.0036615367446626934
36.75,72.75,2.7428572518484935
36.75,33.75,16.53212654334493
36.75,34.75,4.508761539473198
36.75,42.25,0.32066301596933044
36.25,68.25,0.2495749933379037
36.25,71.25,0.047599975551877706
36.25,71.75,2.732970987047468
36.25,72.75,0.6662810870579311
35.75,68.25,0.27705628531319754
35.75,68.75,0.010984610233988081
35.75,71.25,0.1647691556385585
35.75,71.75,0.010984610233988081
