lat,lon,v
55.25,36.25,0.01833092667058938
51.75,29.75,12.550484754455587
51.75,31.75,181.98201978454986
51.75,34.75,14.22256983971844
51.25,30.75,10.458736825889597
51.25,31.75,39.5257409112916
51.25,35.75,4.183494800779348
51.25,37.75,132.18990896704298
50.75,31.75,22.460396388235193
50.75,33.75,33.185996762166425
50.75,34.75,130.3735611481825
50.75,35.25,42.6677109276255
50.75,36.25,100.25961442175321
50.75,36.75,123.26883917115629
50.75,37.25,136.5111067276448
50.75,37.75,306.644261315465
50.75,38.75,2.3704283653059974
50.75,39.25,40.018600541050546
50.75,23.25,0.1454545476219871
50.25,24.25,0.18181818181818182
50.25,25.25,0.888888879255815
50.25,30.25,14.973597122666737
50.25,31.75,8.366989601558696
50.25,32.75,6.275242377227793
50.25,33.25,39.323539348629616
50.25,34.25,13.762040938561162
50.25,34.75,22.589559441277135
50.25,35.25,37.92685384489596
50.25,35.75,7.11128491985922
50.25,37.25,118.80994232402493
50.25,37.75,39.323539348629616
49.75,23.75,1.6000000346790662
49.75,25.25,0.2727272727272727
49.75,29.25,29.947194245333474
49.75,30.25,37.43399351090193
49.75,30.75,7.4867985613333685
49.75,31.25,8.366989601558696
49.75,32.25,4.740856730611995
49.75,32.75,24.681306665608037
49.75,33.75,29.979527790875483
49.75,34.25,59.26071212564906
49.75,34.75,27.75007760672209
49.75,35.25,73.67694414942525
49.75,35.75,56.47390036378056
49.75,36.25,247.7900956546267
49.75,36.75,73.48328055689733
49.75,38.25,14.22256983971844
49.75,39.25,201.07003716162095
49.75,22.75,0.045454545454545456
49.25,23.75,0.24242424964904785
49.25,24.25,0.32467532699758356
49.25,25.25,0.004588471556251699
49.25,29.25,7.4867985613333685
49.25,30.75,14.973597122666737
49.25,32.25,78.92247827878843
49.25,32.75,47.01254017686006
49.25,33.25,14.22256983971844
49.25,33.75,173.04127647727728
49.25,34.25,332.91330753422034
49.25,34.75,466.9743874371052
49.25,35.25,44.920792776470385
49.25,36.25,14.22256983971844
49.25,36.75,128.4378951306765
49.25,37.75,7.4867985613333685
49.25,23.25,0.18181818181818182
48.75,23.75,0.533333344893022
48.75,25.25,0.07489041035825555
48.75,30.25,41.83494730355839
48.75,30.75,94.79136453770722
48.75,31.25,681.8834257560471
48.75,31.75,1109.540835907062
48.75,32.25,57.031262997848295
48.75,32.75,292.1468073943009
48.75,33.25,82.4076324404062
48.75,33.75,122.98359455917186
48.75,35.75,7.4867985613333685
48.75,36.75,7.11128491985922
48.75,38.25,8.366989601558696
48.75,39.25,7.4867985613333685
48.25,30.75,96.24599239168067
48.25,31.25,126.05564670761426
48.25,31.75,142.604500112279
48.25,32.25,65.11957057813802
48.25,32.75,314.3931825142354
48.25,33.25,14.973597122666737
48.25,34.25,7.4867985613333685
48.25,35.25,7.4867985613333685
48.25,36.75,14.973597122666737
48.25,38.25,52.149425093084574
48.25,38.75,40.2972837947309
